,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,PHI,Chuck Bednarik HOF,LB,24,1962,6,8,14,27,27,169,0,0,0,0,0,0,0,0,0,0,0,20,,Pennsylvania,College Stats
1,2,DET,John Rauch,QB,22,1951,0,0,0,0,,27,70,170,959,8,9,12,84,1,0,0,0,2,,Georgia,College Stats
1,3,NYY,Doak Walker HOF,HB,22,1955,4,5,5,0,,67,7,28,75,2,2,309,1520,12,152,2539,21,2,,SMU,College Stats
1,4,NYG,Paul Page,HB,21,1949,0,0,0,0,,8,0,0,0,0,0,25,81,0,4,62,0,,,SMU,College Stats
1,5,GNB,Stan Heath,QB,22,1949,0,0,0,0,0,12,26,106,355,1,14,10,25,1,0,0,0,,,Nevada,College Stats
1,6,PIT,Bob Gage,DB,21,1950,0,0,0,0,0,22,38,94,623,3,9,85,334,6,7,135,2,9,,Clemson,
1,7,RAM,Bobby Thomason,QB,21,1957,0,3,4,0,0,85,687,1346,9480,68,90,94,290,6,0,0,0,,,VMI,
1,8,WAS,Rob Goode,B,22,1955,0,2,4,0,0,59,0,0,0,0,0,596,2531,16,53,640,1,4,,Texas A&M,
1,9,PHI,Frank Tripucka,QB,21,1963,0,1,4,19,,75,879,1745,10282,69,124,43,101,6,0,0,0,,,Notre Dame,College Stats
1,10,CRD,Bill Fischer,T,22,1953,0,3,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1,,Notre Dame,College Stats
1,11,CHI,Dick Harris,C,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
2,12,DET,John Panelli,LB,23,1953,0,0,3,0,0,52,0,0,0,0,0,55,157,0,4,27,0,5,,Notre Dame,College Stats
2,13,NYY,Bob DeMoss,QB,22,1949,0,0,0,0,0,3,6,18,60,0,2,5,1,0,0,0,0,,,Purdue,
2,14,NYG,Al DeRogatis,DT,22,1952,1,2,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,,,Duke,
2,15,GNB,Dan Dworsky,LB,21,1949,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,1,,Michigan,
2,16,PIT,Harper Davis,DB,23,1951,0,0,2,0,,35,0,0,0,0,0,23,90,2,5,43,0,11,,Mississippi St.,
2,17,RAM,George Sims,DB,21,1950,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,,Baylor,
2,18,WAS,Laurie Niemi,T,24,1953,0,2,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,,,Washington St.,
