,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,BOS,Angelo Bertelli,QB,23,1948,0,0,0,0,,16,76,166,972,8,19,14,-15,1,0,0,0,,,Notre Dame,College Stats
1,2,CRD,Pat Harder,FB,22,1953,0,2,7,0,0,86,0,1,0,0,0,740,3016,33,92,864,5,,,Wisconsin,
1,3,BKN,Creighton Miller,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,College Stats
1,4,DET,Otto Graham HOF,QB,22,1955,7,5,10,0,,126,1464,2626,23584,174,135,405,882,44,0,0,0,7,,Northwestern,College Stats
1,5,PHI,Steve Van Buren HOF,HB,23,1951,5,0,8,0,0,83,1,3,35,0,0,1320,5860,69,45,523,3,9,,LSU,College Stats
1,6,NYG,Billy Hillenbrand,HB,22,1948,0,0,3,0,,41,0,4,0,0,3,216,889,11,110,1987,17,4,,Indiana,
1,7,GNB,Merv Pregulman,C,21,1949,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,3,,Michigan,
1,8,WAS,Mike Micka,FB,23,1948,0,0,2,0,0,54,0,0,0,0,0,69,231,0,6,101,0,9,,Colgate,
1,9,CHI,Ray Evans,TB,21,1948,0,0,1,0,,9,64,137,924,5,17,99,343,2,7,93,0,,,Kansas,
1,10,CHP,Johnny Podesto,B,,,0,0,0,,,,,,,,,,,,,,,,,St. Mary's (CA),
1,11,RAM,Tony Butkovich,B,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,
2,12,CRD,Paul Mitchell,DT,24,1951,0,0,1,0,,69,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
2,13,BKN,Jim Callahan,TB,23,1946,0,0,0,0,,9,22,67,359,2,7,52,86,2,0,0,0,2,,Texas,
2,14,DET,Bob Cifers,HB,24,1949,0,0,1,0,0,42,4,13,52,0,2,230,787,1,12,296,4,1,,Tennessee,
2,15,CHP,Bob Odell,E,,,0,0,0,,,,,,,,,,,,,,,,,Pennsylvania,College Stats
2,16,NYG,Lamar Blount,E,24,1947,0,0,1,0,,22,0,0,0,0,0,4,5,0,21,366,1,,,Mississippi St.,
3,17,CRD,Saxon Judd,E,24,1948,0,0,1,0,,41,0,0,0,0,0,0,0,0,84,997,7,,,Tulsa,
3,18,BKN,Ralph Park,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
3,19,DET,Ralph Heywood,E,22,1949,0,0,2,0,0,48,0,0,0,0,0,4,5,0,84,1192,10,,,USC,College Stats
3,20,PHI,Loren LaPrade,G,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
3,21,NYG,Clyde Flowers,T,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
