,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,WAS,Ernie Davis,B,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,College Stats
1,2,RAM,Roman Gabriel,QB,22,1977,1,4,11,98,75,183,2366,4498,29444,201,149,358,1304,30,1,-5,0,,,North Carolina St.,College Stats
1,3,RAM,Merlin Olsen HOF,DT,21,1976,5,14,15,116,116,208,0,0,0,0,0,0,0,0,0,0,0,1,91,Utah St.,College Stats
1,4,CLE,Gary Collins,FL,22,1971,1,2,8,74,74,127,0,0,0,0,0,4,60,0,331,5299,70,,,Maryland,College Stats
1,5,PIT,Bob Ferguson,FB,23,1963,0,0,0,1,1,20,0,0,0,0,0,66,209,1,4,13,0,,,Ohio St.,College Stats
1,6,STL,Fate Echols,T,23,1963,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,,0.5,Northwestern,
1,7,CHI,Ronnie Bull,RB,22,1971,0,0,8,36,34,123,7,20,158,1,1,881,3222,9,172,1479,5,,,Baylor,College Stats
1,8,SFO,Lance Alworth HOF,FL,22,1972,6,7,10,98,,136,1,2,-11,0,0,24,129,2,542,10266,85,,,Arkansas,College Stats
1,9,BAL,Wendell Harris,DB,21,1967,0,0,4,24,19,83,0,0,0,0,0,0,0,0,0,0,0,8,1.5,LSU,College Stats
1,10,DET,John Hadl,QB,22,1977,1,6,12,106,,224,2363,4687,33503,244,268,351,1112,16,3,-9,0,,,Kansas,College Stats
1,11,CLE,Leroy Jackson,HB,22,1963,0,0,0,4,,15,0,0,0,0,0,52,142,0,10,253,1,,,Western Illinois,
1,12,STL,Irv Goode,G,21,1974,0,2,10,58,55,162,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,
1,13,NYG,Jerry Hillebrand,LB,22,1970,0,0,2,27,14,99,0,0,0,0,0,0,0,0,1,27,0,14,5,Colorado,College Stats
1,14,GNB,Earl Gros,FB,22,1970,0,0,5,35,3,108,1,4,63,1,0,821,3157,28,142,1255,10,,,LSU,College Stats
2,15,WAS,Joe Hernandez,WR,22,1964,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,18,0,,,Arizona,College Stats
2,16,RAM,Joe Carollo,T,22,1973,0,1,8,49,39,150,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
2,17,CLE,Chuck Hinton,DT,23,1972,0,0,8,42,,123,0,0,0,0,0,0,0,0,0,0,0,2,29,North Carolina Central,
2,18,DAL,Sonny Gibbs,QB,22,1964,0,0,0,0,,2,1,3,3,0,1,0,0,0,0,0,0,,,TCU,College Stats
2,19,STL,Bobby Jackson,FB,22,1965,0,0,1,9,,50,0,0,0,0,0,184,624,14,32,333,2,,,New Mexico St.,College Stats
2,20,CHI,Clyde Brock,T,22,1963,0,0,0,8,,24,0,0,0,0,0,0,0,0,0,0,0,,,Utah St.,College Stats
2,21,CHI,Bennie McRae,DB,22,1971,0,0,8,52,51,133,0,0,0,0,0,0,0,0,0,0,0,27,1,Michigan,College Stats
2,22,SFO,Ed Pine,LB,22,1965,0,0,2,17,14,50,0,0,0,0,0,0,0,0,0,0,0,3,3.5,Utah,
2,23,BAL,Bill Saul,LB,21,1970,0,0,3,29,4,88,0,0,0,0,0,0,0,0,0,0,0,4,7,Penn St.,
2,24,DET,Eddie Wilson,QB,22,1965,0,0,0,3,,56,90,186,1251,5,6,23,59,1,0,0,0,,,Arizona,College Stats
2,25,CLE,Sandy Stephens,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,College Stats
2,26,NYG,Bob Bill,T,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
2,27,PHI,Pete Case,G,21,1970,0,0,6,41,9,117,0,0,0,0,0,0,16,0,0,0,0,,,Georgia,
2,28,GNB,Ed Blaine,G,22,1966,0,0,4,26,3,70,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,College Stats
3,29,WAS,Bob Mitinger,LB,22,1968,0,0,0,12,,42,0,0,0,0,0,0,0,0,0,0,0,3,3,Penn St.,College Stats
3,30,MIN,Bill Miller,SE,22,1968,0,0,3,21,,66,0,0,0,0,0,0,0,0,141,1879,10,,,Miami (FL),College Stats
3,31,RAM,John Meyers,DT,22,1967,0,0,6,29,,84,0,0,0,0,0,0,0,0,0,0,0,2,13,Washington,College Stats
3,32,CHI,Jim Bates,E,,,0,0,0,,,,,,,,,,,,,,,,,USC,
3,33,RAM,John Cornett,T,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
3,34,STL,Chuck Bryant,E,21,1962,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats
3,35,CHI,Bill Hull,DE,22,1962,0,0,0,4,,14,0,0,0,0,0,0,0,0,0,0,0,,1.5,Wake Forest,College Stats
3,36,SFO,Billy Ray Adams,FB,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi,
3,37,BAL,Dan Sullivan,G,23,1972,0,0,6,52,52,140,0,0,0,0,0,0,0,0,0,0,0,,0.5,Boston Col.,
3,38,DET,Bobby Thompson,DB,23,1969,0,0,3,23,21,72,0,0,0,0,0,0,0,0,0,0,0,10,,Arizona,College Stats
3,39,DAL,Bobby Plummer,T,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
3,40,PHI,Pat Holmes,DE,22,1973,1,2,7,49,,108,0,0,0,0,0,0,0,0,0,0,0,1,30,Texas Tech,
3,41,GNB,Gary Barnes,WR,22,1967,0,0,0,6,0,60,0,0,0,0,0,0,0,0,41,583,2,,,Clemson,College Stats
