,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,RAM,Billy Cannon,TE,23,1970,2,2,8,53,,133,2,12,46,1,1,602,2455,17,236,3656,47,,,LSU,College Stats
1,2,STL,George Izo,QB,22,1966,0,0,0,5,1,26,132,317,1791,12,32,10,-23,0,0,0,0,,,Notre Dame,College Stats
1,3,DET,Johnny Robinson HOF,DB,21,1971,6,7,12,94,,164,0,1,0,0,1,150,658,6,77,1228,9,57,,LSU,College Stats
1,4,WAS,Richie Lucas,QB,22,1961,0,0,1,4,,22,43,99,596,4,7,48,153,2,11,127,1,2,,Penn St.,College Stats
1,5,GNB,Tom Moore,HB,22,1967,0,1,3,33,26,102,13,19,383,5,1,660,2445,21,141,1152,10,,,Vanderbilt,College Stats
1,6,PIT,Jack Spikes,FB,23,1967,0,0,1,20,,86,0,2,0,0,1,408,1693,18,56,679,3,,,TCU,College Stats
1,7,CHI,Roger Davis,G,22,1966,0,0,3,25,19,72,0,0,0,0,0,0,0,0,0,0,0,,1.5,Syracuse,College Stats
1,8,CLE,Jim Houston,LB,22,1972,0,4,10,67,67,177,0,0,0,0,0,0,0,0,1,10,1,14,29.5,Ohio St.,College Stats
1,9,PHI,Ron Burton,HB,24,1965,0,0,4,24,,69,0,1,0,0,1,429,1536,9,111,1205,8,,,Northwestern,College Stats
1,10,BAL,Ron Mix HOF,T,22,1971,9,8,9,87,,142,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1,11,SFO,Monty Stickles,TE,22,1968,0,0,9,30,29,115,0,0,0,0,0,0,0,0,222,3199,16,,,Notre Dame,College Stats
1,12,NYG,Lou Cordileone,DT,23,1968,0,0,1,18,3,75,0,0,0,0,0,0,0,0,0,0,0,1,9,Clemson,
2,13,STL,Harold Olson,T,22,1964,1,1,3,29,,70,0,0,0,0,0,0,0,0,0,0,0,,,Clemson,
2,14,STL,Mike McGee,G,21,1962,0,0,3,18,18,37,0,0,0,0,0,0,0,0,0,0,0,,,Duke,College Stats
2,15,DET,Warren Rabb,QB,22,1962,0,0,1,6,0,30,101,251,1782,15,16,50,124,3,0,0,0,,,LSU,College Stats
2,16,SFO,Mike Magac,G,22,1966,0,0,3,22,16,78,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,
2,17,GNB,Bob Jeter,DB,23,1973,1,2,5,54,49,139,0,0,0,0,0,0,0,0,2,25,0,26,,Iowa,College Stats
2,18,CLE,Larry Stephens,DE,21,1967,0,0,1,28,6,103,0,0,0,0,0,0,0,0,0,0,0,1,16,Texas,College Stats
2,19,CLE,Prentice Gautt,HB,22,1967,0,0,3,25,2,88,6,13,100,1,1,629,2466,11,79,901,6,,,Oklahoma,College Stats
2,20,PHI,Maxie Baughan,LB,22,1974,1,9,11,88,39,147,0,0,0,0,0,0,0,0,0,0,0,18,24.5,Georgia Tech,College Stats
2,21,WAS,Sam Horner,HB,22,1962,0,0,2,9,9,33,0,0,0,0,0,118,355,0,17,219,1,,,VMI,College Stats
2,22,SFO,Carl Kammerer,DE,23,1969,0,0,4,31,5,123,0,0,0,0,0,0,0,0,0,0,0,3,43.5,Pacific,
2,23,BAL,Don Floyd,DE,22,1967,1,2,6,49,,97,0,0,0,0,0,0,0,0,0,0,0,4,20.5,TCU,College Stats
2,24,BAL,Marvin Terrell,G,22,1963,0,1,2,16,,38,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,
3,25,RAM,Charley Britt,DB,22,1964,0,0,2,19,16,49,0,0,0,0,0,0,0,0,0,0,0,14,,Georgia,College Stats
3,26,STL,Hugh McInnis,TE,21,1964,0,0,1,5,5,38,0,0,0,0,0,4,30,0,22,392,0,,,Southern Miss,
3,27,DET,Bob Scholtz,C,22,1966,0,0,3,27,20,81,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
3,28,WAS,Andy Stynchula,DE,21,1968,0,0,6,36,23,104,0,0,0,0,0,0,0,0,0,0,0,,33.5,Penn St.,
3,29,STL,Charley Ellzey,C,22,1961,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,Southern Miss,
3,30,RAM,Pervis Atkins,FL,24,1966,0,0,2,7,6,78,0,0,0,0,0,74,201,1,64,675,2,,,New Mexico St.,College Stats
3,31,PHI,Curt Merz,G,22,1968,0,0,5,28,,92,0,0,0,0,0,0,0,0,0,0,0,,,Iowa,College Stats
3,32,CHI,Don Meredith,QB,22,1968,0,3,7,72,,104,1170,2308,17199,135,111,242,1216,15,0,0,0,,,SMU,College Stats
3,33,CLE,Ross Fichtner,DB,21,1968,0,0,5,41,40,106,0,0,0,0,0,0,0,0,0,0,0,27,,Purdue,College Stats
3,34,BAL,Jim Welch,DB,22,1968,0,0,3,34,32,114,0,0,0,0,0,11,103,1,0,0,0,5,2,SMU,College Stats
3,35,SFO,Rod Breedlove,LB,22,1967,0,1,4,32,,101,0,0,0,0,0,0,0,0,0,0,0,11,15,Maryland,College Stats
3,36,NYG,Jim Leo,DE,23,1962,0,0,1,11,2,40,0,0,0,0,0,0,0,0,0,0,0,,4,Cincinnati,College Stats
4,37,STL,Willie West,DB,22,1968,0,2,5,45,5,105,0,0,0,0,0,7,45,0,0,0,0,30,1,Oregon,College Stats
4,38,STL,Silas Woods,E,,,0,0,0,,,,,,,,,,,,,,,,,Marquette,College Stats
4,39,DET,Jim Andreotti,C,,,0,0,0,,,,,,,,,,,,,,,,,Northwestern,
4,40,PHI,Ted Dean,FB,22,1964,0,1,1,17,16,44,0,0,0,0,0,263,923,2,51,684,4,,,Wichita St.,College Stats
4,41,CLE,Johnny Brewer,TE,23,1970,0,1,8,40,32,135,0,0,0,0,0,0,0,0,89,1256,6,3,8,Mississippi,College Stats
4,42,DET,Roger Brown,DT,23,1969,2,6,9,82,65,138,0,0,0,0,0,0,0,0,0,0,0,2,79,Md-Eastern Shore,
4,43,CHI,Billy Martin,HB,22,1964,0,0,0,0,0,32,0,0,0,0,0,9,28,1,2,17,0,,,Minnesota,
4,44,CLE,Jim Marshall,DE,22,1979,0,2,20,102,1,282,0,0,0,0,0,0,0,0,0,0,0,1,130.5,Ohio St.,
4,45,PHI,Jack Cummings,QB,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,College Stats
4,46,SFO,Ray Norton,HB,22,1961,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,,,San Jose St.,
4,47,BAL,Gerhard Schwedes,HB,22,1961,0,0,0,0,,10,0,0,0,0,0,10,14,0,1,21,0,,,Syracuse,College Stats
4,48,WAS,Vince Promuto,G,22,1970,0,2,8,47,47,130,0,0,0,0,0,0,0,0,0,0,0,,,Holy Cross,
5,49,RAM,Chuck Janerette,DT,21,1965,0,0,3,18,2,80,0,0,0,0,0,0,0,0,0,0,0,2,9.5,Penn St.,
5,50,STL,Bill Burrell,LB,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,College Stats
5,51,GNB,Dale Hackbart,DB,22,1973,0,0,5,45,2,152,0,0,0,0,0,0,0,0,0,0,0,19,6.5,Wisconsin,College Stats
5,52,WAS,Don Stallings,DT,21,1960,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
5,53,CLE,Bob Jarus,FB,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,College Stats
5,54,STL,George Phelps,B,,,0,0,0,,,,,,,,,,,,,,,,,Cornell Col.,
5,55,PIT,Abner Haynes,HB,22,1967,2,3,6,70,,112,1,7,24,0,2,1036,4630,46,287,3535,20,,,North Texas,College Stats
5,56,PHI,Don Norton,E,22,1966,0,2,4,37,,91,1,1,15,0,0,2,-3,0,228,3486,27,,,Iowa,College Stats
5,57,CHI,Dick Norman,QB,21,1961,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,College Stats
5,58,BAL,Marv Lasater,B,,,0,0,0,,,,,,,,,,,,,,,,,TCU,College Stats
5,59,SFO,Len Rohde,T,22,1974,0,1,12,65,65,208,0,0,0,0,0,0,0,0,0,0,0,,,Utah St.,
5,60,STL,Ed Mazurek,T,,,0,0,0,,,,,,,,,,,,,,,,,,
6,61,STL,Jacky Lee,QB,21,1969,0,0,1,17,,100,430,838,6191,46,57,72,218,3,1,-1,0,,,Cincinnati,
6,62,RAM,Jerry Stalcup,LB,21,1962,0,0,2,10,2,34,0,0,0,0,0,0,0,0,0,0,0,1,3,Wisconsin,
6,63,DET,Gail Cogdill,SE,23,1970,0,3,8,53,48,127,0,0,0,0,0,2,-2,0,356,5696,34,,,Washington St.,College Stats
