,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,PIT,Bill Dudley HOF,HB,20,1953,1,3,8,0,0,90,81,222,985,6,17,765,3057,18,123,1383,18,23,,Virginia,College Stats
1,2,RAM,Jack Wilson,HB,24,1947,0,0,0,0,0,10,0,0,0,0,0,22,123,0,4,25,1,1,,Baylor,
1,3,PHI,Pete Kmetovic,HB,22,1947,0,0,0,0,0,16,0,0,0,0,0,19,53,0,10,211,2,,,Stanford,
1,4,CRD,Steve Lach,WB,22,1947,0,0,2,0,0,32,2,6,12,1,0,192,580,13,32,360,5,5,,Duke,College Stats
1,5,DET,Bob Westfall,FB,23,1947,1,0,2,0,0,41,27,53,428,5,7,209,697,11,47,588,5,1,,Michigan,College Stats
1,6,WAS,Spec Sanders,TB,24,1950,2,1,4,0,,52,206,421,2829,23,37,540,2900,33,18,272,3,19,,Texas,
1,7,BKN,Bobby Robertson,C,25,1942,0,0,1,0,0,11,1,3,1,0,1,46,132,0,5,61,0,2,,USC,
1,8,NYG,Merle Hapes,FB,23,1946,0,0,1,0,0,21,2,2,-12,0,0,151,524,8,13,119,2,3,,Mississippi,
1,9,GNB,Urban Odson,T,23,1949,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,College Stats
1,10,CHI,Frankie Albert,QB,22,1952,0,1,7,0,,90,831,1564,10795,115,98,329,1272,27,1,1,0,,,Stanford,College Stats
2,11,PIT,Vern Martin,BB,22,1942,0,0,1,0,0,11,0,0,0,0,0,0,0,0,7,64,1,,,Texas,
2,12,RAM,Jack Jacobs,QB,23,1949,0,0,2,0,0,55,244,552,3268,27,49,94,140,2,4,53,0,12,,Oklahoma,
2,13,PHI,Vic Lindskog,C,27,1951,1,0,4,0,0,78,0,0,0,0,0,0,0,0,0,21,0,4,,Stanford,
2,14,CRD,Lloyd Cheatham,B,23,1948,0,0,3,0,0,50,0,0,0,0,0,7,2,0,21,283,4,2,,Auburn,
2,15,DET,Alf Bauman,DT,22,1950,0,0,1,0,,34,0,0,0,0,0,0,0,0,0,0,0,,,Northwestern,College Stats
3,16,PIT,Ken Casanega,QB,21,1948,0,0,0,0,,15,0,0,0,0,0,29,90,1,5,102,1,8,,Santa Clara,
3,17,RAM,Roger Eason,G,24,1949,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,
3,18,PHI,Ted Williams,B,26,1944,0,0,1,0,0,21,0,6,0,0,2,102,196,3,15,86,0,1,,Boston Col.,
3,19,CRD,Bud Schwenk,QB,25,1948,0,0,2,0,0,37,315,662,3924,23,50,145,376,4,0,0,0,1,,Washington (MO),
3,20,DET,Bob Dethman,B,,,0,0,0,,,,,,,,,,,,,,,,,Oregon St.,
3,21,WAS,Rufus Deal,B,24,1942,0,1,0,0,0,6,0,0,0,0,0,5,12,0,0,0,0,,,Auburn,
3,22,BKN,Curt Mecham,TB,22,1942,0,0,0,0,0,8,1,4,9,0,1,3,0,0,0,0,0,,,Oregon,
3,23,NYG,Bob Sweiger,WB,22,1949,0,0,3,0,,53,0,0,0,0,0,22,87,0,42,418,2,7,,Minnesota,
3,24,GNB,Ray Frankowski,G,22,1948,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,,,Washington,College Stats
3,25,CHI,Joe Boratyn,B,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
4,26,PIT,Mal Kutner,E,21,1950,1,0,5,0,,56,0,0,0,0,0,11,59,1,145,3060,31,13,,Texas,
4,27,RAM,Len Levy,G,21,1948,0,0,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
4,28,PHI,Gordon Paschka,FB,22,1947,0,0,0,0,0,16,0,0,0,0,0,48,143,2,1,-6,0,,,Minnesota,
4,29,CRD,Vince Banonis,C,21,1953,0,0,6,0,0,108,0,0,0,0,0,0,0,0,0,0,0,14,,Detroit Mercy,
4,30,DET,Mickey Sanzotta,B,21,1946,0,0,1,0,0,20,4,16,45,0,0,77,340,0,7,35,0,2,,Case Western Reserve,
5,31,PIT,Curt Sandig,HB,24,1946,0,0,1,0,0,20,2,4,10,0,0,72,168,4,8,118,0,5,,Baylor,
5,32,RAM,Orville Mathews,B,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,
5,33,PHI,Ernie Blandin,T,23,1953,0,0,4,0,,71,0,0,0,0,0,1,-6,0,1,16,0,,,Tulane,College Stats
5,34,CRD,Bob Reinhard,T,21,1950,1,0,5,0,,66,3,5,28,0,0,43,141,0,9,101,2,1,,California,
5,35,DET,Joe Blalock,E,,,0,0,0,,,,,,,,,,,,,,,,,Clemson,
5,36,WAS,Joe Zeno,G,23,1947,0,1,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,,Holy Cross,
5,37,BKN,Vike Francis,B,,,0,0,0,,,,,,,,,,,,,,,,,Nebraska,
5,38,NYG,Al Blozis,T,23,1944,1,1,2,0,0,23,0,0,0,0,0,0,0,0,1,15,0,,,Georgetown (DC),
5,39,GNB,Bill Green,B,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,
5,40,CHI,Martin Ruby,T,22,1950,0,0,4,0,,65,0,0,0,0,0,0,0,0,1,3,0,1,,Texas A&M,
6,41,PIT,Charley Greene,T,,,0,0,0,,,,,,,,,,,,,,,,,Tulsa,
6,42,RAM,Mike Sweeney,E,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
6,43,PHI,Earl Younglove,E,,,0,0,0,,,,,,,,,,,,,,,,,Washington,
6,44,CRD,Chal Daniel,G,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
6,45,DET,Murray Evans,BB,23,1943,0,0,1,0,0,19,8,22,72,0,3,3,2,0,5,63,0,,,Hardin-Simmons,
6,46,WAS,Harley McCollum,T,26,1947,0,0,1,0,,23,0,0,0,0,0,0,0,0,0,0,0,,,Tulane,College Stats
6,47,BKN,Henry Stanton,E,22,1947,0,0,0,0,,15,0,0,0,0,0,0,0,0,2,25,0,,,Arizona,
6,48,NYG,Bob Glass,B,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
6,49,GNB,Joe Krivonak,G,24,1946,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,,,South Carolina,
6,50,CHI,Harry Burrus,B,21,1948,0,0,0,0,,38,0,0,0,0,0,3,5,0,28,670,4,6,,Hardin-Simmons,
7,51,PIT,Johnny Butler,HB,23,1945,0,0,2,0,,26,14,36,191,0,2,168,517,4,8,186,2,4,,Tennessee,
7,52,RAM,Italo Rossi,T,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,
7,53,PHI,Billy Sewell,B,,,0,0,0,,,,,,,,,,,,,,,,,Washington St.,
7,54,CRD,Rupe Thornton,G,23,1947,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,,,Santa Clara,
7,55,DET,Tom Colella,HB,24,1949,0,0,2,0,0,89,56,148,617,4,18,199,753,8,18,215,5,26,,Canisius,
7,56,WAS,Bob Fitch,E,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,College Stats
7,57,BKN,Wayne Goldsmith,B,,,0,0,0,,,,,,,,,,,,,,,,,Emporia St.,
7,58,NYG,Tommy Prothro,B,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
7,59,GNB,Pres Johnston,HB,21,1946,0,0,0,0,,11,1,1,9,0,0,45,218,2,6,54,1,1,,SMU,
7,60,CHI,Bob Jeffries,G,23,1942,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,
8,61,PIT,Floyd Spendlove,T,,,0,0,0,,,,,,,,,,,,,,,,,Utah,
8,62,RAM,Bob Brumley,WB,22,1945,0,0,0,0,,1,0,0,0,0,0,5,18,0,2,27,0,,,Rice,
8,63,PHI,Bill Halverson,T,23,1942,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,Oregon St.,
8,64,CRD,Doug Renzel,B,,,0,0,0,,,,,,,,,,,,,,,,,Marquette,
8,65,DET,Joe Franceski,T,,,0,0,0,,,,,,,,,,,,,,,,,Scranton,
8,66,WAS,George Peters,B,,,0,0,0,,,,,,,,,,,,,,,,,Oregon St.,
8,67,BKN,Preston Flanagan,E,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
8,68,NYG,Tom Kearns,T,22,1946,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Miami (FL),
8,69,GNB,Joe Rogers,E,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,
8,70,CHI,Frank Maznicki,HB,22,1947,0,1,0,0,0,27,0,2,0,0,1,107,463,1,10,131,1,10,,Boston Col.,
