,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,PHI,Sam Francis,FB,23,1940,0,0,0,0,,40,4,9,34,1,2,253,873,5,4,4,0,1,,Nebraska,College Stats
1,2,BKN,Ed Goddard,B,22,1938,0,1,0,0,0,18,32,84,418,1,14,97,146,2,12,189,1,,,Washington St.,
1,3,CRD,Ray Buivid,B,22,1938,0,0,0,0,,17,34,83,500,11,4,51,89,0,2,12,1,,,Marquette,College Stats
1,4,NYG,Ed Widseth,T,27,1940,1,1,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,College Stats
1,5,PIT,Mike Basrak,C,24,1938,1,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,Duquesne,College Stats
1,6,WAS,Sammy Baugh HOF,QB,23,1952,4,6,13,0,0,167,1693,2995,21886,187,203,324,325,9,1,0,0,31,,TCU,College Stats
1,7,DET,Lloyd Cardwell,WB,24,1943,0,1,3,0,0,57,1,2,35,0,0,205,905,8,51,932,5,6,,Nebraska,
1,8,CHI,Les McDonald,E,22,1940,0,0,2,0,0,39,0,0,0,0,0,4,-4,0,51,924,8,,,Nebraska,
1,9,GNB,Ed Jankowski,FB,24,1941,0,1,1,0,0,50,0,0,0,0,0,275,1002,8,2,65,1,1,,Wisconsin,
1,10,RAM,Johnny Drake,B,21,1941,1,3,5,0,0,55,3,10,24,2,0,525,1700,24,41,530,3,3,,Purdue,
2,11,PHI,Fran Murray,B,22,1940,0,0,2,0,0,22,0,0,0,0,0,57,144,1,25,269,1,2,,Pennsylvania,
2,12,CRD,Gaynell Tinsley,E,22,1940,1,1,2,0,0,29,0,0,0,0,0,6,45,0,93,1356,7,2,,LSU,College Stats
2,13,BKN,Ace Parker HOF,TB,25,1946,2,0,5,0,0,68,335,718,4698,30,50,498,1292,13,8,229,3,7,,Duke,College Stats
2,14,NYG,Tarzan White,G,21,1945,0,1,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,
2,15,PIT,Bob Finley,B,,,0,0,0,,,,,,,,,,,,,,,,,SMU,
2,16,WAS,Nello Falaschi,BB,24,1941,0,3,3,0,,42,0,1,0,0,0,2,10,0,7,39,0,2,,Santa Clara,
2,17,DET,Charley Hamrick,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
2,18,CHI,Marv Stewart,C,,,0,0,0,,,,,,,,,,,,,,,,,LSU,
2,19,GNB,Averell Daniell,T,22,1937,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,College Stats
2,20,RAM,Julie Alfonse,WB,25,1938,0,0,2,0,0,20,6,12,67,0,0,49,76,0,7,160,0,,,Minnesota,
3,21,PHI,Drew Ellis,T,22,1939,0,0,2,0,0,22,0,0,0,0,0,1,6,0,0,0,0,,,TCU,
3,22,BKN,Max Starcevich,G,,,0,0,0,,,,,,,,,,,,,,,,,Washington,College Stats
3,23,CRD,Art Guepe,B,,,0,0,0,,,,,,,,,,,,,,,,,Marquette,
3,24,NYG,Jerry Dennerlein,T,21,1940,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,,St. Mary's (CA),
3,25,PIT,Bill Breeden,B,23,1937,0,0,0,0,0,9,0,0,0,0,0,10,25,0,6,59,0,,,Oklahoma,
3,26,WAS,Maurice Elder,B,,,0,0,0,,,,,,,,,,,,,,,,,Kansas St.,
3,27,DET,Vern Huffman,BB,22,1938,0,0,2,0,0,22,32,108,484,3,14,104,368,1,9,121,0,,,Indiana,
3,28,CHI,Dick Plasman,E,23,1947,0,2,3,0,0,59,0,1,0,0,0,1,1,0,56,1083,7,,,Vanderbilt,
3,29,GNB,Charles (Bud) Wilkinson,T,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
3,30,RAM,Bobby LaRue,B,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
4,31,PHI,Walt Gilbert,B,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,College Stats
4,32,CRD,H.K. (Bucky) Bryan,B,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
4,33,BKN,Bill Kurlish,B,,,0,0,0,,,,,,,,,,,,,,,,,Pennsylvania,
4,34,NYG,Ward Cuff,WB,25,1947,0,3,9,0,0,110,0,1,0,0,0,344,1851,7,106,1559,13,13,,Marquette,
4,35,PIT,Elmo (Bo) Hewes,B,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,
4,36,WAS,Dick Bassi,G,22,1947,0,1,3,0,,57,0,0,0,0,0,0,0,0,1,6,0,1,,Santa Clara,
4,37,DET,Bill Glassford,G,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
4,38,CHI,Henry Hammond,E,24,1937,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,Rhodes,
4,39,GNB,Bud Svendsen,C,22,1943,0,1,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,5,,Minnesota,
4,40,RAM,John Wiatrak,C,24,1939,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,Washington,
5,41,PHI,Alex Drobnitch,G,,,0,0,0,,,,,,,,,,,,,,,,,Denver,
5,42,BKN,Bert Johnson,FB,25,1942,0,0,2,0,0,56,16,54,237,0,6,152,368,2,17,270,3,3,,Kentucky,
5,43,CRD,Ham Harmon,C,24,1937,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,
5,44,NYG,Mickey Kobrosky,QB,22,1937,0,0,0,0,0,7,2,13,18,0,2,13,41,0,0,0,0,,,Trinity (CT),
5,45,PIT,Jack Frye,B,,,0,0,0,,,,,,,,,,,,,,,,,Missouri,
