,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CRD,Ki Aldrich,C,23,1947,0,2,6,0,0,73,0,0,0,0,0,0,0,0,0,0,0,8,,TCU,College Stats
1,2,CHI,Sid Luckman HOF,QB,22,1950,5,3,10,0,0,128,904,1744,14686,137,132,204,-239,4,1,15,0,17,,Columbia,College Stats
1,3,RAM,Parker Hall,TB,22,1946,1,1,4,0,0,53,331,729,4028,30,67,329,1083,6,3,9,0,7,,Mississippi,
1,4,PHI,Davey O'Brien,QB,22,1940,0,1,2,0,0,22,223,478,2614,11,34,208,-194,2,0,0,0,4,,TCU,College Stats
1,5,BKN,Bob MacLeod,HB,21,1939,0,0,0,0,,9,0,0,0,0,0,17,88,1,10,231,3,,,Dartmouth,College Stats
1,6,CHI,Bill Osmanski,FB,23,1947,1,3,2,0,0,46,0,1,0,0,0,368,1753,20,12,170,1,4,,Holy Cross,
1,7,DET,Johnny Pingel,TB,22,1939,0,0,0,0,0,9,27,48,343,3,4,74,301,1,0,0,0,,,Michigan St.,
1,8,WAS,I.B. Hale,T,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
1,9,GNB,Larry Buhler,B,22,1941,0,1,1,0,0,21,0,0,0,0,0,41,121,0,0,0,0,2,,Minnesota,
1,10,NYG,Walt Nielsen,FB,22,1940,0,0,0,0,0,9,0,1,0,0,0,73,269,1,2,17,0,,,Arizona,
2,11,BKN,Pug Manders,FB,26,1947,1,3,7,0,0,90,20,53,183,1,5,742,2712,35,28,375,2,11,,Drake,
2,12,CRD,Marshall Goldberg,B,21,1948,0,1,6,0,0,77,8,28,114,1,3,476,1644,11,60,775,5,19,,Pittsburgh,College Stats
2,13,RAM,Gaylon Smith,FB,23,1946,0,0,3,0,0,51,16,37,202,2,4,233,710,9,15,256,0,9,,Rhodes,
2,14,PHI,Chuck Newton,FB,22,1940,0,0,1,0,0,12,0,0,0,0,0,1,0,0,10,145,1,1,,Washington,
2,15,BKN,Bob Haak,G,23,1939,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,Indiana,
3,16,CRD,Alvord Wolff,T,,,0,0,0,,,,,,,,,,,,,,,,,Santa Clara,College Stats
3,17,PIT,Billy Patterson,B,21,1940,0,0,1,0,0,19,48,155,756,6,19,101,205,0,0,0,0,,,Baylor,
3,18,RAM,Elmer Tarbox,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,
3,19,PHI,Joe Mihal,T,23,1947,0,2,0,0,,33,0,0,0,0,0,0,0,0,0,0,0,,,Purdue,
3,20,BKN,Waddy Young,E,23,1940,0,0,2,0,0,22,0,0,0,0,0,1,1,0,15,185,0,,,Oklahoma,College Stats
3,21,CHI,John Wysocki,E,,,0,0,0,,,,,,,,,,,,,,,,,Villanova,
3,22,DET,Howie Weiss,FB,21,1940,0,0,1,0,0,20,0,0,0,0,0,116,448,3,8,81,0,2,,Wisconsin,
3,23,WAS,Charley Holm,B,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,
3,24,GNB,Charley Brock,C,23,1947,1,3,7,0,0,92,0,0,0,0,0,0,0,0,0,0,0,20,,Nebraska,
3,25,NYG,John Chickerneo,B,22,1942,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,Pittsburgh,
4,26,PIT,Hugh McCullough,TB,23,1945,0,0,2,0,0,36,87,254,1105,6,41,134,397,4,5,74,0,5,,Oklahoma,
4,27,CRD,Hal (Curly) Stebbins,B,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
4,28,RAM,Wally Garard,T,,,0,0,0,,,,,,,,,,,,,,,,,,
4,29,PHI,Billy Dewell,E,22,1949,0,1,6,0,,69,0,0,0,0,0,1,-1,0,177,2657,17,,,SMU,
4,30,BKN,Vic Bottari,B,,,0,0,0,,,,,,,,,,,,,,,,,California,College Stats
5,31,CRD,Bill Daddio,E,23,1946,0,0,1,0,0,25,0,0,0,0,0,0,0,0,16,147,1,1,,Pittsburgh,
5,32,PIT,Ernie Wheeler,DB,24,1942,0,0,0,0,0,10,5,17,94,1,7,17,0,0,0,0,0,,,North Dakota St.,
5,33,RAM,Eddie Gatto,T,,,0,0,0,,,,,,,,,,,,,,,,,LSU,
5,34,PHI,Zed Coston,C,24,1939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Texas A&M,
5,35,BKN,Jack Kinnison,C,,,0,0,0,,,,,,,,,,,,,,,,,Missouri,
5,36,CHI,Joe Delaney,T,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
5,37,DET,Steve Maronic,T,22,1940,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
5,38,WAS,Dick Todd,B,24,1948,0,2,2,0,0,79,5,11,104,0,1,368,1573,11,119,1826,20,16,,Texas A&M,
5,39,GNB,Lynn Hovland,G,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,
5,40,NYG,Don Willis,B,,,0,0,0,,,,,,,,,,,,,,,,,Clemson,
6,41,PIT,Sam Boyd,E,25,1940,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21,423,2,,,Baylor,
6,42,CRD,George Faust,BB,21,1939,0,0,0,0,0,9,0,5,0,0,1,22,71,0,4,85,0,,,Minnesota,
6,43,RAM,Barney McGarry,G,21,1942,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,,,Utah,
6,44,PHI,Jake Schuehle,HB,21,1939,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,Rice,
6,45,BKN,Len Janiak,B,23,1942,0,0,0,0,0,40,1,1,11,0,0,85,229,0,11,65,1,1,,Ohio,
6,46,BKN,Ed Beinor,T,21,1942,0,1,1,0,,33,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,College Stats
6,47,DET,Joe Wendlick,E,23,1941,0,0,1,0,,19,0,0,0,0,0,0,0,0,15,151,0,,,Oregon St.,
6,48,WAS,Dave Anderson,B,,,0,0,0,,,,,,,,,,,,,,,,,California,
6,49,GNB,Larry Craig,QB,23,1949,0,3,9,0,0,121,0,0,0,0,0,10,16,0,14,155,0,2,,South Carolina,
6,50,NYG,Jerry Ginney,G,23,1940,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,Santa Clara,
7,51,CRD,Bill Dwyer,B,,,0,0,0,,,,,,,,,,,,,,,,,New Mexico,
7,52,PIT,Eddie Palumbo,B,,,0,0,0,,,,,,,,,,,,,,,,,Detroit Mercy,
7,53,RAM,Jerry Dowd,C,22,1939,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,St. Mary's (CA),
7,54,PHI,Tony Ippolito,G,21,1943,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,1,,Purdue,
7,55,BKN,Alex Schoenbaum,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
7,56,CHI,Charles Heileman,E,24,1939,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,Iowa St.,
7,57,DET,Darrell Tully,TB,21,1939,0,0,0,0,0,9,20,75,356,2,13,31,50,1,0,0,0,,,Texas A&M-Commerce,
7,58,WAS,Quinton Lumpkin,C,,,0,0,0,,,,,,,,,,,,,,,,,Georgia,
7,59,GNB,Frank Twedell,G,22,1939,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
7,60,NYG,Lloyd Woodell,C,,,0,0,0,,,,,,,,,,,,,,,,,Arkansas,
8,61,PIT,Ole Nelson,E,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
8,62,CRD,Sherm Hinkebein,C,,,0,0,0,,,,,,,,,,,,,,,,,Kentucky,
8,63,RAM,Warren (Bronco) Brunner,B,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
8,64,PHI,George Somers,T,23,1942,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,,,La Salle,
8,65,BKN,Dan (Tiger) Hill,C,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
8,66,CHI,Bob Dannies,C,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
8,67,DET,Dick Trzuskowski,T,,,0,0,0,,,,,,,,,,,,,,,,,Idaho,
8,68,WAS,Bo Russell,T,23,1940,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,,Auburn,
8,69,GNB,Paul Kell,T,24,1940,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
8,70,NYG,Pete Zagar,T,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
9,71,CRD,Earl Brown,E,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
9,72,PIT,Steve Petro,G,24,1941,0,0,1,0,,17,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,
9,73,RAM,Lew Bostick,G,22,1942,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,
