,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CRD,King Hill,QB,21,1969,0,0,1,20,2,123,429,881,5553,37,71,88,308,9,0,0,0,,,Rice,College Stats
1,2,CRD,John David Crow,HB,23,1968,0,4,9,62,36,125,33,70,759,5,5,1157,4963,38,258,3699,35,,,Texas A&M,College Stats
1,3,GNB,Dan Currie,LB,23,1966,1,1,7,56,51,118,0,0,0,0,0,0,0,0,0,0,0,11,4.5,Michigan St.,College Stats
1,4,RAM,Lou Michaels,DE,22,1971,0,2,7,72,3,171,0,0,0,0,0,0,0,0,0,0,0,4,47,Kentucky,College Stats
1,5,RAM,Red Phillips,E,22,1967,1,3,9,46,37,119,0,0,0,0,0,0,0,0,401,6044,34,,,Auburn,
1,6,PHI,Walt Kowalczyk,FB,23,1961,0,0,0,3,0,40,0,0,0,0,0,103,264,2,34,256,1,1,,Michigan St.,College Stats
1,7,CHI,Chuck Howley HOF,LB,22,1973,5,6,12,94,0,180,0,0,0,0,0,0,0,0,0,0,0,25,26,West Virginia,College Stats
1,8,SFO,James Pace,HB,22,1958,0,0,0,0,0,12,0,0,0,0,0,52,161,2,10,59,0,,,Michigan,College Stats
1,9,SFO,Charlie Krueger,DT,21,1973,0,2,15,70,70,198,0,0,0,0,0,0,0,0,0,0,0,1,54,Texas A&M,
1,10,DET,Alex Karras HOF,DT,23,1970,3,4,12,98,98,161,0,0,0,0,0,0,0,0,0,0,0,4,100,Iowa,College Stats
1,11,BAL,Lenny Lyles,DB,22,1969,0,1,6,52,49,149,0,0,0,0,0,35,69,2,8,57,1,16,,Louisville,
1,12,NYG,Phil King,HB,22,1966,0,0,2,23,18,103,1,1,9,0,0,569,2192,7,86,951,9,,,Vanderbilt,College Stats
1,13,CLE,Jim Shofner,DB,22,1963,0,0,5,29,29,76,0,0,0,0,0,0,0,0,0,0,0,20,,TCU,College Stats
2,14,CRD,Jim McCusker,T,22,1964,0,0,4,25,0,83,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,
2,15,GNB,Jim Taylor HOF,FB,22,1967,1,5,9,84,81,133,0,0,0,0,0,1941,8597,83,225,1756,10,,,LSU,College Stats
2,16,WAS,Mike Sommer,HB,23,1963,0,0,1,0,0,22,0,0,0,0,0,78,253,2,9,166,0,,,George Washington,College Stats
2,17,PHI,Proverb Jacobs,T,23,1964,0,0,1,13,0,54,0,0,0,0,0,0,0,0,0,0,0,,1,California,
2,18,CHI,Willard Dewveall,E,22,1964,0,1,4,25,8,72,0,0,0,0,0,0,0,0,204,3304,27,,,SMU,College Stats
2,19,RAM,Clendon Thomas,DB,22,1968,0,1,6,39,7,137,0,0,0,0,0,18,70,0,60,1046,4,27,3,Oklahoma,College Stats
2,20,PIT,Larry Krutko,FB,23,1960,0,0,1,1,1,25,0,0,0,0,0,96,331,4,14,108,0,,,West Virginia,College Stats
2,21,CRD,Bobby Jack Oliver,T,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
2,22,SFO,Bob Newman,B,,,0,0,0,,,,,,,,,,,,,,,,,Washington St.,College Stats
2,23,NYG,Frank Youso,T,22,1965,0,0,6,28,6,92,0,0,0,0,0,0,4,0,0,0,0,,,Minnesota,
2,24,BAL,Bob Stransky,HB,22,1960,0,0,0,1,,14,0,0,0,0,0,28,78,0,3,11,0,,,Colorado,College Stats
2,25,CLE,Charley Mitchell,G,,,0,0,0,,,,,,,,,,,,,,,,,Florida,
3,26,CRD,Larry Cowart,C,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
3,27,GNB,Dick Christy,HB,22,1963,0,1,3,24,,64,6,18,94,2,2,337,1267,9,132,1473,6,,,North Carolina St.,College Stats
3,28,WAS,Stan Flowers,B,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,College Stats
3,29,CHI,Ed Cooke,DE,23,1967,0,1,6,36,0,117,0,0,0,0,0,0,0,0,0,0,0,7,22,Maryland,College Stats
3,30,RAM,Jim Jones,DB,23,1961,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,Washington,College Stats
3,31,WAS,Bill Anderson,E,22,1966,0,2,5,17,16,98,0,1,0,0,1,4,11,0,178,3048,15,,,Tennessee,College Stats
3,32,PIT,Billy Krisher,G,22,1961,1,1,2,19,0,35,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,
3,33,SFO,Bob Hoppe,B,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,College Stats
3,34,CLE,Buzz Guy,G,22,1961,0,0,1,6,,44,0,0,0,0,0,0,0,0,0,0,0,,,Duke,
3,35,BAL,Joe Nicely,G,,,0,0,0,,,,,,,,,,,,,,,,,West Virginia,
3,36,GNB,Ray Nitschke HOF,LB,21,1972,2,1,11,95,95,190,0,0,0,0,0,0,0,0,1,34,0,25,16,Illinois,College Stats
3,37,CHI,Don Healy,DT,22,1962,0,0,2,13,0,51,0,0,0,0,0,0,0,0,0,0,0,1,3.5,Maryland,
4,38,RAM,Urban Henry,DT,23,1964,0,0,0,8,4,38,0,0,0,0,0,0,0,0,0,0,0,,3.5,Georgia Tech,College Stats
4,39,GNB,Jerry Kramer HOF,G,22,1968,5,3,9,78,78,130,0,0,0,0,0,0,0,0,0,0,0,,,Idaho,
4,40,WAS,Dan Nolan,QB,,,0,0,0,,,,,,,,,,,,,,,,,Lehigh,
4,41,RAM,John Guzik,LB,22,1961,0,0,0,5,3,27,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,College Stats
4,42,CHI,Erich Barnes,DB,23,1971,1,6,12,76,4,177,0,0,0,0,0,0,0,0,2,74,1,45,,Purdue,College Stats
4,43,PHI,Frank Rigney,T,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,
4,44,RAM,Frank Woidzik,T,,,0,0,0,,,,,,,,,,,,,,,,,Buffalo,
4,45,DET,Wayne Walker,LB,21,1972,1,3,13,93,93,200,0,0,0,0,0,0,0,0,0,0,0,14,38.5,Idaho,
4,46,SFO,John Varone,B,,,0,0,0,,,,,,,,,,,,,,,,,Miami (FL),College Stats
4,47,NYG,Donnie Caraway,B,,,0,0,0,,,,,,,,,,,,,,,,,Houston,
4,48,BAL,Les Walters,DB,21,1958,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,1,,Penn St.,College Stats
4,49,CLE,Jim Ninowski,QB,22,1969,0,0,3,27,10,89,513,1048,7133,34,67,92,367,10,0,0,0,,,Michigan St.,College Stats
5,50,BAL,Ray Brown,DB,21,1960,0,0,2,2,2,36,8,19,78,1,0,5,20,0,0,0,0,13,,Mississippi,College Stats
5,51,GNB,Joe Francis,QB,22,1959,0,0,0,0,0,24,20,49,266,2,3,26,158,1,0,0,0,,,Oregon St.,College Stats
5,52,PHI,Bobby Mulgado,B,,,0,0,0,,,,,,,,,,,,,,,,,Arizona St.,College Stats
5,53,CHI,Bob Jewett,E,23,1958,0,0,1,0,0,12,0,0,0,0,0,0,0,0,15,192,1,,,Michigan St.,College Stats
5,54,WAS,Jim Van Pelt,QB,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,College Stats
5,55,RAM,Frank Ryan,QB,22,1970,0,3,5,77,7,126,1090,2133,16042,149,111,310,1358,6,0,31,1,,,Rice,College Stats
5,56,RAM,John Baker,DE,23,1968,0,0,8,43,4,131,0,0,0,0,0,0,0,0,0,0,0,2,42.5,North Carolina Central,
5,57,NYG,Dick Day,T,,,0,0,0,,,,,,,,,,,,,,,,,Washington,
5,58,NYG,Bobby Joe Conrad,FL,22,1969,1,1,10,51,,156,3,4,87,1,1,118,441,2,422,5902,38,4,,Texas A&M,College Stats
5,59,SFO,Billy Atkins,DB,23,1964,1,1,4,32,0,59,0,0,0,0,0,5,139,1,0,0,0,20,,Auburn,College Stats
5,60,CLE,Farrell Funston,E,,,0,0,0,,,,,,,,,,,,,,,,,Pacific,College Stats
5,61,CLE,Jim Gibbons,E,21,1968,0,3,7,28,,140,0,0,0,0,0,0,0,0,287,3561,20,,,Iowa,College Stats
6,62,GNB,Ken Gray,G,22,1970,1,6,12,69,,162,0,0,0,0,0,0,0,0,0,0,0,,,Howard Payne,
6,63,CRD,Bobby Gordon,DB,22,1960,0,0,2,7,0,25,0,0,0,0,0,2,10,0,0,0,0,5,1,Tennessee,College Stats
6,64,PHI,John Kersey,T,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
6,65,CHI,Merrill Douglas,FB,22,1962,0,0,0,1,1,55,0,0,0,0,0,54,213,2,4,26,0,,,Utah,College Stats
6,66,WAS,Dick Lynch,DB,22,1966,1,1,8,46,0,109,0,0,0,0,0,0,0,0,0,0,0,37,2,Notre Dame,College Stats
6,67,RAM,Floyd Iglehart,HB,24,1958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Wiley,
6,68,PIT,Dick Lasse,LB,22,1962,0,0,2,14,0,54,0,0,0,0,0,0,0,0,0,0,0,3,,Syracuse,College Stats
6,69,BAL,Bob Taylor,E,,,0,0,0,,,,,,,,,,,,,,,,,Vanderbilt,College Stats
6,70,NYG,Billy Lott,FB,23,1963,0,0,2,18,0,61,0,0,0,0,0,246,1123,12,85,919,8,,,Mississippi,College Stats
6,71,SFO,Henry Schmidt,DT,22,1966,0,1,2,27,2,99,0,0,0,0,0,0,0,0,0,0,0,1,6,USC,
6,72,CLE,Jim Wulff,DB,22,1961,0,0,1,5,,17,0,0,0,0,0,0,0,0,1,6,0,3,,Michigan St.,College Stats
6,73,DET,Dan Lewis,HB,22,1966,0,0,7,31,25,110,2,5,30,1,0,800,3205,19,99,1162,5,,,Wisconsin,College Stats
7,74,CRD,Jon Jelacic,DE,21,1964,0,0,2,16,,44,0,0,0,0,0,0,0,0,0,0,0,2,3,Minnesota,College Stats
7,75,GNB,Doug Maison,B,,,0,0,0,,,,,,,,,,,,,,,,,Hillsdale,
7,76,PHI,Len Mansfield,T,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburg St.,
7,77,CHI,Gene Bentley,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,College Stats
7,78,WAS,Leon Bennett,T,,,0,0,0,,,,,,,,,,,,,,,,,Boston Col.,
7,79,BAL,Johnny Sample,DB,22,1968,0,0,7,51,8,125,0,0,0,0,0,1,7,0,0,0,0,41,,Md-Eastern Shore,
7,80,RAM,Bill Jobko,LB,22,1966,0,0,5,26,13,107,0,0,0,0,0,0,0,0,0,0,0,5,6,Ohio St.,
7,81,NYG,Vernon Vaughn,E,,,0,0,0,,,,,,,,,,,,,,,,,Md-Eastern Shore,
7,82,BAL,John Diehl,DT,22,1965,0,0,0,11,8,53,0,0,0,0,0,0,0,0,0,0,0,,2,Virginia,
7,83,DET,Ralph Pfeifer,B,,,0,0,0,,,,,,,,,,,,,,,,,Kansas St.,College Stats
7,84,CLE,Bobby Mitchell HOF,FL,23,1968,1,4,10,88,29,148,3,3,61,1,0,513,2735,18,521,7954,65,,,Illinois,College Stats
7,85,DET,Hal Outten,T,,,0,0,0,,,,,,,,,,,,,,,,,Virginia,
8,86,GNB,Mike Bill,C,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,
8,87,SFO,Leon Burton,HB,23,1960,0,0,0,3,,14,0,0,0,0,0,16,119,1,3,8,0,,,Arizona St.,College Stats
8,88,PHI,Bill Striegel,G,22,1960,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,,,Pacific,
8,89,CHI,Ed Rutsch,T,,,0,0,0,,,,,,,,,,,,,,,,,George Washington,
8,90,WAS,Buddy Payne,E,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,College Stats
8,91,RAM,Bobby Marks,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas A&M,College Stats
8,92,DET,Karl Koepfer,G,23,1958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Bowling Green,
8,93,BAL,Floyd Peters,DT,22,1970,0,3,9,53,,145,0,0,0,0,0,0,0,0,0,0,0,3,33,San Francisco St.,
8,94,NYG,Don Sutherin,DB,22,1960,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,,Ohio St.,College Stats
8,95,SFO,Ron Mills,B,,,0,0,0,,,,,,,,,,,,,,,,,West Texas A&M,College Stats
8,96,CLE,Bert Lattimore,E,,,0,0,0,,,,,,,,,,,,,,,,,Duke,College Stats
8,97,DET,Phil Blazer,G,22,1960,0,0,1,6,,14,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
9,98,CRD,John Keelan,T,,,0,0,0,,,,,,,,,,,,,,,,,Kansas St.,
9,99,GNB,Norm Jarock,B,,,0,0,0,,,,,,,,,,,,,,,,,St. Norbert,
9,100,PIT,Mike Henry,LB,22,1964,0,0,5,26,9,76,0,0,0,0,0,0,0,0,0,0,0,9,3,USC,
9,101,CHI,Ralph Anderson,E,21,1960,0,0,2,7,0,22,0,0,0,0,0,0,0,0,55,791,6,,,Los Angeles St.,
9,102,WAS,Frank Kuchta,LB,21,1960,0,0,1,2,0,26,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
9,103,DET,Jim Loftin,B,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,College Stats
9,104,RAM,Gene Selawski,T,22,1961,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,,,Purdue,
9,105,NYG,Ron Kissel,T,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,
9,106,BAL,Hal Bullard,B,,,0,0,0,,,,,,,,,,,,,,,,,Lenoir-Rhyne,
9,107,SFO,George Troutman,T,,,0,0,0,,,,,,,,,,,,,,,,,Capital,
9,108,CLE,Bernie Parrish,DB,22,1966,0,2,8,52,49,105,0,0,0,0,0,0,0,0,0,0,0,31,3,Florida,College Stats
9,109,DET,Ben Paolucci,DT,21,1959,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,Wayne State (MI),
10,110,GNB,Carl Johnson,T,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,
10,111,CRD,Gil Robertshaw,T,,,0,0,0,,,,,,,,,,,,,,,,,Brown,
10,112,PHI,Theron Sapp,FB,23,1965,0,0,0,7,2,82,0,0,0,0,0,202,763,5,23,247,0,,,Georgia,College Stats
10,113,CHI,Aubrey Lewis,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,College Stats
10,114,WAS,Ben Preston,T,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,
10,115,RAM,Al Jacks,QB,,,0,0,0,,,,,,,,,,,,,,,,,Penn St.,College Stats
10,116,PIT,Dick Campbell,LB,23,1960,0,0,2,5,5,36,0,0,0,0,0,0,0,0,0,0,0,3,,Marquette,
10,117,BAL,Ray Schamber,E,,,0,0,0,,,,,,,,,,,,,,,,,South Dakota,
10,118,NYG,Herb Drummond,B,,,0,0,0,,,,,,,,,,,,,,,,,Central State (OH),
10,119,SFO,Vel Heckman,T,,,0,0,0,,,,,,,,,,,,,,,,,Florida,
10,120,CLE,Leo Russavage,T,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,
10,121,DET,Elliot Schaubach,T,,,0,0,0,,,,,,,,,,,,,,,,,William & Mary,
11,122,CRD,Dean Philpott,FB,22,1958,0,0,0,0,0,9,0,0,0,0,0,12,44,0,4,30,0,,,Fresno St.,
11,123,GNB,Harry Horton,E,,,0,0,0,,,,,,,,,,,,,,,,,Wichita St.,College Stats
11,124,PHI,Mel Dillard,B,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,College Stats
11,125,CHI,Rocco Cinelli,T,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,
11,126,WAS,Darrell Dess,G,23,1969,0,2,8,53,3,146,0,0,0,0,0,0,1,1,1,3,0,,,North Carolina St.,
11,127,PIT,Larry Aldrich,E,,,0,0,0,,,,,,,,,,,,,,,,,Idaho,College Stats
11,128,RAM,Gerry Schweitzler,E,,,0,0,0,,,,,,,,,,,,,,,,,Pacific,
11,129,NYG,Sid Williams,B,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,College Stats
11,130,BAL,Bobby Jordan,B,,,0,0,0,,,,,,,,,,,,,,,,,VMI,
11,131,SFO,Hogan Wharton,G,22,1963,0,0,3,22,,56,0,0,0,0,0,0,0,0,0,0,0,,,Houston,
11,132,CLE,Russ Bowermaster,E,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,College Stats
11,133,DET,Claude Chaney,B,,,0,0,0,,,,,,,,,,,,,,,,,Dayton,College Stats
12,134,GNB,Wayne Miller,E,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
12,135,CRD,Bill Hinton,G,,,0,0,0,,,,,,,,,,,,,,,,,Louisiana Tech,
12,136,PHI,Jack Crabtree,B,,,0,0,0,,,,,,,,,,,,,,,,,Oregon,College Stats
12,137,CHI,Johnny Morris,FL,22,1967,1,1,7,54,54,121,0,0,0,0,0,224,1040,5,356,5059,31,,,UC Santa Barbara,
12,138,WAS,Eddie Michaels,G,,,0,0,0,,,,,,,,,,,,,,,,,Villanova,
12,139,RAM,Ron Claiborne,T,,,0,0,0,,,,,,,,,,,,,,,,,Kansas,
