,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,SFO,Harry Babcock,E,23,1955,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,181,0,,,Georgia,College Stats
1,2,BAL,Billy Vessels,HB,22,1956,0,0,0,0,0,12,0,0,0,0,0,44,215,2,11,177,1,,,Oklahoma,College Stats
1,3,WAS,Jack Scarbath,QB,23,1956,0,0,1,0,0,29,101,279,1868,18,30,43,153,0,0,0,0,,,Maryland,College Stats
1,4,CRD,Johnny Olszewski,FB,22,1962,0,2,6,6,0,113,0,1,0,0,1,837,3320,16,104,988,3,,,California,
1,5,PIT,Ted Marchibroda,QB,22,1957,0,0,1,0,0,30,172,385,2169,16,29,50,176,3,0,0,0,,,Detroit Mercy,
1,6,CHI,Billy Anderson,DB,24,1954,0,0,1,0,0,19,0,0,0,0,0,3,8,0,3,33,0,,,Compton CC (CA),
1,7,GNB,Al Carmichael,HB,24,1961,0,0,5,8,0,84,1,1,26,0,0,222,947,4,112,1633,8,,,USC,College Stats
1,8,NYG,Bobby Marlow,B,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,College Stats
1,9,RAM,Donn Moomaw,C,,,0,0,0,,,,,,,,,,,,,,,,,UCLA,College Stats
1,10,SFO,Tom Stolhandske,LB,22,1955,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,,Texas,
1,11,CLE,Doug Atkins HOF,DE,23,1969,1,8,15,78,0,205,0,0,0,0,0,0,0,0,0,0,0,3,94.5,Tennessee,
1,12,RAM,Ed Barker,E,22,1954,0,0,2,0,,18,0,0,0,0,0,0,0,0,40,525,4,,,Washington St.,
1,13,DET,Harley Sewell,G,22,1963,0,4,10,21,20,122,0,0,0,0,0,0,0,0,0,0,0,1,,Texas,
2,14,BAL,Bernie Flowers,E,23,1956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Purdue,College Stats
2,15,CRD,Jim Psaltis,DB,25,1955,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,6,,USC,
2,16,WAS,Dick Modzelewski,DT,22,1966,0,1,13,41,0,180,0,0,0,0,0,0,0,0,0,0,0,,32.5,Maryland,College Stats
2,17,CHI,Zeke Bratkowski,QB,21,1971,0,0,2,20,-1,132,762,1484,10345,65,122,92,308,5,0,0,0,,,Georgia,College Stats
2,18,PIT,John Henry Johnson HOF,FB,23,1966,0,4,9,41,38,143,2,5,25,2,1,1571,6803,48,186,1478,7,1,,Arizona St.,
2,19,GNB,Gil Reich,B,,,0,0,0,,,,,,,,,,,,,,,,,Army/Kansas,
2,20,PHI,Al Conway,B,,,0,0,0,,,,,,,,,,,,,,,,,Army/William Jewell,
2,21,SFO,George Morris,C,22,1956,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,
2,22,NYG,Eddie Crowder,QB,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,College Stats
2,23,CLE,Billy Reynolds,HB,22,1960,0,0,0,0,0,54,0,0,0,0,0,176,585,7,24,252,0,,,Pittsburgh,
2,24,RAM,Rudy Bukich,QB,22,1968,0,0,3,30,0,103,626,1190,8433,61,74,112,109,9,0,0,0,,,USC,College Stats
2,25,DET,Gene Gedman,HB,21,1958,0,0,2,0,0,45,2,5,111,1,0,377,1221,17,53,504,4,,,Indiana,
3,26,BAL,Buck McPhail,FB,23,1953,0,0,0,0,0,12,0,0,0,0,0,53,138,0,10,38,0,,,Oklahoma,College Stats
3,27,WAS,Paul Dekker,E,22,1953,0,0,1,0,0,11,0,0,0,0,0,0,0,0,14,182,1,,,Michigan St.,College Stats
3,28,CRD,Dale Samuels,QB,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,
3,29,PIT,Marv Matuszak,LB,21,1964,1,3,5,24,0,126,0,0,0,0,0,0,0,0,0,0,0,14,10.5,Tulsa,
3,30,CHI,Bill Rowekamp,B,,,0,0,0,,,,,,,,,,,,,,,,,Army/Missouri,
3,31,GNB,Bill Forester,LB,21,1963,3,4,11,49,49,138,0,0,0,0,0,0,0,0,0,0,0,21,16.5,SMU,
3,32,SFO,Bob St. Clair HOF,T,22,1963,0,5,11,28,28,119,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,
3,33,NYG,Cal Roberts,T,,,0,0,0,,,,,,,,,,,,,,,,,Gustavus Adolphus,
3,34,PHI,Don Johnson,HB,21,1955,0,0,0,0,0,20,0,0,0,0,0,93,456,5,13,247,2,,,California,
3,35,CLE,Fred Bruney,DB,21,1962,0,2,5,20,,77,0,0,0,0,0,0,0,0,0,0,0,15,1,Ohio St.,College Stats
3,36,RAM,Bob Fry,T,22,1964,0,0,9,26,0,126,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,
3,37,CLE,Gene Donaldson,G,22,1953,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,
3,38,CLE,Jim Hietikko,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
4,39,BAL,Tom Catlin,LB,21,1959,0,0,2,0,,51,0,0,0,0,0,0,0,0,0,0,0,2,,Oklahoma,College Stats
4,40,CRD,Gerdes (Buck) Martin,E,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,
4,41,WAS,Don Boll,T,26,1960,0,0,7,3,0,92,0,0,0,0,0,0,0,0,0,0,0,,,Nebraska,
4,42,CHI,Joe Koch,B,,,0,0,0,,,,,,,,,,,,,,,,,Wake Forest,
4,43,PIT,Lloyd Colteryahn,E,22,1956,0,0,1,0,,27,0,0,0,0,0,0,0,0,54,664,3,,,Maryland,
4,44,GNB,Gib Dawson,HB,23,1953,0,0,0,0,0,7,0,0,0,0,0,5,18,0,0,0,0,,,Texas,College Stats
4,45,NYG,Everett Douglas,T,21,1953,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,Florida,
4,46,PHI,George Mrkonic,T,23,1953,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,Kansas,
4,47,SFO,Ed Fullerton,DB,22,1953,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,Maryland,
4,48,CLE,Dick Tamburo,C,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
4,49,RAM,Willie Roberts,E,,,0,0,0,,,,,,,,,,,,,,,,,Tulsa,
4,50,DET,Charlie Ane,T,22,1959,0,2,7,0,0,83,0,0,0,0,0,0,10,0,0,0,0,,,USC,
5,51,BAL,Jack Little,T,21,1954,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,Texas A&M,
5,52,WAS,Nick Carras,B,,,0,0,0,,,,,,,,,,,,,,,,,Missouri,
5,53,CRD,Bill Shalosky,G,,,0,0,0,,,,,,,,,,,,,,,,,Cincinnati,
5,54,PIT,Bob Gaona,T,22,1957,0,0,5,0,0,60,0,0,0,0,0,0,0,0,1,16,0,,,Wake Forest,
5,55,CHI,Stan Jones HOF,G,21,1966,3,7,11,35,33,157,0,0,0,0,0,0,0,0,0,0,0,,14,Maryland,College Stats
5,56,GNB,Roger Zatkoff,LB,22,1958,1,3,5,0,0,72,0,0,0,0,0,0,0,0,0,0,0,4,,Michigan,
5,57,PHI,Eddie Bell,DB,22,1960,0,0,5,6,0,62,0,0,0,0,0,0,0,0,0,0,0,11,,Pennsylvania,
5,58,SFO,Hal Miller,T,23,1953,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,College Stats
5,59,NYG,Buford Long,DB,21,1955,0,0,1,0,0,26,0,0,0,0,0,52,164,1,33,462,4,3,,Florida,
5,60,CLE,Bob Van Doren,DE,24,1953,0,0,1,0,,10,0,0,0,0,0,0,0,0,0,0,0,,,USC,
5,61,RAM,Tom Scott,DE,23,1964,0,2,10,30,,150,0,0,0,0,0,0,0,0,0,0,0,8,8.5,Virginia,
5,62,PHI,Rex Smith,E,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,
6,63,BAL,Jimmy Sears,DB,22,1961,0,0,0,4,,37,0,4,0,0,0,34,119,1,18,253,2,2,,USC,
6,64,CRD,Tony Curcillo,DB,22,1953,0,0,0,0,0,12,0,0,0,0,0,8,29,0,0,0,0,2,,Ohio St.,
6,65,RAM,Paul Miller,DE,22,1962,0,2,5,16,0,78,0,0,0,0,0,0,0,0,0,0,0,1,10,LSU,
6,66,CHI,Art DeCarlo,DB,22,1960,0,0,3,3,,61,0,0,0,0,0,0,0,0,9,126,0,7,,Georgia,College Stats
