,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,SFO,Dave Parks,SE,22,1973,1,3,9,52,33,118,0,1,0,0,0,4,-10,0,360,5619,44,,,Texas Tech,College Stats
1,2,PHI,Bob Brown HOF,T,22,1973,5,6,10,83,45,126,0,0,0,0,0,0,0,0,0,0,0,,,Nebraska,College Stats
1,3,WAS,Charley Taylor HOF,WR,22,1977,1,8,12,95,95,165,3,14,99,1,1,442,1488,11,649,9110,79,,,Arizona St.,College Stats
1,4,DAL,Scott Appleton,DT,22,1968,0,0,3,23,,70,0,0,0,0,0,0,0,0,0,0,0,2,16,Texas,College Stats
1,5,DET,Pete Beathard,QB,22,1973,0,0,3,26,,110,575,1282,8176,43,84,131,680,11,0,0,0,,,USC,College Stats
1,6,MIN,Carl Eller HOF,DE,22,1979,5,6,15,132,131,225,0,0,0,0,0,0,0,0,0,0,0,1,133.5,Minnesota,College Stats
1,7,RAM,Bill Munson,QB,23,1979,0,0,6,48,12,107,1070,1982,12896,84,80,130,548,3,1,-6,0,,,Utah St.,College Stats
1,8,BAL,Marv Woodson,DB,22,1969,0,1,4,31,,72,0,0,0,0,0,0,0,0,0,0,0,18,,Indiana,College Stats
1,9,STL,Ken Kortas,DT,22,1969,0,0,2,22,3,73,0,0,0,0,0,0,0,0,0,0,0,,14.5,Louisville,
1,10,PIT,Paul Martha,DB,22,1970,0,0,5,31,25,88,0,0,0,0,0,6,15,0,17,316,0,21,1,Pittsburgh,College Stats
1,11,CLE,Paul Warfield HOF,WR,21,1977,2,8,11,108,59,157,0,0,0,0,0,22,204,0,427,8565,85,,,Ohio St.,College Stats
1,12,NYG,Joe Don Looney,HB,21,1969,0,0,1,9,,42,0,1,0,0,0,214,724,11,26,171,2,,,Oklahoma,College Stats
1,13,GNB,Lloyd Voss,DE,22,1972,0,0,7,37,3,123,0,0,0,0,0,0,0,0,0,0,0,1,24.5,Nebraska,
1,14,CHI,Dick Evey,DT,23,1971,0,0,7,39,34,102,0,0,0,0,0,0,0,0,0,0,0,2,27.5,Tennessee,
2,15,SFO,George Mira,QB,22,1971,0,0,0,10,8,60,148,346,2110,19,20,50,379,0,0,0,0,,,Miami (FL),College Stats
2,16,PHI,Jack Concannon,QB,21,1975,0,0,3,26,6,90,560,1110,6270,36,63,217,1026,12,1,7,0,,,Boston Col.,College Stats
2,17,DAL,Mel Renfro HOF,DB,22,1977,0,10,13,100,100,174,0,0,0,0,0,8,52,0,4,65,0,52,2,Oregon,College Stats
2,18,WAS,Paul Krause HOF,DB,22,1979,3,8,15,119,30,226,1,2,11,1,0,1,0,0,2,17,0,81,2,Iowa,College Stats
2,19,MIN,Hal Bedsole,TE,22,1966,0,0,1,6,6,24,0,0,0,0,0,0,0,0,26,418,8,,,USC,College Stats
2,20,DET,Matt Snorton,TE,21,1964,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,College Stats
2,21,CHI,Bill Martin,TE,21,1968,0,0,2,7,1,70,0,0,0,0,0,0,0,0,58,705,4,,,Georgia Tech,College Stats
2,22,BAL,Tony Lorick,RB,23,1969,0,0,3,28,24,83,0,0,0,0,0,548,2124,14,86,890,5,,,Arizona St.,College Stats
2,23,CHI,Pat Crain,HB,,,0,0,0,,,,,,,,,,,,,,,,,Clemson,College Stats
2,24,STL,Herschel Turner,T,22,1965,0,0,0,7,7,27,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,
2,25,NYG,Steve Thurlow,RB,22,1968,0,0,3,14,6,50,4,6,114,0,0,314,1127,4,61,539,2,,,Stanford,College Stats
2,26,CLE,Billy Truax,TE,21,1973,0,0,6,26,,114,0,0,0,0,0,0,0,0,199,2458,17,,,LSU,College Stats
2,27,GNB,Jon Morris,C,22,1978,1,7,12,71,,182,0,0,0,0,0,0,0,0,0,0,0,,,Holy Cross,
2,28,PIT,Jim Kelly,TE,22,1967,0,0,1,6,2,19,0,0,0,0,0,0,0,0,31,531,5,,,Notre Dame,College Stats
3,29,SFO,Dave Wilcox HOF,LB,21,1974,2,7,11,74,74,153,0,0,0,0,0,0,0,0,0,0,0,14,36.5,Oregon,
3,30,DET,Pat Batten,FB,22,1964,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,Hardin-Simmons,
3,31,RAM,John Mims,T,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
3,32,RAM,Willie Brown,WR,22,1966,0,0,0,2,2,30,0,0,0,0,0,44,133,0,5,110,1,,,USC,College Stats
