,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,DET,Frankie Sinkwich,B,22,1947,1,0,2,0,0,35,121,301,1913,19,42,321,1090,7,2,11,0,4,,Georgia,
1,2,PHI,Joe Muha,FB,22,1950,0,0,5,0,0,56,0,0,0,0,0,67,257,1,4,42,1,5,,VMI,
1,3,CRD,Glenn Dobbs,TB,23,1949,1,0,3,0,,49,446,934,5876,45,52,262,1039,12,5,27,0,8,,Tulsa,College Stats
1,4,BKN,Paul Governali,QB,22,1948,0,0,2,0,,32,218,500,3348,31,33,79,-83,4,0,0,0,,,Columbia,College Stats
1,5,RAM,Mike Holovak,FB,23,1948,0,0,0,0,0,34,0,0,0,0,0,136,720,6,13,155,0,1,,Boston Col.,College Stats
1,6,NYG,Steve Filipowicz,FB,22,1946,0,0,2,0,0,21,0,2,0,0,0,55,145,2,11,133,2,4,,Fordham,
1,7,PHP,Bill Daley,FB,23,1948,0,0,1,0,,24,0,0,0,0,0,175,612,5,18,142,0,,,Columbia,College Stats
1,8,GNB,Dick Wildung,T,22,1953,0,1,7,0,0,83,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,College Stats
1,9,CHI,Bob Steuber,HB,21,1948,0,0,1,0,0,19,1,2,-4,0,0,79,461,3,3,23,0,1,,DePauw,
1,10,WAS,Jack Jenkins,FB,22,1947,0,0,2,0,0,22,0,0,0,0,0,84,274,1,7,123,0,4,,Vanderbilt,College Stats
2,11,DET,Dave Schreiner,E,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,College Stats
2,12,PHI,Lamar Davis,E,22,1949,0,0,2,0,,53,0,1,0,0,0,17,78,0,147,2103,12,7,,Georgia,
2,13,BKN,Blondy Black,B,23,1947,0,0,0,0,,9,0,0,0,0,0,6,49,0,2,28,0,1,,Mississippi St.,
2,14,CRD,John Grigas,FB,23,1947,0,0,4,0,0,49,60,166,889,6,27,465,1581,10,30,379,1,8,,Holy Cross,
2,15,RAM,Tom Farmer,HB,22,1948,0,0,2,0,0,27,0,2,0,0,0,95,307,3,26,302,2,6,,Iowa,
3,16,DET,Dick Ashcom,T,,,0,0,0,,,,,,,,,,,,,,,,,Oregon,
3,17,PHI,Monk Gafford,B,22,1948,0,0,3,0,,39,18,44,265,4,4,100,349,3,37,657,8,7,,Auburn,
3,18,CRD,Don Currivan,E,23,1949,0,0,2,0,0,75,0,0,0,0,0,1,-4,0,78,1979,24,6,,Boston Col.,
3,19,BKN,George Ceithaml,B,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,College Stats
3,20,RAM,Fred Naumetz,C,21,1950,1,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,7,,Boston Col.,
3,21,NYG,Dewey Proctor,FB,23,1949,0,0,1,0,,25,0,1,0,0,0,86,280,3,6,54,1,1,,Furman,
3,22,PHP,Jack Russell,E,24,1950,0,0,4,0,,65,0,0,0,0,0,0,0,0,83,1331,15,3,,Baylor,
