,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,GNB,Randy Duncan,QB,22,1961,0,0,0,2,,14,25,67,361,1,3,5,42,0,0,0,0,,,Iowa,College Stats
1,2,RAM,Dick Bass,FB,22,1969,0,3,7,52,52,112,1,4,22,0,0,1218,5417,34,204,1841,7,,,Pacific,College Stats
1,3,CRD,Billy Stacy,DB,23,1963,0,1,3,25,25,58,0,0,0,0,0,0,0,0,12,241,1,20,,Mississippi St.,College Stats
1,4,WAS,Don Allard,QB,23,1962,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,Boston Col.,
1,5,SFO,Dave Baker,DB,22,1961,0,1,3,22,22,38,0,0,0,0,0,0,0,0,0,0,0,21,1,Oklahoma,College Stats
1,6,DET,Nick Pietrosante,FB,21,1967,0,2,7,38,38,115,1,2,37,0,1,955,4026,28,141,1391,2,,,Notre Dame,College Stats
1,7,CHI,Don Clark,B,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,College Stats
1,8,SFO,Dan James,T,22,1967,0,0,7,35,,93,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,
1,9,RAM,Paul Dickson,DT,22,1971,0,0,7,48,0,152,0,0,0,0,0,0,0,0,0,0,0,,25.5,Baylor,
1,10,NYG,Lee Grosscup,QB,22,1962,0,0,0,3,1,16,73,173,1086,10,12,13,73,0,0,0,0,,,Utah,College Stats
1,11,CLE,Rich Kreitling,E,23,1964,0,0,5,21,20,79,0,0,0,0,0,2,-13,0,123,1775,17,,,Illinois,College Stats
1,12,BAL,Jackie Burkett,LB,22,1970,0,0,6,37,27,121,0,0,0,0,0,0,0,0,0,0,0,10,9.5,Auburn,
2,13,GNB,Alex Hawkins,HB,22,1968,0,0,3,24,,125,0,1,0,0,0,208,787,10,129,1751,12,,,South Carolina,College Stats
2,14,CRD,Jerry Wilson,DE,22,1960,0,0,1,6,,22,0,0,0,0,0,0,0,0,0,0,0,,,Auburn,College Stats
2,15,PHI,J.D. Smith,T,23,1966,0,1,7,35,30,86,0,0,0,0,0,0,0,0,0,0,0,,,Rice,
2,16,RAM,Buddy Humphrey,QB,23,1966,0,0,0,3,0,26,87,175,1094,4,12,4,11,0,0,0,0,,,Baylor,College Stats
2,17,SFO,Bob Harrison,LB,22,1967,0,0,1,28,19,106,0,0,0,0,0,0,0,0,0,0,0,5,3,Oklahoma,College Stats
2,18,DET,Charley Horton,G,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
2,19,DET,Mike Rabold,G,22,1967,0,0,4,33,0,105,0,0,0,0,0,0,0,0,0,0,0,,,Indiana,
2,20,RAM,Don Brown,HB,22,1960,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,Houston,
2,21,CHI,Richie Petitbon,DB,21,1972,1,4,13,85,67,179,0,0,0,0,0,2,1,0,0,0,0,48,2,Tulane,College Stats
2,22,NYG,Buddy Dial,SE,22,1966,0,2,5,50,,98,0,0,0,0,0,4,14,0,261,5436,44,,,Rice,College Stats
2,23,CLE,Dick Schafrath,T,22,1971,3,6,12,94,94,176,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats
2,24,BAL,Dave Sherer,E,22,1960,0,0,0,3,0,23,0,0,0,0,0,0,0,0,1,9,0,,,SMU,College Stats
3,25,GNB,Boyd Dowler,FL,21,1971,0,2,12,75,73,162,0,0,0,0,0,2,28,0,474,7270,40,,,Colorado,College Stats
3,26,PHI,Wray Carlton,HB,22,1967,0,2,5,34,,87,0,2,0,0,0,819,3368,29,110,1329,5,,,Duke,College Stats
3,27,CRD,Jimmy Butler,B,,,0,0,0,,,,,,,,,,,,,,,,,Vanderbilt,College Stats
