,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CLE,Bobby Garrett,QB,22,1954,0,0,0,0,,9,15,30,143,0,1,1,-3,0,0,0,0,,,Stanford,
1,2,CRD,Lamar McHan,QB,21,1963,0,0,7,9,0,113,610,1442,9449,73,108,239,849,12,0,1,0,,,Arkansas,College Stats
1,3,GNB,Art Hunter,C,21,1965,0,1,8,25,0,119,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,College Stats
1,4,GNB,Veryl Switzer,HB,22,1955,0,0,0,0,0,24,0,0,0,0,0,31,160,0,31,269,3,,,Kansas St.,
1,5,BAL,Cotton Davidson,QB,22,1968,0,2,3,41,0,111,770,1752,11760,73,108,129,533,11,1,-1,0,,,Baylor,
1,6,CHI,Stan Wallace,DB,22,1958,0,0,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,10,,Illinois,
1,7,PIT,Johnny Lattner,HB,21,1954,0,1,1,0,0,12,0,0,0,0,0,69,237,5,25,305,2,,,Notre Dame,College Stats
1,8,WAS,Steve Meilinger,E,23,1961,0,0,3,2,0,52,0,0,0,0,0,1,6,0,60,863,8,,,Kentucky,College Stats
1,9,PHI,Neil Worden,FB,23,1957,0,0,0,0,0,24,0,0,0,0,0,100,261,1,8,66,0,,,Notre Dame,College Stats
1,10,RAM,Ed Beatty,C,22,1961,0,0,4,11,,80,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,
1,11,SFO,Bernie Faloney,B,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,College Stats
1,12,CLE,John Bauer,T,22,1954,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,Illinois,
1,13,DET,Dick Chapman,T,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
2,14,CRD,Gary Knafelc,E,22,1963,0,0,4,6,0,101,0,0,0,0,0,0,0,0,154,2162,23,,,Colorado,
2,15,GNB,Bob Fleck,T,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,
2,16,BAL,Larry Grigg,B,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,College Stats
2,17,NYG,Ken Buck,E,,,0,0,0,,,,,,,,,,,,,,,,,Pacific,
2,18,CHI,Rick Casares,FB,23,1966,1,5,8,19,19,130,5,15,107,3,3,1431,5797,49,191,1588,11,,,Florida,
2,19,PIT,Pat Stark,B,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,College Stats
2,20,WAS,Jim Schrader,C,22,1964,0,3,8,22,9,116,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
2,21,PHI,Rocky Ryan,DB,22,1958,0,0,0,0,0,28,0,0,0,0,0,0,0,0,6,188,2,2,,Illinois,
2,22,RAM,Buddy Gillioz,T,,,0,0,0,,,,,,,,,,,,,,,,,Houston,
2,23,SFO,Leo Rucka,LB,23,1956,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,Rice,
2,24,CLE,Chet Hanulak,HB,21,1957,0,0,1,0,0,24,1,2,32,1,0,184,671,7,9,118,0,,,Maryland,College Stats
2,25,DET,Jim Neal,C,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
3,26,CRD,Bobby Cavazos,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,
3,27,GNB,George Timberlake,LB,21,1955,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,USC,
3,28,NYG,Clyde Bennett,E,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,
3,29,RAM,Jim Kincaid,DB,24,1954,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,South Carolina,
3,30,CHI,Ed Meadows,DE,22,1959,0,0,2,0,0,65,0,0,0,0,0,0,0,0,0,0,0,,,Duke,
3,31,PIT,Tom Miner,K,22,1958,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,
3,32,RAM,Tom Nickoloff,E,,,0,0,0,,,,,,,,,,,,,,,,,USC,College Stats
3,33,PHI,Ted Connor,T,,,0,0,0,,,,,,,,,,,,,,,,,Nebraska,
3,34,RAM,Henry Hair,E,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,College Stats
3,35,SFO,Steve Korcheck,C,,,0,0,0,,,,,,,,,,,,,,,,,George Washington,
3,36,CLE,Maurice Bassett,FB,23,1956,0,0,1,0,0,36,0,0,0,0,0,223,891,10,33,317,1,,,Langston,
3,37,DET,Bill Bowman,FB,22,1957,0,0,1,0,0,23,0,0,0,0,0,144,557,3,50,429,3,,,William & Mary,
4,38,CRD,Bill Bredde,DB,21,1954,0,0,0,0,0,12,0,0,0,0,0,13,57,1,3,44,0,2,,Oklahoma St.,
4,39,WAS,Ralph Felton,LB,22,1962,0,0,7,16,6,93,0,0,0,0,0,3,8,0,0,0,0,7,2,Maryland,College Stats
4,40,GNB,Tommy Allman,B,,,0,0,0,,,,,,,,,,,,,,,,,West Virginia,College Stats
4,41,NYG,Dick Nolan,DB,22,1962,0,0,9,12,9,99,0,0,0,0,0,0,0,0,0,0,0,23,,Maryland,College Stats
4,42,CHI,Fran Paterra,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
4,43,RAM,Lester McClelland,T,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,
4,44,DET,Bill Stits,DB,23,1961,0,1,4,5,0,92,2,3,62,1,1,49,165,0,8,69,0,15,,UCLA,
4,45,PHI,Menil Mavraides,G,22,1957,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
4,46,RAM,Norm Nygaard,B,,,0,0,0,,,,,,,,,,,,,,,,,San Diego St.,
4,47,SFO,Charlie Boxold,B,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,College Stats
4,48,CLE,Jerry Hilgenberg,C,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,
4,49,DET,Howard McCants,E,,,0,0,0,,,,,,,,,,,,,,,,,Washington St.,
5,50,CRD,Don Dohoney,E,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,College Stats
5,51,GNB,Max McGee,E,22,1967,0,1,9,58,58,148,0,2,0,0,1,12,121,0,345,6346,50,,,Tulane,
5,52,NYG,Earl Putman,C,22,1957,0,0,1,0,,12,0,0,0,0,0,0,0,0,0,0,0,,,Arizona St.,
5,53,BAL,Don Ellis,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas A&M,College Stats
5,54,CHI,Bob Griffis,G,,,0,0,0,,,,,,,,,,,,,,,,,Furman,
5,55,SFO,Bob Hantla,G,22,1955,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,Kansas,
5,56,WAS,Billy Wells,HB,22,1960,0,1,3,3,0,54,0,0,0,0,0,361,1384,5,57,725,2,,,Michigan St.,
5,57,RAM,Charlie Allen,T,,,0,0,0,,,,,,,,,,,,,,,,,San Jose St.,
5,58,RAM,Art Hauser,DT,25,1961,0,0,5,8,0,76,0,0,0,0,0,0,0,0,0,0,0,,6,Xavier (OH),
5,59,SFO,Frank Mincevich,G,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,
5,60,CLE,Bill Lucky,DT,23,1955,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
5,61,DET,George Parozzo,T,,,0,0,0,,,,,,,,,,,,,,,,,William & Mary,
6,62,CRD,Tom McHugh,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,College Stats
6,63,DET,Pence Dacus,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas St.,
6,64,CLE,Jim Ray Smith,G,22,1964,3,5,6,41,37,93,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
6,65,NYG,George Jacoby,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
6,66,CHI,John Hudson,G,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
6,67,PIT,Laurin Pepper,B,,,0,0,0,,,,,,,,,,,,,,,,,Southern Miss,
6,68,WAS,Bill McHenry,C,,,0,0,0,,,,,,,,,,,,,,,,,Washington & Lee,
6,69,PHI,Hal Lambert,T,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
6,70,RAM,Ken Panfil,T,23,1962,0,1,4,9,0,58,0,0,0,0,0,0,0,0,0,0,0,,,Purdue,
6,71,SFO,Floyd Sagely,DB,22,1957,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,,Arkansas,College Stats
6,72,CLE,Asa Jenkins,B,,,0,0,0,,,,,,,,,,,,,,,,,Toledo,
6,73,DET,Dick Kercher,HB,22,1954,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,,,Tulsa,
