,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,WAS,Harry Gilmer,QB,22,1956,0,2,1,0,0,76,263,579,3786,23,45,201,923,1,20,180,1,5,,Alabama,College Stats
1,2,NYG,Skippy Minisi,HB,21,1948,0,0,1,0,0,12,0,3,0,0,2,36,160,1,13,123,1,2,,Pennsylvania,
1,3,CHI,Bobby Layne HOF,QB,21,1962,2,6,13,20,0,175,1814,3700,26768,196,243,611,2451,25,0,0,0,,,Texas,College Stats
1,4,WAS,Lowell Tew,FB,21,1949,0,0,0,0,,15,0,0,0,0,0,38,160,6,7,97,0,,,Alabama,
1,5,BOS,Vaughn Mancha,C,26,1948,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,College Stats
1,6,DET,Y.A. Tittle HOF,QB,21,1964,3,7,14,44,,204,2427,4395,33070,242,248,372,1245,39,1,4,0,,,LSU,
1,7,GNB,Jug Girard,E,21,1957,0,0,3,0,0,114,67,197,1017,5,13,194,703,3,109,1838,15,8,,Wisconsin,
1,8,PHI,Clyde Scott,HB,24,1952,0,0,0,0,0,28,0,0,0,0,0,100,400,2,19,381,4,1,,Arkansas,College Stats
1,9,PIT,Dan Edwards,E,22,1954,1,1,6,0,,71,0,0,0,0,0,0,0,0,234,2898,16,,,Georgia,College Stats
1,10,CHI,Max Bumgardner,DE,25,1948,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,,,Texas,College Stats
1,11,CRD,Jim Spavital,FB,21,1950,0,0,1,0,,23,0,0,0,0,0,73,290,2,22,237,1,4,,Oklahoma St.,
2,12,NYG,Joe Scott,HB,22,1953,0,0,3,0,0,51,0,0,0,0,0,322,1218,14,79,1203,7,6,,San Francisco,
