,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,RAM,Billy Wade,QB,21,1966,0,2,8,48,7,128,1370,2523,18530,124,134,318,1334,24,0,10,0,,,Vanderbilt,
1,2,DTX,Les Richter HOF,LB,21,1962,1,8,8,22,,112,0,0,0,0,0,0,8,0,0,0,0,16,2.5,California,College Stats
1,3,CRD,Ollie Matson HOF,RB,22,1966,5,6,9,17,0,171,5,15,119,0,1,1170,5173,40,222,3285,23,3,,San Francisco,College Stats
1,4,GNB,Babe Parilli,QB,22,1969,1,3,7,60,0,189,1552,3330,22681,178,220,383,1522,23,1,0,0,,,Kentucky,College Stats
1,5,PHI,Johnny Bright,B,,,0,0,0,,,,,,,,,,,,,,,,,Drake,College Stats
1,6,PIT,Ed Modzelewski,FB,23,1959,0,0,2,0,0,66,0,0,0,0,0,393,1292,11,38,277,3,,,Maryland,
1,7,WAS,Larry Isbell,B,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,College Stats
1,8,CHI,Jim Dooley,B,22,1961,0,0,6,5,5,81,0,0,0,0,0,1,0,0,211,3172,16,5,,Miami (FL),
1,9,SFO,Hugh McElhenny HOF,HB,23,1964,2,6,10,20,5,143,2,7,13,1,1,1124,5281,38,264,3247,20,,,Washington,College Stats
1,10,CLE,Bert Rechichar,DB,22,1961,0,3,6,3,0,99,0,0,0,0,0,1,-1,0,7,185,3,31,,Tennessee,College Stats
1,11,NYG,Frank Gifford HOF,HB,22,1964,4,8,12,27,27,136,29,63,823,14,6,840,3609,34,367,5434,43,2,,USC,College Stats
1,12,CLE,Harry Agganis,QB,,,0,0,0,,,,,,,,,,,,,,,,,Boston Univ.,
1,13,RAM,Bob Carey,E,22,1958,0,0,1,0,0,32,0,0,0,0,0,0,0,0,47,663,2,,,Michigan St.,College Stats
2,14,DTX,Gino Marchetti HOF,DE,25,1966,7,11,13,59,0,161,0,0,0,0,0,0,0,0,1,36,1,1,56,San Francisco,
2,15,GNB,Billy Howton,E,22,1963,2,4,12,24,0,142,0,0,0,0,0,5,29,0,503,8459,61,,,Rice,
2,16,CRD,Johnny Karras,HB,24,1952,0,0,0,0,0,10,0,0,0,0,0,24,42,0,5,63,1,,,Illinois,College Stats
2,17,PHI,Jim Weatherall,DT,22,1960,0,2,4,3,0,65,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,College Stats
2,18,PIT,George Tarasovic,DE,22,1966,0,0,9,31,18,155,0,0,0,0,0,0,0,0,0,0,0,12,22.5,LSU,
2,19,WAS,Andy Davis,DB,25,1952,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,George Washington,
2,20,CHI,Eddie Macon,DB,25,1960,0,0,1,10,0,37,0,1,0,0,0,70,324,2,14,49,2,9,,Pacific,
2,21,CRD,Pete Brewster,E,22,1960,0,2,8,0,,104,0,0,0,0,0,0,0,0,210,3758,21,,,Purdue,
2,22,SFO,Bob Toneff,DT,22,1964,1,4,12,31,0,149,0,0,0,0,0,0,0,0,0,0,0,2,6.5,Notre Dame,College Stats
2,23,NYG,Ray Beck,G,21,1957,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,,Georgia Tech,
2,24,CLE,Bill Hughes,C,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
2,25,RAM,Bob Griffin,LB,23,1961,0,0,3,2,0,49,0,0,0,0,0,0,0,0,0,0,0,1,,Arkansas,
3,26,CLE,Don Klosterman,QB,22,1952,0,0,0,0,,2,3,10,47,0,3,1,-9,0,0,0,0,,,Loyola Marymount,
3,27,SFO,Gene Shannon,B,,,0,0,0,,,,,,,,,,,,,,,,,Houston,
3,28,GNB,Bobby Dillon HOF,DB,22,1959,4,4,8,0,0,94,0,0,0,0,0,0,0,0,0,0,0,52,,Texas,
3,29,PHI,Lum Snyder,T,22,1958,0,2,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,
3,30,PIT,Steve Wadiak,B,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,
3,31,WAS,Al Dorow,QB,22,1962,0,2,3,26,0,69,572,1207,7708,64,93,248,1150,16,0,0,0,,,Michigan St.,
3,32,CHI,Bill McColl,E,22,1959,0,0,3,0,0,96,2,6,138,1,2,0,0,0,201,2815,25,,,Stanford,College Stats
3,33,SFO,Billy Tidwell,HB,22,1954,0,0,0,0,0,10,0,1,0,0,0,1,1,0,0,0,0,,,Texas A&M,
3,34,DET,Yale Lary HOF,DB,21,1964,3,9,11,64,64,133,0,4,0,0,0,10,153,0,0,0,0,50,,Texas A&M,College Stats
3,35,NYG,Don Heinrich,QB,21,1962,0,0,2,1,0,56,164,406,2287,17,23,27,24,5,0,0,0,,,Washington,College Stats
3,36,CLE,Joe Campanella,LB,22,1957,0,0,4,0,,68,0,0,0,0,0,0,0,0,0,0,0,3,,Ohio St.,
3,37,RAM,Dewey McConnell,DB,22,1954,0,0,0,0,,9,0,0,0,0,0,0,0,0,1,2,0,3,,Wyoming,
4,38,NYG,Merwin Hodel,FB,21,1953,0,0,0,0,0,2,0,0,0,0,0,5,11,0,2,-15,0,,,Colorado,
4,39,CLE,Elmer Costa,G,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina St.,
4,40,RAM,Ken Casner,DT,22,1952,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
4,41,PHI,Chuck Ulrich,DT,22,1958,0,0,4,0,,51,0,0,0,0,0,0,0,0,0,0,0,,,Illinois,
4,42,PIT,Jack Gearding,T,,,0,0,0,,,,,,,,,,,,,,,,,,
4,43,WAS,Dick Hightower,C,,,0,0,0,,,,,,,,,,,,,,,,,SMU,College Stats
4,44,CHI,Herman Clark,G,21,1957,0,0,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,1,,Oregon St.,
4,45,DET,Pat Summerall,DE,22,1961,0,0,2,5,0,111,0,1,0,0,0,0,0,0,3,47,0,1,,Arkansas,College Stats
4,46,SFO,Marion Campbell,DE,23,1961,0,2,6,15,0,95,0,0,0,0,0,0,0,0,0,0,0,3,,Georgia,
4,47,NYG,Don Menasco,DB,22,1954,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5,,Texas,
4,48,CLE,Ray Renfro,HB,22,1963,0,3,9,26,26,142,1,6,36,1,1,137,682,4,281,5508,50,,,North Texas,
4,49,RAM,Skeets Quinlan,HB,24,1956,0,1,3,0,0,49,3,10,94,0,2,258,1514,9,75,1181,6,,,San Diego St.,
5,50,NYG,Jack Jorgenson,T,,,0,0,0,,,,,,,,,,,,,,,,,Colorado,
5,51,CRD,Dick Fugler,T,21,1954,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,Tulane,
5,52,GNB,Dave Hanner,DT,22,1964,0,2,11,36,36,160,0,0,0,0,0,0,0,0,0,0,0,4,18,Arkansas,
5,53,NYG,Mel Sinquefield,C,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi,
5,54,CHI,Jack Hoffman,DE,22,1958,0,0,5,0,0,55,0,0,0,0,0,0,0,0,6,86,0,2,,Xavier (OH),
5,55,WAS,Jim Clark,T,23,1953,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,Oregon St.,
5,56,CHI,Fred Williams,DT,23,1965,0,4,12,28,20,168,0,0,0,0,0,0,0,0,0,0,0,2,2.5,Arkansas,
5,57,SFO,Pat O'Donahue,DE,21,1955,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,Wisconsin,
5,58,DET,Bob Miller,DT,22,1958,0,0,4,0,0,81,0,0,0,0,0,0,0,0,0,0,0,1,,Virginia,
5,59,NYG,Robert Patton,G,25,1952,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Clemson,
5,60,CLE,Keever Jankovich,LB,24,1953,0,0,1,0,,12,0,0,0,0,0,0,0,0,0,0,0,,,Pacific,
5,61,RAM,Gordon Polofsky,LB,21,1954,0,0,1,0,,26,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee,
6,62,NYG,Dave Cianelli,C,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,
6,63,GNB,Tom Johnson,DT,21,1952,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,
6,64,CRD,John Hancock,G,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
6,65,PHI,Dick LemMon,B,,,0,0,0,,,,,,,,,,,,,,,,,California,
6,66,RAM,Duane Putnam,G,24,1962,3,5,8,11,2,121,0,0,0,0,0,0,0,0,0,0,0,,,Pacific,
6,67,WAS,Ed Kensler,G,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,
6,68,CHI,Ed Brown,QB,23,1965,0,2,8,36,10,154,949,1987,15600,102,138,265,960,14,1,-6,0,1,,San Francisco,
6,69,DET,Gordon Cooper,E,,,0,0,0,,,,,,,,,,,,,,,,,Denver,
6,70,SFO,Jim Beasley,C,,,0,0,0,,,,,,,,,,,,,,,,,Tulsa,
6,71,NYG,Jim MacKenzie,T,,,0,0,0,,,,,,,,,,,,,,,,,Kentucky,
6,72,CLE,Burrell Shields,HB,23,1955,0,0,1,0,,14,0,0,0,0,0,17,62,0,4,49,0,1,,John Carroll,
6,73,RAM,Jerrell Price,T,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,
7,74,DTX,Johnny Petitbon,DB,21,1957,0,0,4,0,0,47,0,0,0,0,0,3,10,0,1,11,0,8,,Notre Dame,
7,75,CRD,Harry Jabbusch,C,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,
7,76,GNB,Bill Reichardt,FB,22,1952,0,0,0,0,0,12,0,0,0,0,0,39,121,1,5,18,0,,,Iowa,
7,77,PHI,John Thomas,E,,,0,0,0,,,,,,,,,,,,,,,,,Oregon St.,
7,78,PIT,Claude Hipps,DB,25,1953,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,,Georgia,
7,79,WAS,Vic Janowicz,HB,22,1955,0,0,2,0,0,22,0,6,0,0,1,99,410,4,12,148,3,,,Ohio St.,College Stats
7,80,CHI,Joe Fortunato,LB,22,1966,3,5,12,71,71,155,0,0,0,0,0,2,-9,1,0,0,0,16,21,Mississippi St.,
7,81,SFO,Don Robison,B,,,0,0,0,,,,,,,,,,,,,,,,,California,
7,82,DET,Wes Gardner,C,,,0,0,0,,,,,,,,,,,,,,,,,Utah,
7,83,NYG,Val Joe Walker,DB,22,1957,0,0,4,0,,58,0,0,0,0,0,0,0,0,0,0,0,17,,SMU,
7,84,CLE,John Pace,T,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi St.,
7,85,RAM,Burt Delavan,T,22,1956,0,0,1,0,,14,0,0,0,0,0,0,0,0,0,0,0,,,Pacific,
8,86,CLE,Stan Williams,DB,22,1952,0,0,1,0,,12,0,0,0,0,0,0,0,0,9,123,0,5,,Baylor,
8,87,GNB,Mel Becket,C,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,
8,88,CRD,Don Coleman,G,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,College Stats
8,89,PHI,Wayne Robinson,LB,22,1956,0,2,5,0,0,58,0,0,0,0,0,0,0,0,0,0,0,5,,Minnesota,
8,90,CHI,Bill Bishop,DT,21,1961,0,1,9,9,7,117,0,0,0,0,0,0,0,0,0,0,0,2,,North Texas,
8,91,WAS,Hubert Johnston,T,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,
8,92,CHI,Billy Jurney,E,,,0,0,0,,,,,,,,,,,,,,,,,Arkansas,College Stats
8,93,DET,Tom Dublinski,QB,22,1960,0,0,0,0,0,29,93,177,1300,8,13,28,118,1,0,0,0,,,Utah,
8,94,SFO,Jerry Smith,G,21,1956,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,,,Wisconsin,
8,95,NYG,Billy Shipp,T,21,1954,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,
8,96,CLE,Herschel Forester,G,21,1957,0,0,2,0,0,48,0,0,0,0,0,0,0,0,0,0,0,,,SMU,
8,97,RAM,Tom McCormick,HB,22,1956,0,0,1,0,0,32,0,0,0,0,0,86,272,1,11,129,0,,,Pacific,
9,98,DTX,Jim Lansford,T,22,1952,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,Texas,
9,99,CRD,Malcolm Cook,B,,,0,0,0,,,,,,,,,,,,,,,,,Georgia,College Stats
9,100,GNB,Deral Teteak,LB,22,1956,0,1,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,6,,Wisconsin,
9,101,PHI,Maury Nipp,G,22,1956,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,,,Loyola Marymount,
9,102,PIT,Hal (Herky) Payne,B,,,0,0,0,,,,,,,,,,,,,,,,,Tennessee,
9,103,WAS,Dick Alban,DB,23,1959,0,1,8,0,0,96,0,0,0,0,0,0,0,0,0,0,0,30,,Northwestern,
9,104,CHI,Bobby Cross,T,21,1960,0,0,5,2,0,87,0,0,0,0,0,0,0,0,0,0,0,,,S.F. Austin,
9,105,SFO,Glen Christian,B,,,0,0,0,,,,,,,,,,,,,,,,,Idaho,
9,106,DET,Sonny Gandee,LB,23,1956,0,0,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,4,,Ohio St.,
9,107,NYG,John Kastan,B,,,0,0,0,,,,,,,,,,,,,,,,,Boston Univ.,
9,108,CLE,Bob Finnell,B,,,0,0,0,,,,,,,,,,,,,,,,,,
9,109,RAM,Byron Townsend,B,,,0,0,0,,,,,,,,,,,,,,,,,Texas,College Stats
10,110,NYG,Jim Hammond,B,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,
10,111,GNB,Art Kleinschmidt,G,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
10,112,CRD,John Feltch,T,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
10,113,PHI,Gerry McGinley,G,,,0,0,0,,,,,,,,,,,,,,,,,Pennsylvania,
10,114,PIT,George Gilmartin,B,,,0,0,0,,,,,,,,,,,,,,,,,,
10,115,WAS,Chet Ostrowski,DE,22,1959,0,0,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,2,,Notre Dame,
10,116,GNB,Bill Roffler,DB,21,1954,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,Washington St.,
10,117,DET,Steve Dowden,T,23,1952,0,0,1,0,,12,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
10,118,SFO,Carl West,B,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi,
10,119,NYG,Pat Knight,LB,23,1955,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,,SMU,
10,120,CLE,Pat Ribeiro,T,,,0,0,0,,,,,,,,,,,,,,,,,Pacific,
10,121,RAM,Luke Welch,T,,,0,0,0,,,,,,,,,,,,,,,,,Baylor,
11,122,DTX,Pat Cannamela,LB,23,1952,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,USC,
11,123,CRD,Leo Sugar,DE,23,1962,0,2,7,16,11,104,0,0,0,0,0,0,0,0,1,14,0,1,9,Purdue,
11,124,GNB,Billy Burkhalter,B,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
11,125,PHI,Ralph Goldston,HB,23,1955,0,0,0,0,0,27,0,0,0,0,0,79,203,3,4,20,0,,,Youngstown St.,
11,126,PIT,Jack Spinks,T,22,1957,0,0,0,0,0,30,0,0,0,0,0,28,94,0,3,28,0,,,Alcorn St.,
11,127,WAS,Orlando Mazza,E,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
11,128,CHI,Bill Miller,B,,,0,0,0,,,,,,,,,,,,,,,,,Wake Forest,
