,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,BAL,George Shaw,QB,22,1962,0,0,1,9,0,71,405,802,5829,41,63,130,431,6,0,0,0,,,Oregon,College Stats
1,2,CRD,Max Boydston,E,23,1962,0,0,3,9,0,83,0,0,0,0,0,0,0,0,97,1328,8,,,Oklahoma,College Stats
1,3,BAL,Alan Ameche,FB,22,1960,1,4,6,3,3,70,0,0,0,0,0,964,4045,40,101,733,4,,,Wisconsin,College Stats
1,4,WAS,Ralph Guglielmi,QB,22,1963,0,0,1,13,8,66,292,626,4119,24,52,177,633,2,0,0,0,,,Notre Dame,College Stats
1,5,GNB,Tom Bettis,LB,22,1963,0,0,6,18,10,109,0,0,0,0,0,0,0,0,0,0,0,1,4.5,Purdue,
1,6,PIT,Frank Varrichione,T,23,1965,0,5,10,29,9,133,0,0,0,0,0,0,-2,0,0,-7,0,,,Notre Dame,
1,7,RAM,Larry Morris,LB,21,1966,0,0,7,48,0,124,0,0,0,0,0,40,148,1,0,0,0,6,21.5,Georgia Tech,College Stats
1,8,NYG,Joe Heap,HB,23,1955,0,0,0,0,0,12,0,0,0,0,0,8,29,0,0,0,0,,,Notre Dame,College Stats
1,9,PHI,Dick Bielski,E,22,1963,0,1,3,9,0,114,0,0,0,0,0,80,229,2,107,1305,10,,,Maryland,
1,10,SFO,Dicky Moegle,DB,20,1961,0,1,5,12,0,73,0,2,0,0,0,60,310,6,8,185,0,28,,Rice,
1,11,CHI,Ron Drzewiecki,HB,22,1957,0,0,0,0,0,20,0,0,0,0,0,15,65,1,2,8,0,,,Marquette,
1,12,DET,Dave Middleton,E,21,1961,0,0,5,6,1,75,0,0,0,0,0,67,210,2,183,2966,17,,,Auburn,College Stats
1,13,CLE,Kurt Burris,C,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,College Stats
2,14,CRD,Lindon Crow,DB,22,1964,0,3,9,28,0,123,0,0,0,0,0,0,0,0,0,0,0,38,,USC,College Stats
2,15,RAM,Ron Waller,HB,22,1960,0,1,2,0,0,44,3,11,79,0,1,294,1569,8,44,443,1,,,Maryland,
2,16,BAL,Dick Szymanski,C,22,1968,0,3,9,52,52,157,0,0,0,0,0,0,0,0,1,5,0,6,,Notre Dame,College Stats
