,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,PIT,Gary Glick,DB,26,1963,0,0,4,10,0,71,0,0,0,0,0,1,15,0,0,0,0,14,,Colorado St.,College Stats
1,2,SFO,Earl Morrall,QB,22,1976,2,2,7,68,0,255,1379,2689,20809,161,148,235,878,8,0,0,0,,,Michigan St.,College Stats
1,3,DET,Howard Cassady,HB,22,1963,0,0,4,6,4,84,0,3,0,0,1,316,1229,6,111,1601,18,,,Ohio St.,College Stats
1,4,PHI,Bob Pellegrini,LB,21,1965,0,0,4,19,8,107,0,0,0,0,0,0,0,0,0,0,0,13,5.5,Maryland,College Stats
1,5,PIT,Art Davis,DB,21,1956,0,0,0,0,0,9,0,0,0,0,0,5,6,0,1,9,0,,,Mississippi St.,College Stats
1,6,RAM,Joe Marconi,FB,22,1966,0,1,2,21,4,135,0,0,0,0,0,673,2771,30,136,1326,9,,,West Virginia,College Stats
1,7,CRD,Joe Childress,HB,22,1965,0,0,4,22,22,96,1,3,43,0,1,530,2210,3,121,1700,13,,,Auburn,College Stats
1,8,GNB,Jack Losch,HB,22,1956,0,0,0,0,0,12,1,1,63,1,0,19,43,0,7,85,0,,,Miami (FL),
1,9,BAL,Lenny Moore HOF,HB,22,1967,5,7,10,61,61,143,3,12,33,2,2,1069,5174,63,363,6039,48,,,Penn St.,College Stats
1,10,CHI,Menan (Tex) Schriewer,E,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
1,11,RAM,Charlie Horton,B,,,0,0,0,,,,,,,,,,,,,,,,,Vanderbilt,
1,12,WAS,Ed Vereb,HB,22,1960,0,0,0,2,2,9,0,1,0,0,0,19,38,0,9,119,0,,,Maryland,
1,13,CLE,Preston Carpenter,E,22,1967,0,1,11,29,0,149,1,3,2,0,0,223,884,1,305,4457,23,,,Arkansas,College Stats
2,14,RAM,Leon Clarke,E,23,1963,0,1,3,7,0,79,0,0,0,0,0,1,-4,0,141,2215,18,,,USC,College Stats
2,15,SFO,Bruce Bosley,C,22,1969,0,4,12,53,50,175,0,0,0,0,0,0,0,0,0,0,0,,,West Virginia,College Stats
2,16,PHI,Frank D'Agostino,G,22,1960,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,,,Auburn,
2,17,PIT,Joe Krupa,DT,23,1964,0,1,8,33,33,110,0,0,0,0,0,0,0,0,0,0,0,,22.5,Purdue,
2,18,CRD,Norm Masters,T,22,1964,0,0,5,22,,104,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,
2,19,NYG,Henry Moore,DB,22,1957,0,0,0,0,0,16,0,0,0,0,0,2,-2,0,0,0,0,1,,Arkansas,College Stats
2,20,GNB,Forrest Gregg HOF,T,22,1971,7,9,11,96,94,193,0,0,0,0,0,0,0,0,0,0,0,,,SMU,
2,21,BAL,Dick Donlin,E,,,0,0,0,,,,,,,,,,,,,,,,,Hamline,
2,22,CHI,M.L. Brackett,DE,23,1958,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,,Auburn,
2,23,RAM,Hugh Pitts,LB,22,1960,0,0,2,7,0,21,0,0,0,0,0,0,0,0,0,0,0,3,1,TCU,
2,24,WAS,John Paluck,DE,21,1965,0,1,7,39,39,105,0,0,0,0,0,0,0,0,0,0,0,2,31.5,Pittsburgh,College Stats
2,25,CLE,Billy Kinard,DB,22,1960,0,0,2,6,0,45,0,0,0,0,0,1,27,1,0,0,0,4,,Mississippi,
3,26,SFO,Bill Herchman,DT,23,1962,0,0,4,13,0,85,0,0,0,0,0,0,0,0,0,0,0,1,1,Texas Tech,
3,27,DET,Don McIlhenny,HB,21,1961,0,0,3,4,0,64,0,1,0,0,0,414,1581,7,70,655,7,,,SMU,
3,28,PHI,Don Schaefer,FB,22,1956,0,0,1,0,0,12,1,3,11,1,0,102,320,2,13,117,0,,,Notre Dame,College Stats
3,29,PIT,Jim Taylor,C,22,1958,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,,Baylor,
3,30,NYG,Sam Huff HOF,LB,21,1969,2,5,13,64,37,168,0,0,0,0,0,0,0,0,0,0,0,30,29,West Virginia,
3,31,CRD,John Roach,QB,23,1964,0,0,1,12,8,64,182,413,2765,24,37,42,99,2,0,0,0,,,SMU,
3,32,RAM,A.D. Williams,E,22,1961,0,0,0,2,,37,0,0,0,0,0,0,0,0,15,190,1,,,Pacific,
3,33,BAL,Bob Pascal,B,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
3,34,CLE,Larry Ross,E,,,0,0,0,,,,,,,,,,,,,,,,,Denver,
3,35,RAM,John Marshall,B,,,0,0,0,,,,,,,,,,,,,,,,,SMU,
3,36,WAS,Fred Wyant,QB,22,1956,0,0,0,0,0,10,1,2,17,0,0,0,0,0,0,0,0,,,West Virginia,College Stats
3,37,CLE,Bill Quinlan,DE,24,1965,0,0,8,33,0,111,0,0,0,0,0,0,0,0,0,0,0,3,18.5,Michigan St.,
4,38,DET,Jerry Reichow,E,22,1964,0,1,5,22,0,95,12,38,187,0,4,20,105,0,172,2579,24,,,Iowa,
4,39,PIT,Dick Murley,T,23,1956,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,Purdue,
4,40,SFO,Frank Pajaczkowski,B,,,0,0,0,,,,,,,,,,,,,,,,,Richmond,
4,41,WAS,Fran Machinsky,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
4,42,CRD,Sam Salerno,T,,,0,0,0,,,,,,,,,,,,,,,,,Colorado,
4,43,BAL,Ben Inabinet,T,,,0,0,0,,,,,,,,,,,,,,,,,Clemson,
4,44,GNB,Cecil Morris,G,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,
4,45,NYG,Jim Katcavage,DE,21,1968,2,3,12,67,67,165,0,0,0,0,0,0,0,0,0,0,0,1,91.5,Dayton,
4,46,RAM,Will Berzinski,HB,22,1956,0,0,0,0,,4,0,0,0,0,0,15,72,0,3,35,0,,,Wisconsin–LaCrosse,
4,47,CHI,John Mellekas,C,23,1963,0,0,4,16,11,84,0,0,0,0,0,0,0,0,0,0,0,,3,Arizona,
4,48,RAM,Jim Carmichael,E,,,0,0,0,,,,,,,,,,,,,,,,,California,
4,49,CLE,Bobby Moss,B,,,0,0,0,,,,,,,,,,,,,,,,,West Virginia,College Stats
5,50,DET,Tom Tracy,HB,22,1964,0,2,4,17,0,89,24,67,854,6,5,808,2912,17,113,1468,14,,,Tennessee,
5,51,RAM,Jim Freeman,E,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,
5,52,PIT,Bill Murakowski,B,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,
5,53,RAM,Herb Nakken,B,,,0,0,0,,,,,,,,,,,,,,,,,Utah,
5,54,PHI,Fuzzy Thurston,G,22,1967,1,0,7,51,,116,0,0,0,0,0,0,0,0,0,0,0,,,Valparaiso,
5,55,BAL,Herb Gray,E,,,0,0,0,,,,,,,,,,,,,,,,,Texas,
5,56,GNB,Bob Skoronski,T,22,1968,0,1,9,48,48,146,0,0,0,0,0,0,0,0,0,0,0,,,Indiana,
5,57,NYG,Don Chandler,FB,22,1967,0,1,0,38,23,154,3,3,67,0,0,13,146,0,1,5,0,,,Florida,
5,58,CHI,Willie Galimore,HB,21,1963,0,1,3,21,21,82,0,1,0,0,1,670,2985,26,87,1201,10,,,Florida A&M,
5,59,WAS,Gary Lowe,DB,22,1964,0,0,4,23,0,97,0,1,0,0,1,0,0,0,0,0,0,20,2,Michigan St.,
5,60,RAM,Jesse Whittenton,DB,22,1964,1,2,8,46,0,112,0,0,0,0,0,0,0,0,0,0,0,24,,Texas-El Paso,
5,61,CLE,Frank Clarke,E,22,1967,1,0,5,52,0,140,0,1,0,0,0,32,231,1,291,5426,50,,,Colorado,College Stats
6,62,DET,Bob Lusk,C,24,1956,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,William & Mary,
6,63,PIT,Ray Taylor,B,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
6,64,SFO,Tony Sardisco,G,23,1962,0,0,3,18,0,50,0,0,0,0,0,0,0,0,0,0,0,,2,Tulane,
6,65,PHI,Tirrel Burton,B,,,0,0,0,,,,,,,,,,,,,,,,,Miami (OH),
6,66,CRD,Charlie Dupre,DB,22,1960,0,0,0,3,,14,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,College Stats
