,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CRD,George Cafego,FB,25,1945,0,0,2,0,,35,77,161,966,5,16,155,77,1,13,133,0,2,,Tennessee,College Stats
1,2,PHI,George McAfee HOF,HB,22,1950,1,1,4,0,,75,6,22,94,3,1,341,1685,21,85,1359,11,25,,Duke,
1,3,PIT,Kay Eakin,HB,23,1946,0,0,0,0,,31,41,107,601,3,12,56,-26,0,11,148,1,4,,Arkansas,
1,4,BKN,Banks McFadden,HB,23,1940,0,0,1,0,0,11,3,8,103,1,1,85,411,1,9,97,2,2,,Clemson,
1,5,RAM,Olie Cordill,WB,24,1940,0,1,1,0,0,10,0,0,0,0,0,24,73,0,14,158,2,1,,Rice,
1,6,DET,Doyle Nave,B,,,0,0,0,,,,,,,,,,,,,,,,,USC,
1,7,CHI,Bulldog Turner HOF,C,21,1952,7,4,12,0,0,138,0,0,0,0,0,1,48,1,1,2,0,17,,Hardin-Simmons,
1,8,WAS,Ed Boell,B,,,0,0,0,,,,,,,,,,,,,,,,,NYU,
1,9,GNB,Hal Van Every,TB,22,1941,0,0,0,0,0,20,23,71,394,4,8,63,281,2,5,44,0,6,,Minnesota,
1,10,NYG,Grenny Lansdell,HB,22,1940,0,0,0,0,0,2,2,3,23,0,0,7,9,0,0,0,0,,,USC,
2,11,CRD,George (Snuffy) Stirnweiss,B,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,
2,12,PIT,Ralph Wenzel,E,22,1942,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,Tulane,
2,13,PHI,John Schiechl,C,23,1947,0,0,3,0,,49,0,0,0,0,0,0,0,0,0,0,0,6,,Santa Clara,College Stats
2,14,BKN,Nile Kinnick,B,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,College Stats
2,15,RAM,Merl Condit,HB,23,1946,0,2,4,0,,54,10,48,152,1,6,421,1713,11,32,323,2,12,,Carnegie Mellon,
3,16,CRD,Lloyd Madden,WB,22,1940,0,0,0,0,0,9,0,0,0,0,0,29,186,2,4,90,1,,,Colorado Mines,
3,17,PHI,Dick Favor,B,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,
3,18,PIT,George Kiick,FB,23,1945,0,0,1,0,0,17,0,2,0,0,1,81,257,1,4,20,0,,,Bucknell,
3,19,BKN,Rhoten Shetley,B,22,1946,0,0,2,0,0,38,1,5,2,0,1,17,58,0,16,196,2,3,,Furman,
3,20,RAM,Jack Haman,C,22,1941,0,0,1,0,0,21,0,0,0,0,0,0,0,0,1,5,0,6,,Northwestern,
3,21,DET,Bill Fisk,E,23,1948,0,0,4,0,0,83,0,0,0,0,0,2,0,0,69,791,3,,,USC,
3,22,CHI,Ken Kavanaugh,E,23,1950,0,2,5,0,0,90,0,0,0,0,0,0,0,0,162,3626,50,1,,LSU,College Stats
