,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CHI,Tom Harmon,HB,21,1947,0,0,0,0,,22,1,3,31,0,0,107,542,3,15,288,3,11,,Michigan,College Stats
1,2,CRD,John Kimbrough,FB,23,1948,0,0,2,0,,38,0,0,0,0,0,329,1224,17,35,574,6,,,Texas A&M,College Stats
1,3,CHI,Norm Standlee,FB,22,1952,0,2,6,0,0,86,0,0,0,0,0,486,2244,23,7,15,0,2,,Stanford,
1,4,RAM,Rudy Mucha,G,23,1946,0,0,0,0,0,22,0,0,0,0,0,2,-1,0,1,3,0,,,Washington,College Stats
1,5,DET,Jim Thomason,WB,21,1945,0,0,0,0,0,5,0,0,0,0,0,9,9,0,1,6,0,,,Texas A&M,
1,6,NYG,George Franck,HB,22,1947,0,0,0,0,0,33,1,2,4,0,0,144,506,3,27,536,5,5,,Minnesota,College Stats
1,7,GNB,George Paskvan,FB,23,1941,0,0,0,0,0,7,0,0,0,0,0,38,116,0,0,0,0,2,,Wisconsin,
1,8,BKN,Dean McAdams,TB,23,1943,0,0,1,0,0,30,84,191,932,4,25,188,375,0,12,111,0,4,,Washington,
1,9,CHI,Don Scott,B,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
1,10,WAS,Forest Evashevski,B,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,College Stats
2,11,PHI,Art Jones,WB,22,1945,0,1,1,0,,18,6,23,86,0,3,78,303,4,9,129,1,8,,Richmond,
2,12,PIT,Chet Gladchuk,C,24,1947,0,0,2,0,,28,0,0,0,0,0,0,0,0,0,0,0,1,,Boston Col.,
2,13,CRD,Paul Christman,QB,23,1950,0,0,4,0,0,61,504,1140,7294,58,76,85,-26,8,0,0,0,,,Missouri,College Stats
2,14,RAM,Abe Shires,T,24,1945,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee,
2,15,DET,Gene Goodreault,E,,,0,0,0,,,,,,,,,,,,,,,,,Boston Col.,College Stats
3,16,PHI,Marion Pugh,B,22,1946,0,0,1,0,,24,94,200,1159,9,15,77,-127,2,4,43,0,,,Texas A&M,
3,17,CRD,Bob Foxx,B,,,0,0,0,,,,,,,,,,,,,,,,,Tennessee,
3,18,PIT,Johnny Knolla,HB,22,1945,0,0,0,0,,18,1,7,16,0,0,30,79,0,9,63,0,1,,Creighton,
3,19,RAM,Jay MacDowell,T,21,1951,0,0,3,0,,62,0,0,0,0,0,0,0,0,1,28,0,,,Washington,
3,20,DET,Harry Hopp,B,22,1947,0,1,3,0,0,51,36,101,508,0,14,265,801,7,24,294,3,5,,Nebraska,
3,21,GNB,Bob Paffrath,B,23,1946,0,0,0,0,,12,0,1,0,0,0,31,100,2,4,-6,0,,,Minnesota,
3,22,NYG,Frank Reagan,B,22,1951,0,0,1,0,0,68,16,37,239,1,2,114,469,6,4,71,0,35,,Pennsylvania,
3,23,CHI,Hugh Gallarneau,HB,24,1947,0,1,4,0,0,52,0,0,0,0,0,343,1421,26,51,794,7,4,,Stanford,
3,24,BKN,Leo Stasica,B,25,1944,0,0,0,0,0,18,23,55,273,1,8,34,-9,0,0,0,0,2,,Colorado,
