,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,PHI,Jay Berwanger,B,,,0,0,0,,,,,,,,,,,,,,,,,Chicago,College Stats
1,2,BOS,Riley Smith,BB,25,1938,0,0,1,0,0,30,19,46,290,3,3,45,58,2,18,300,3,,,Alabama,College Stats
1,3,PIT,Bill Shakespeare,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
1,4,BKN,Dick Crayne,FB,23,1937,0,0,1,0,0,22,3,6,72,0,0,111,338,1,2,36,0,,,Iowa,
1,5,CRD,Jimmy Lawrence,WB,23,1939,0,1,1,0,0,33,4,20,80,0,6,130,357,4,28,274,0,,,TCU,
1,6,CHI,Joe Stydahar HOF,T,24,1946,4,4,5,0,0,84,0,0,0,0,0,0,0,0,1,9,0,1,,West Virginia,
1,7,GNB,Russ Letlow,G,22,1946,0,2,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,,,San Francisco,
1,8,DET,Sid Wagner,G,23,1938,0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,
1,9,NYG,Art Lewis,T,25,1939,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,,,Ohio,
2,10,PHI,John McCauley,B,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
2,11,BOS,Keith Topping,E,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
2,12,PIT,Len Barnum,B,23,1942,0,0,2,0,,52,38,120,602,6,15,239,590,3,11,167,0,5,,West Virginia Wesleyan,
2,13,BKN,Vernal (Babe) LeVoir,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
2,14,CHI,Eddie Michaels,G,22,1946,0,0,4,0,0,62,0,0,0,0,0,0,0,0,0,0,0,,,Villanova,
2,15,CRD,Gomer Jones,C,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,College Stats
2,16,GNB,J.W. Wheeler,T,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,
2,17,DET,Chuck Cheshire,B,,,0,0,0,,,,,,,,,,,,,,,,,UCLA,
2,18,NYG,Tuffy Leemans HOF,FB,23,1943,1,2,8,0,0,80,167,383,2318,25,32,919,3132,17,28,422,3,4,,George Washington,
3,19,PHI,Wes Muller,C,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
3,20,BOS,Ed Smith,BB,23,1937,0,0,1,0,0,10,11,42,120,1,3,7,39,0,0,0,0,,,NYU,
3,21,PIT,Bobby Grayson,B,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,College Stats
3,22,BKN,Wagner Jorgensen,C,23,1937,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,St. Mary's (CA),
3,23,CRD,Eddie Erdelatz,E,,,0,0,0,,,,,,,,,,,,,,,,,,
3,24,CHI,George Roscoe,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
3,25,GNB,Bernie Scherer,E,23,1939,0,0,0,0,0,35,0,0,0,0,0,0,0,0,13,242,3,,,Nebraska,
3,26,DET,Andy Pilney,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
3,27,NYG,Frank (Butch) Loebs,E,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,
4,28,PHI,Bill Wallace,B,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
4,29,BOS,Paul Tangora,G,,,0,0,0,,,,,,,,,,,,,,,,,Northwestern,
4,30,PIT,Truman Spain,T,,,0,0,0,,,,,,,,,,,,,,,,,SMU,
4,31,BKN,Paul (Bear) Bryant,E,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,
4,32,CHI,Bob Allman,E,23,1936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,
4,33,CRD,Jeep Brett,E,22,1937,0,0,1,0,0,19,0,0,0,0,0,0,0,0,15,274,1,,,Washington St.,
4,34,GNB,Theron Ward,B,,,0,0,0,,,,,,,,,,,,,,,,,Idaho,
4,35,DET,Sheldon Beise,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
4,36,NYG,Gene Rose,E,23,1936,0,0,0,0,0,7,0,0,0,0,0,2,13,0,6,73,0,,,Tennessee,
5,37,PHI,Harry Shuford,B,,,0,0,0,,,,,,,,,,,,,,,,,SMU,
5,38,BOS,Wilson Groseclose,T,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
5,39,PIT,Dick Sandefur,FB,24,1937,0,0,0,0,0,9,0,0,0,0,0,7,13,0,0,0,0,,,Purdue,
5,40,BKN,Bobby Wilson,TB,23,1936,0,0,1,0,0,12,11,40,148,0,9,104,505,3,1,12,1,,,SMU,College Stats
5,41,CRD,Stan Riordan,E,,,0,0,0,,,,,,,,,,,,,,,,,Oregon,
5,42,CHI,Verne Oech,G,23,1937,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
5,43,GNB,Darrell Lester,C,22,1938,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,TCU,College Stats
5,44,DET,Kavanaugh Francis,C,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,
5,45,NYG,Ed Jontos,G,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,
6,46,PHI,Al Barabas,B,,,0,0,0,,,,,,,,,,,,,,,,,Columbia,
6,47,BOS,Larry Lutz,T,,,0,0,0,,,,,,,,,,,,,,,,,California,College Stats
6,48,PIT,Maurice Orr,T,,,0,0,0,,,,,,,,,,,,,,,,,SMU,
6,49,BKN,Joe Maniaci,B,22,1941,0,2,2,0,0,60,4,12,30,1,2,404,1855,14,16,184,0,2,,Fordham,
6,50,CHI,Ted Christofferson,B,,,0,0,0,,,,,,,,,,,,,,,,,Washington St.,
6,51,CRD,Ettore Antonini,E,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,
6,52,GNB,Bob Reynolds,T,22,1938,0,0,2,0,,20,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,College Stats
6,53,DET,Abe Mickal,B,,,0,0,0,,,,,,,,,,,,,,,,,LSU,
6,54,NYG,Gus Durner,T,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
7,55,PHI,Jack Weller,G,,,0,0,0,,,,,,,,,,,,,,,,,Princeton,College Stats
7,56,BOS,Don Irwin,FB,23,1939,0,0,1,0,0,29,0,14,0,0,3,172,586,6,27,289,0,,,Colgate,
7,57,PIT,Marty Peters,E,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
7,58,BKN,Herb Schreiber,B,,,0,0,0,,,,,,,,,,,,,,,,,,
7,59,CRD,Tack Dennis,B,,,0,0,0,,,,,,,,,,,,,,,,,Tulsa,
7,60,CHI,Dick Smith,T,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
7,61,GNB,Wally Fromhart,B,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
7,62,DET,Charlie Wasicek,T,,,0,0,0,,,,,,,,,,,,,,,,,Colgate,
7,63,NYG,Bob Peeples,T,,,0,0,0,,,,,,,,,,,,,,,,,Marquette,
8,64,PHI,Pepper Constable,B,,,0,0,0,,,,,,,,,,,,,,,,,Princeton,College Stats
8,65,BOS,Wayne Millner HOF,E,23,1945,0,0,5,0,0,76,0,0,0,0,0,14,62,0,124,1578,12,,,Notre Dame,College Stats
8,66,PIT,Ed Karpowich,T,23,1940,0,0,0,0,0,36,0,0,0,0,0,1,15,0,1,-6,0,,,Catholic,
8,67,BKN,Bob (Bones) Hamilton,B,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
8,68,CHI,John Sylvester,E,,,0,0,0,,,,,,,,,,,,,,,,,Rice,
8,69,CRD,Ross Carter,G,22,1939,0,0,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,,,Oregon,
8,70,GNB,Wally Cruice,B,,,0,0,0,,,,,,,,,,,,,,,,,Northwestern,
8,71,DET,Dale Rennebohm,C,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
8,72,NYG,Dick Heekin,B,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
9,73,PHI,Paul Pauk,B,,,0,0,0,,,,,,,,,,,,,,,,,Princeton,
9,74,BOS,Marcel Saunders,G,,,0,0,0,,,,,,,,,,,,,,,,,Loyola Marymount,
9,75,PIT,Joe Meglen,B,,,0,0,0,,,,,,,,,,,,,,,,,,
9,76,BKN,Monk Moscrip,E,22,1939,0,0,2,0,,22,0,0,0,0,0,1,8,0,20,294,1,,,Stanford,
9,77,CRD,Niels Larsen,T,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,
9,78,CHI,Danny Fortmann HOF,G,20,1943,6,3,8,0,0,86,0,0,0,0,0,0,0,0,0,0,0,8,,Colgate,
9,79,GNB,J.C. Wetsel,G,,,0,0,0,,,,,,,,,,,,,,,,,SMU,College Stats
9,80,DET,Bob (Choo-Choo) Train,E,,,0,0,0,,,,,,,,,,,,,,,,,Yale,
9,81,NYG,Phil Flanagan,G,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
