,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,CHI,Bob Fenimore,HB,21,1947,0,0,0,0,0,10,2,3,27,0,0,53,189,1,15,219,2,2,,Oklahoma St.,College Stats
1,2,DET,Glenn Davis,HB,22,1951,0,1,1,0,,23,4,7,102,2,0,152,616,4,50,682,5,,,Army,College Stats
1,3,BOS,Fritz Barzilauskas,G,27,1951,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,,,Yale,
1,4,WAS,Cal Rossi,B,,,0,0,0,,,,,,,,,,,,,,,,,UCLA,
1,5,PIT,Hub Bechtol,E,21,1949,0,0,1,0,,38,0,0,0,0,0,2,-1,0,19,192,1,2,,Texas Tech,
1,6,GNB,Ernie Case,QB,27,1947,0,0,0,0,,14,4,11,49,0,1,1,0,0,0,0,0,2,,UCLA,
1,7,CRD,Tex Coulter,T,22,1952,0,2,4,0,,69,0,0,0,0,0,0,0,0,9,116,1,,,Army,College Stats
1,8,PHI,Neill Armstrong,E,21,1951,0,0,1,0,0,54,0,0,0,0,0,0,0,0,76,961,11,9,,Oklahoma St.,
1,9,RAM,Herm Wedemeyer,B,23,1949,0,0,1,0,,25,9,31,79,0,4,143,540,0,46,442,2,,,St. Mary's (CA),
1,10,NYG,Vic Schwall,HB,22,1950,0,0,0,0,,41,0,3,0,0,0,56,301,1,6,28,2,,,Northwestern,
1,11,CHI,Don Kindt,DB,22,1955,0,1,7,0,0,108,0,0,0,0,0,172,586,4,43,506,2,21,,Wisconsin,
2,12,DET,Russ Thomas,T,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
2,13,BOS,Walt Heap,B,25,1948,0,0,1,0,,27,0,0,0,0,0,8,15,0,4,9,1,10,,Texas,
3,14,DET,Jim Kekeris,T,23,1948,0,0,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,
3,15,BOS,John Rapacz,C,23,1954,0,0,5,0,,76,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,
3,16,PIT,John Mastrangelo,T,21,1950,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
3,17,WAS,Gene (Red) Knight,B,,,0,0,0,,,,,,,,,,,,,,,,,LSU,
3,18,CRD,Ermal Allen,QB,28,1947,0,0,0,0,,12,4,13,88,0,0,7,11,0,0,0,0,4,,Kentucky,
3,19,PHI,Bill Mackrides,QB,22,1953,0,0,0,0,0,46,131,315,1583,15,28,70,124,3,0,0,0,,,Nevada,
3,20,GNB,Burr Baldwin,E,25,1949,0,0,2,0,,34,0,0,0,0,0,1,1,0,24,397,1,2,,UCLA,College Stats
3,21,RAM,Don Paul,LB,22,1955,1,3,6,0,0,87,0,0,0,0,0,0,0,0,0,0,0,11,,UCLA,
3,22,NYG,John Cannady,LB,24,1954,0,2,6,0,0,92,0,0,0,0,0,1,14,0,0,0,0,14,,Indiana,
3,23,CHI,Frank Minini,HB,25,1949,0,0,1,0,0,36,0,0,0,0,0,51,216,4,3,37,1,1,,San Jose St.,
4,24,DET,Charley Hoover,C,,,0,0,0,,,,,,,,,,,,,,,,,Vanderbilt,
4,25,BOS,Al Baldwin,E,24,1950,0,0,3,0,,51,0,0,0,0,0,2,1,0,160,2658,25,7,,Arkansas,
5,26,DET,Bob Chappuis,TB,24,1949,0,0,1,0,,19,102,227,1442,8,19,56,323,1,0,0,0,,,Michigan,College Stats
5,27,BOS,Carroll Vogelaar,T,27,1950,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,,,San Francisco,
5,28,WAS,Hank Foldberg,E,24,1949,0,0,2,0,,25,0,0,0,0,0,0,0,0,31,331,0,,,Army,College Stats
5,29,PIT,Frank Wydo,T,23,1957,0,0,10,0,0,132,0,0,0,0,0,0,0,0,2,21,0,1,,Cornell,
5,30,PHI,George Savitsky,T,23,1949,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,Pennsylvania,College Stats
