,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,NYG,Tucker Frederickson,RB,22,1971,0,1,4,32,32,66,0,1,0,0,1,651,2209,9,128,1011,8,,,Auburn,College Stats
1,2,SFO,Ken Willard,RB,22,1974,0,4,9,61,60,132,0,1,0,0,1,1622,6105,45,277,2184,17,,,North Carolina,College Stats
1,3,CHI,Dick Butkus HOF,LB,22,1973,5,8,9,82,82,119,0,0,0,0,0,1,28,0,0,0,0,22,11,Illinois,College Stats
1,4,CHI,Gale Sayers HOF,RB,22,1971,5,4,5,60,60,68,4,18,111,1,2,991,4956,39,112,1307,9,,,Kansas,College Stats
1,5,DAL,Craig Morton,QB,22,1982,0,0,11,84,35,207,2053,3786,27908,183,187,215,627,12,0,0,0,,,California,College Stats
1,6,CHI,Steve DeLong,DE,22,1972,0,1,6,41,5,103,0,0,0,0,0,0,0,0,0,0,0,1,37.5,Tennessee,College Stats
1,7,GNB,Donny Anderson,RB,22,1974,0,1,6,69,48,126,6,13,111,2,0,1197,4696,41,209,2548,14,,,Texas Tech,College Stats
1,8,MIN,Jack Snow,WR,22,1975,0,1,10,61,,150,0,0,0,0,0,2,3,0,340,6012,45,,,Notre Dame,College Stats
1,9,RAM,Clancy Williams,DB,22,1972,0,0,6,44,44,97,0,0,0,0,0,3,3,0,0,0,0,28,,Washington St.,College Stats
1,10,GNB,Larry Elkins,WR,22,1967,0,0,1,4,,18,0,0,0,0,0,2,19,0,24,315,3,,,Baylor,College Stats
1,11,DET,Tom Nowatzke,FB,22,1972,0,0,1,14,11,96,0,0,0,0,0,361,1249,13,100,605,4,1,,Indiana,College Stats
1,12,STL,Joe Namath HOF,QB,22,1977,1,5,9,94,,140,1886,3762,27663,173,220,71,140,7,0,0,0,,,Alabama,College Stats
