,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,BOS,Boley Dancewicz,QB,21,1948,0,0,1,0,0,23,96,238,1551,12,29,65,229,2,0,0,0,1,,Notre Dame,
1,2,CRD,Dub Jones,HB,21,1955,1,2,6,0,,114,5,20,40,1,3,540,2210,21,171,2874,20,2,,LSU,
1,3,PIT,Felix (Doc) Blanchard,B,,,0,0,0,,,,,,,,,,,,,,,,,Army,
1,4,CHI,Johnny Lujack,QB,21,1951,1,2,3,0,0,45,404,808,6295,41,54,133,742,21,1,16,0,12,,Notre Dame,College Stats
1,5,NYG,George Connor HOF,T,21,1955,4,4,7,0,,91,0,0,0,0,0,0,0,0,5,89,0,7,,Notre Dame,College Stats
1,6,GNB,Johnny Strzykalski,HB,24,1952,0,1,5,0,,81,1,5,38,0,0,662,3415,19,93,1218,12,8,,Marquette,
1,7,PHI,Leo Riggs,B,,,0,0,0,,,,,,,,,,,,,,,,,USC,
1,8,DET,Bill Dellastatious,B,,,0,0,0,,,,,,,,,,,,,,,,,Missouri,
1,9,WAS,Cal Rossi,B,,,0,0,0,,,,,,,,,,,,,,,,,UCLA,
1,10,RAM,Emil Sitko,HB,23,1952,0,0,1,0,,30,0,0,0,0,0,163,636,2,9,87,1,,,Notre Dame,College Stats
2,11,CRD,Mac Wenskunas,C,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,
2,12,BOS,Nick Scollard,E,26,1949,0,0,2,0,0,47,0,0,0,0,0,0,0,0,15,201,3,1,,St. Joseph's (IN),
2,13,PIT,George Clark,B,,,0,0,0,,,,,,,,,,,,,,,,,Duke,
2,14,CHI,Julie Rykovich,HB,23,1953,0,0,5,0,0,82,1,4,12,0,1,648,2584,28,75,1158,4,5,,Illinois,
2,15,NYG,Elmer Jones,G,26,1948,0,0,0,0,,31,0,0,0,0,0,0,0,0,0,0,0,2,,Wake Forest,
3,16,CRD,Elmer Angsman,HB,20,1952,0,1,4,0,0,83,0,2,0,0,0,683,2908,27,41,654,5,,,Notre Dame,College Stats
3,17,BOS,Bob McClure,G,22,1948,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,,Nevada,
3,18,PIT,Harmon Rowe,DB,23,1952,0,0,3,0,,59,0,0,0,0,0,8,18,0,0,0,0,11,,San Francisco,
3,19,CHI,Frank Broyles,QB,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,
3,20,NYG,Hosea Rodgers,FB,24,1949,0,0,1,0,,12,0,1,0,0,0,131,494,5,7,97,0,,,North Carolina,
3,21,GNB,Bob Nussbaumer,HB,22,1951,0,0,0,0,0,49,1,1,10,0,0,95,238,0,76,992,5,16,,Michigan,
3,22,DET,Russ Thomas,T,22,1949,0,0,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,,Ohio St.,
3,23,PHI,Gordon Gray,E,,,0,0,0,,,,,,,,,,,,,,,,,USC,
3,24,WAS,Stan Kozlowski,FB,22,1946,0,0,0,0,,5,0,0,0,0,0,18,61,0,2,27,0,,,Holy Cross,
3,25,RAM,Don Samuel,DB,22,1950,0,0,0,0,,6,7,21,67,0,1,39,163,1,1,2,0,1,,Oregon St.,
4,26,CRD,Hamilton Nichols,G,21,1951,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,,Rice,
