1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Duke,VMI,Minnesota,Purdue,North Carolina St.,Nebraska,Santa Clara,Duquesne,Unknown,Georgia,California,Oregon,Chattanooga,SMU,SMU,Miami (FL),Xavier (OH),Wake Forest,Furman,Alabama,Valparaiso,Arkansas,Michigan,Notre Dame,Cornell Col.,Arkansas,Mississippi,Utah St.,Pacific,Missouri,USC,Grambling St.,Miami (FL),Stanford,UCLA,Prairie View A&M,North Dakota,BYU,Alabama,Central Michigan,Grambling St.,UNLV,Washington,Memphis,Arizona,LSU,South Carolina St.,Rutgers,California-Davis,Houston,Indiana St.,SMU,South Carolina,California,Texas A&M,North Dakota St.,Texas,Miami (FL),Oklahoma,Montana,Eastern Kentucky,Syracuse,Alabama,Boston College,Oklahoma,Memphis,Oregon,Florida St.,Marshall,Louisville,Purdue,Tennessee,Eastern Michigan,Oklahoma,Florida,Temple,Oklahoma,Boise St.,Washington,Nebraska,Clemson,Ohio St.,Wake Forest,Kentucky,Iowa,Vanderbilt,Western Michigan,USC,Ohio St.
Princeton,TCU,Hardin-Simmons,Ohio St.,George Washington,Wake Forest,Canisius,Texas A&M,Texas Tech,Notre Dame,Texas,Georgia,LSU,Purdue,Notre Dame,Iowa St.,Oregon St.,Maryland,Kansas,Texas,Texas,Detroit Mercy,Rice,Northwestern,North Texas,Syracuse,Boston College,Iowa St.,Notre Dame,Utah St.,Ohio St.,Adams St.,Lamar,Tulsa,Purdue,USC,Grambling St.,Michigan,Wichita St.,Pittsburgh,Mississippi St.,Texas A&M,USC,UNLV,BYU,Utah,Utah,Syracuse,East Carolina,LSU,Washington,Florida,Minnesota,Arkansas,Kentucky,Colorado,Texas,Nebraska,Jackson St.,Florida St.,Tennessee,Notre Dame,Penn St.,West Virginia,Wake Forest,Arkansas,BYU,Penn St.,Florida St.,Miami (FL),LSU,Maryland,Rutgers,Missouri,Penn St.,Florida St.,Wisconsin,Rice,LSU,Minnesota,Pittsburgh,Alabama,LSU,Northern Illinois,Ohio St.,Penn St.,Colorado St.,SMU,Houston
Colgate,Washington,Montana,Iowa St.,USC,Marquette,Minnesota,Penn St.,Minnesota,Duquesne,Michigan,Miami (FL),Gustavus Adolphus,TCU,Dartmouth,McMurry,Arkansas,Michigan,Michigan St.,Toledo,Indiana,USC,North Carolina Central,Montana St.,Iowa,Tulane,Virginia,Stanford,Notre Dame,San Jose St.,Virginia,Iowa St.,Vanderbilt,Oklahoma St.,UCLA,Kansas St.,North Carolina,Texas A&M,Colorado,Washington,McNeese St.,Minnesota-Duluth,BYU,East Carolina,Oklahoma,Nebraska,Duke,Memphis,Ohio St.,Auburn,Nebraska,Syracuse,Ohio St.,Mississippi,Tennessee St.,South Carolina,Washington St.,La-Monroe,Wayne State (NE),West Virginia,Notre Dame,Nebraska,Washington St.,Florida St.,Miami (FL),Alabama,Iowa,Troy,Maryland,Oklahoma St.,Oklahoma,Texas,Louisville,USC,Purdue,California,Ohio St.,Kansas St.,Indiana,Mississippi,Kansas St.,Connecticut,Florida,Georgia,Alabama,Western Michigan,Mississippi,Miami (FL),Western Michigan
Notre Dame,Purdue,Northwestern,Texas A&M-Commerce,Baylor,San Francisco,Emporia St.,Unknown,Colorado,Fresno St.,UCLA,Washington & Lee,Yale,Texas Tech,Dartmouth,Loyola Marymount,Wisconsin,Pennsylvania,San Jose St.,West Virginia,Florida,USC,Washington,Los Angeles St.,Stanford,Pittsburgh,San Jose St.,Georgia Tech,Nebraska,Iowa St.,Illinois,Florida,Florida A&M,Utah,Notre Dame,West Virginia,Michigan,Arkansas,Oklahoma St.,SMU,Kansas,Alabama,Texas-Arlington,Washington,Washington,Auburn,Michigan St.,USC,Texas,Maryland,Washington St.,Nicholls St.,Maryland,Pittsburgh,Nebraska,Northern Iowa,LSU,Penn St.,Texas,Colorado,Temple,Washington St.,Hampton,Mississippi St.,Tennessee,Stanford,Kansas St.,Penn St.,Alabama,Clemson,Miami (FL),Notre Dame,Michigan,Utah,Alabama,Illinois,Arizona St.,South Carolina,Ohio St.,Wisconsin,Clemson,Vanderbilt,Sam Houston St.,Stanford,Mississippi,Louisville,Central Michigan,Minnesota,Alabama
Unknown,Oregon,West Virginia,Georgia,San Jose St.,Alabama,Duke,UCLA,Notre Dame,Marquette,Notre Dame,UCLA,Colorado Mines,Michigan St.,Notre Dame,Washington St.,Virginia,Georgia Tech,Xavier (OH),Pittsburgh,Florida A&M,Illinois,Texas A&M,Ohio St.,TCU,Utah St.,Mississippi,Nebraska,Georgia,LSU,Iowa,Ohio St.,West Virginia,New Mex. Highlands,Penn St.,BYU,Arkansas St.,Washington,Southern,Pacific,Miami (OH),Oregon St.,Kansas St.,Tennessee,San Jose St.,Penn St.,Nebraska,LSU,Nicholls St.,Clemson,Nebraska,Iowa,Penn St.,Oregon,Wake Forest,Texas-El Paso,Carson-Newman,Washington,Miami (FL),Kansas St.,Oregon St.,Penn St.,California,Texas Tech,Georgia Tech,Tennessee,Colorado,Ohio St.,Pittsburgh,Texas A&M,Fresno St.,Hawaii,Appalachian St.,Houston,Auburn,Maryland,Nebraska,Wisconsin,Nebraska,Missouri,Maryland,LSU,Colorado,Central Florida,Boise St.,Missouri,Montana St.,Michigan,Georgia
Tulsa,Ohio St.,Texas A&M,Minnesota,Tulane,Davis & Elkins,SMU,Stanford,Minnesota,Wisconsin,USC,Texas,Illinois,Ohio St.,Kansas,Michigan,Clemson,Florida,South Carolina,Oklahoma St.,Michigan St.,Florida,Auburn,Michigan St.,Utah St.,Syracuse,Florida A&M,Pittsburgh,Notre Dame,Mississippi,Tennessee St.,Notre Dame,West Texas A&M,Arizona St.,Louisville,Duke,Minnesota,Bowling Green,Tennessee,Rice,Georgia Tech,Missouri,Mississippi St.,Nebraska,Nebraska,Arizona St.,Saginaw Valley St.,UCLA,West Virginia,Ohio St.,Texas,LSU,Auburn,Washington St.,LSU,Southern,Texas A&M,Ohio St.,USC,Mississippi St.,Washington,Texas A&M,Stephen F. Austin,Weber St.,Auburn,Washington,South Carolina,Florida St.,Georgia,Iowa,Boston College,USC,Arizona St.,Troy,Tennessee,North Carolina,Marshall,Marshall,Ohio St.,Colorado St.,Florida St.,Villanova,LSU,Ohio St.,Baylor,LSU,LSU,Florida,Notre Dame
Minnesota,Indiana,Oregon St.,Arkansas,Texas Tech,USC,Missouri,Notre Dame,Washington,Tulsa,Georgia,Northwestern,Army,Wake Forest,Duke,McMurry,Pacific,USC,Baylor,Arkansas,Texas-El Paso,Michigan St.,Pacific,Mississippi,Unknown,Pacific,Penn St.,Miami (FL),Texas,Minnesota,Louisville,Tennessee,Eastern Kentucky,Kansas,Abilene Christian,Delaware St.,Pittsburgh,Oregon,Houston,Washington St.,Oklahoma,Virginia Tech,Concordia-Moorhead (MN),Arkansas,Brown,Long Beach St.,Angelo St.,San Diego St.,South Carolina,Washington,Georgia Tech,Memphis,Iowa,North Carolina St.,Hawaii,Fresno St.,LSU,Miami (FL),Alabama,Colorado,Georgia Tech,William & Mary,Eastern Michigan,Oklahoma,Northern Iowa,Utah,UNLV,Middle Tenn. St.,Notre Dame,Illinois,UCLA,Hawaii,Auburn,Connecticut,Notre Dame,Miami (FL),Iowa St.,Southeastern Louisiana,Missouri,Nebraska,Alabama,Colorado,Oklahoma St.,Delaware,Michigan,Ohio St.,Nebraska,Michigan,Utah
Notre Dame,West Virginia,Florida,Michigan St.,Pittsburgh,Rice,Utah,Georgia,Texas,Vanderbilt,Alabama,Vanderbilt,Notre Dame,Penn St.,Idaho,Tennessee,Tennessee,Virginia,William & Mary,USC,Colorado,Florida,Iowa,Florida A&M,Cincinnati,Washington St.,Bowling Green,Richmond,Alabama,Florida,Notre Dame,Missouri,Colorado St.,MD-Eastern Shore,Texas A&M,Richmond,Arkansas,Nebraska,Syracuse,Washington St.,Colorado,Washington,Penn St.,Alabama,Wake Forest,Utah,Jackson St.,Grambling St.,Colorado State-Pueblo,Temple,Notre Dame,Iowa,Texas A&M,Arizona,USC,Central Oklahoma,Washington,Syracuse,Florida St.,TCU,Clemson,Iowa,Mississippi St.,Duke,Arkansas,Texas,BYU,Rutgers,Pittsburgh,Northern Colorado,Western Michigan,Boise St.,Texas A&M,Utah,Massachusetts,Michigan,Oregon,Alabama,Penn St.,Hobart,Ohio St.,North Carolina St.,LSU,Washington,LSU,Wake Forest,USC,Penn St.,Missouri
Colgate,UCLA,Purdue,Kentucky,Duquesne,Purdue,Rice,TCU,Stanford,Temple,Boston College,Texas A&M,North Texas,Oklahoma,Notre Dame,Wisconsin–LaCrosse,Maryland,Illinois,Notre Dame,Maryland,William & Mary,Unknown,Howard Payne,Syracuse,Wisconsin,Auburn,Colorado,Auburn,Nebraska,Mississippi,SMU,Michigan,Mississippi,Ark-Pine Bluff,Arkansas St.,Pittsburgh,Alabama,Tennessee,Memphis,West Virginia,West Texas A&M,Stanford,Illinois St.,Montana St.,Indiana,Michigan St.,UCLA,Mississippi St.,Washington St.,San Diego St.,Virginia,San Diego St.,Miami (OH),Illinois,Pittsburgh,Florida,South Carolina,Alabama,Virginia Tech,Mississippi St.,Texas A&M,Iowa St.,LSU,USC,Oklahoma St.,Baylor,Indiana,Texas A&M,USC,Florida St.,Georgia,Central Michigan,Colorado,Auburn,Florida,Kansas St.,Vanderbilt,Texas A&M,Eastern Illinois,Miami (OH),Samford,USC,Pittsburgh,Massachusetts,Boston College,Ohio St.,Cincinnati,Penn St.,Washington
Marquette,Virginia Tech,Montana,Tulane,TCU,Pittsburgh,Oregon St.,California,Santa Clara,St. Mary's (CA),Michigan,Washington,North Carolina,Washington St.,Pacific,John Carroll,Michigan,USC,Texas St.,Notre Dame,TCU,Indiana,Tennessee,Vanderbilt,Washington St.,Clemson,Michigan,Northwestern,TCU,Michigan,Mississippi St.,George Washington,Florida,West Texas A&M,South Dakota,Texas A&M,Clemson,Long Beach St.,Kansas,Tennessee Tech,Minnesota,Texas A&M,Pittsburgh,Michigan St.,Norfolk St.,Pittsburgh,San Jose St.,Nebraska,Clemson,Utah St.,Grambling St.,SMU,Missouri,Iowa,Florida St.,Georgia,Pasadena CC,Arizona,UCLA,Michigan St.,West Virginia,Arizona,Stanford,Arkansas,Miami (OH),Mississippi,Pittsburgh,Stanford,LSU,San Diego St.,Virginia Tech,Nebraska,USC,Connecticut,Iowa,Florida,LSU,Cincinnati,LSU,Michigan,Georgia Tech,Temple,Auburn,Virginia,Mississippi St.,Oklahoma,Georgia,Oklahoma,BYU
Princeton,Mississippi,North Carolina,La Salle,Ohio St.,Wake Forest,Marquette,Georgia,Fordham,Wisconsin,Colorado,Colgate,Washington,St. Louis,SMU,South Carolina,Baylor,Ohio St.,Baylor,Unknown,Tulane,Georgia,Duke,Iowa,Florida,East Carolina,Notre Dame,Oregon St.,Michigan St.,Purdue,Kent St.,BYU,Clemson,Northern Illinois,Oregon,Bishop,Michigan,Oregon,Northwestern,BYU,Tennessee St.,Boston College,Duke,Clemson,USC,SMU,Baylor,Notre Dame,TCU,Baylor,Texas-Arlington,Baylor,Miami (FL),Iowa,Miami (FL),California,Carson-Newman,Michigan,Colorado,Augustana (SD),USC,Tennessee,Washington,Boston College,North Carolina St.,North Carolina St.,Central Florida,Louisville,Florida St.,Syracuse,Alabama St.,Oregon St.,Central Florida,North Carolina,USC,Kentucky,Clemson,Connecticut,Missouri,Stanford,Middle Tenn. St.,Western Michigan,Ohio St.,Mississippi,Southern Illinois,Florida,Oklahoma,South Carolina,Florida St.
Notre Dame,Washington,Colorado,Duke,Santa Clara,Boston College,Scranton,Iowa,North Carolina St.,Tennessee,Chattanooga,Mississippi,USC,Pennsylvania,Kentucky,Xavier (OH),California,LSU,Ohio St.,Wisconsin,Miami (OH),Oklahoma,Utah,VMI,Minnesota,Wake Forest,Mississippi,New Mexico St.,Memphis,Memphis,Notre Dame,Tennessee St.,Purdue,Tennessee St.,Ohio,Kansas St.,Howard Payne,Northwestern,Texas-Arlington,Miami (FL),Colorado,Eastern Kentucky,Nebraska-Omaha,Baylor,Mississippi,Pittsburgh,Alabama,Maryland,Furman,Iowa,Michigan,Auburn,Central Florida,Texas A&M,Miami (FL),Michigan St.,Michigan St.,Louisville,Notre Dame,Colorado,Texas A&M,Appalachian St.,Tennessee,Fresno St.,Hofstra,Miami (FL),Louisville,Tennessee,Iowa,Miami (FL),Pittsburgh,Georgia,Toledo,Iowa,South Florida,South Florida,Montana,Kentucky,Iowa,Florida Atlantic,Penn St.,Charlotte,North Carolina A&T,Boston College,Wyoming,Syracuse,Kentucky,Alabama,Western Kentucky
Catholic,Kansas St.,Ohio St.,Pittsburgh,Rutgers,Minnesota,Oregon St.,Benedictine,Wake Forest,Missouri,Oklahoma St.,South Carolina,Stanford,St. Bonaventure,Detroit Mercy,Furman,Pacific,Georgia,Rice,Col. of Emporia,Baylor,Georgia Tech,Notre Dame,Holy Cross,Washington St.,Indiana,Houston,Ohio St.,William & Mary,MD-Eastern Shore,Texas,Oklahoma St.,Texas St.,TCU,Clemson,Michigan,SMU,BYU,Kansas,Ohio St.,Ohio St.,Maryland,Georgia Tech,Georgia,Texas Tech,Arizona,Kansas St.,Clemson,Purdue,Memphis,Colorado St.,Long Beach St.,Puget Sound,Auburn,Houston,Florida St.,Central Florida,Texas A&M,Ohio St.,North Carolina,Louisville,Virginia,Fresno St.,Texas A&M,Florida St.,San Jose St.,Tennessee,Texas,Purdue,Stanford,Miami (FL),Kent St.,Hampton,Iowa,Iowa,Nevada,Central Florida,Connecticut,Virginia,Utah,USC,Colorado,Georgia,Toledo,Memphis,Texas A&M,Oklahoma,Illinois,Florida St.
Stanford,SMU,Case Western Reserve,Idaho,Georgia,Oregon St.,Texas,Unknown,Texas,California,Washington,Detroit Mercy,Wesleyan,California,Vanderbilt,Colorado St.,Maryland,Clemson,Southern Miss,Alabama,Texas Tech,California,Wiley,West Virginia,Georgia Tech,Mississippi,Oregon St.,Clemson,Wichita St.,Oklahoma,Auburn,Oklahoma St.,Texas-El Paso,Oregon St.,Grambling St.,Augustana (IL),Yankton,Arizona,North Carolina,Auburn,Penn St.,Texas Tech,Texas A&M-Kingsville,West Texas A&M,Michigan St.,Stanford,Oklahoma,Tennessee,Baylor,Memphis,La-Monroe,Arkansas St.,Oklahoma,Washington,East Carolina,Wisconsin,Colorado,Appalachian St.,Texas A&M,Ohio St.,Florida St.,Texas,Nebraska,Eastern Illinois,Kansas St.,Florida St.,TCU,Cincinnati,Purdue,Akron,Iowa,Boston College,Iowa,Purdue,Vanderbilt,North Carolina St.,San Diego St.,LSU,North Dakota St.,South Carolina,Nebraska,Tennessee,Miami (FL),Baylor,Notre Dame,Stanford,North Carolina,Arkansas,TCU
Rice,Rice,Nebraska,Auburn,Missouri,Georgetown (DC),Miami (FL),Tulane,Washington St.,Marquette,Northwestern,UCLA,Cincinnati,Missouri,Oklahoma St.,Mississippi,San Francisco,Wisconsin,Washington & Lee,Wisconsin,Oklahoma,Missouri,Syracuse,Maryland,Cincinnati,Miami (FL),USC,Toledo,West Chester,San Jose St.,California,Nebraska,USC,Michigan,Minnesota,Houston,Purdue,Carson-Newman,San Diego St.,USC,Long Beach St.,Maryland,Bowling Green,Southeastern Louisiana,UCLA,Washington,Wake Forest,California,Georgia,USC,Nevada,Florida,Ohio St.,Florida,Florida St.,Grambling St.,Washington,West Virginia,Fresno St.,Nicholls St.,West Virginia,Idaho,Mississippi St.,Texas A&M,Florida,Notre Dame,South Carolina,Arizona,Ohio St.,Indiana,LSU,New Mexico,LSU,San Jose St.,Illinois,LSU,Ohio St.,San Diego St.,Wisconsin,Miami (FL),Mississippi St.,Illinois,Stanford,Florida,California,Michigan,Mississippi St.,Tennessee,Penn St.
Oregon,TCU,Georgia,Notre Dame,Nebraska,Texas,Michigan,Santa Clara,Holy Cross,Tulsa,USC,Wesleyan,Northwestern,Kentucky,William & Mary,Colorado St.,Denver,Mississippi,TCU,Alabama,Florida,Kentucky,Vanderbilt,Tulane,Mississippi,Tennessee,Alabama,Pittsburgh,Alabama,Mississippi,North Carolina A&T,North Texas,Oregon St.,Texas,Colorado,New Mexico,Houston,Nebraska,Lehigh,Notre Dame,USC,San Jose St.,Texas A&M-Kingsville,Arizona St.,Penn St.,Pittsburgh,New Hampshire,Stanford,North Carolina,Long Beach St.,North Carolina St.,Arizona St.,Notre Dame,North Carolina,Arizona,Colorado,Washington,North Carolina,LSU,Syracuse,Illinois,Washington,UCLA,South Dakota St.,Georgia Tech,Kentucky,Alabama,Tennessee,Purdue,Arizona St.,Weber St.,Florida St.,LSU,Wesern Illinois,Hillsdale,Florida Atlantic,North Carolina St.,LSU,West Virginia,Kansas St.,Maryland,East. Washington,North Carolina St.,San Jose St.,LSU,Texas,Ohio St.,Houston,Michigan
Northwestern,Baldwin-Wallace,Georgia Tech,Stanford,Minnesota,Iowa St.,Boston College,Alabama,Colorado St.,Alabama,Ohio St.,Illinois,Nevada,Alabama,Minnesota,Loyola Marymount,Tulsa,USC,Purdue,Texas,Wisconsin,Pacific,Mississippi,Idaho,Pacific,Los Angeles St.,Michigan,Colorado,Miami (FL),Syracuse,Vanderbilt,Notre Dame,Tulane,Norfolk St.,Cincinnati,Southeastern Louisiana,Colorado St.,LSU,Boston College,Arizona St.,Penn St.,Alcorn St.,Nebraska,Kentucky,Kansas,Southern Miss,Pacific,Iowa St.,Penn St.,TCU,Memphis,Hawaii,Notre Dame,Iowa,Maryland,Central State (OH),Maryland,Hawaii,Kansas St.,New Mexico,Colorado St.,Kent St.,Purdue,Iowa,Texas A&M,North Carolina,South Carolina,Pittsburgh,Montana St.,Florida,Ohio St.,Notre Dame,Vanderbilt,Georgia Tech,Oregon,Georgia,California,Connecticut,USC,Arizona St.,BYU,Ohio St.,BYU,Memphis,Texas,BYU,Wyoming,Alabama,Kentucky
Minnesota,Carnegie Mellon,Ohio St.,Notre Dame,Utah,Texas A&M-Commerce,Missouri,Arizona,Illinois,Tulane,Oklahoma St.,Wake Forest,British Columbia,Clemson,Missouri,Unknown,Kentucky,North Carolina,Arkansas,Morris Brown,MD-Eastern Shore,Bowling Green,USC,Pacific,USC,Georgia Tech,Santa Ana JC,Michigan St.,Arizona St.,Florida A&M,Michigan,Oklahoma St.,Louisville,Vanderbilt,Virginia St.,Nebraska,Southern,Penn St.,North Carolina Central,Oregon St.,Kansas,Miami (OH),South Carolina St.,Maryland,Boston College,USC,Utah,LSU,Michigan,San Diego St.,Washington,Fort Hays St.,Hawaii,Eastern Kentucky,Western Michigan,Purdue,Alabama,Central Florida,Virginia,Colorado,East Tennessee St.,South Carolina,Florida St.,Northwestern,Tennessee,Penn St.,Kansas St.,Nevada,Maryland,Stanford,Cal Poly-San Luis Obispo,Florida St.,Miami (FL),Wisconsin,Georgia Tech,Oklahoma,SMU,USC,Iowa,Oregon,Boise St.,Indiana,Oregon,Ohio St.,Texas A&M,Central Florida,Tennessee,TCU,Illinois
Ohio St.,Baylor,Oregon St.,Pittsburgh,Washington,Penn St.,Kansas,Boston College,Murray St.,Detroit Mercy,Cornell,Miami (FL),VMI,Rice,Northwestern,Baldwin-Wallace,John Carroll,Washington St.,Toledo,Prairie View A&M,Iowa,Southern Miss,Michigan St.,Michigan St.,Mississippi,Illinois,Miami (OH),Pittsburgh,Florida A&M,Michigan,Kentucky,Iowa St.,Texas A&M-Commerce,Florida St.,Penn St.,Eastern Michigan,Central State (OH),Central Michigan,UCLA,Maryland,Colorado,Texas A&M,Wichita St.,Oklahoma,Texas-Arlington,Wesern Illinois,Michigan,Alabama,Auburn,LSU,BYU,LSU,Michigan St.,TCU,Miami (FL),Notre Dame,Nebraska,Clemson,Texas A&M-Kingsville,Central Florida,Arkansas,Nebraska,Stephen F. Austin,Arizona St.,Mississippi,Oklahoma,Tuskegee,Hawaii,Clemson,Stanford,Georgia,Fresno St.,Virginia Tech,Temple,Arkansas St.,Illinois,Miami (FL),Kent St.,Oregon St.,Louisville,Florida,Western Kentucky,Fort Hays St.,North Carolina St.,Houston,North Carolina St.,Washington St.,Syracuse,Kentucky
Princeton,Northwestern,BYU,Alabama,Washington & Lee,Mississippi St.,Tennessee,Duke,Stanford,Purdue,Pennsylvania,Tennessee,Wake Forest,North Carolina,Puget Sound,Alabama,Texas Tech,Tulsa,Tulsa,Michigan St.,Stanford,Minnesota,Wisconsin,Alabama,New Mexico,Miami (FL),Purdue,Florida A&M,Georgia Tech,Notre Dame,Michigan,Oregon St.,Colorado,Oklahoma St.,Tennessee,Penn St.,Colorado St.,Alcorn St.,Cincinnati,Auburn,San Diego St.,St. Cloud St.,BYU,East Central (OK),Texas,North Carolina,McNeese St.,Penn St.,Georgia,North Carolina,Oklahoma St.,Texas A&M,Maryland,Louisiana,Tennessee St.,Florida,Florida St.,California,Houston,USC,New Mexico,Akron,Pennsylvania,Colorado St.,Lambuth,Tennessee,Georgia,Hawaii,McNeese St.,Oklahoma St.,Oklahoma,Lane,Texas,William & Mary,Mississippi,LSU,LSU,North Carolina St.,Louisville,Indiana,Alabama,Kansas St.,Ohio St.,Iowa St.,Ohio St.,Louisiana Tech,Virginia,Tennessee,Kansas St.
Loyola Marymount,Kentucky,Utah,Texas A&M,Manhattan,Arkansas,Illinois Wesleyan,SMU,UCLA,Washington,Connecticut,Oklahoma City,William & Mary,UNLV,Unknown,Tulane,Notre Dame,Kansas,Oregon St.,Ohio St.,Pacific,Michigan St.,Minnesota,South Carolina,Utah,Allegheny,Southern,Purdue,Florida,Oregon St.,Northern Iowa,Utah St.,Minnesota,Weber St.,Morgan St.,West Virginia,Syracuse,Minnesota,Jackson St.,BYU,Nicholls St.,Idaho St.,Texas,Texas A&M,Kentucky,Tennessee,Arizona St.,McNeese St.,Oklahoma St.,LSU,UCLA,Oregon,Washington St.,Duke,Tennessee,Penn St.,Penn St.,Nebraska,Notre Dame,Pittsburgh,Penn St.,North Carolina A&T,Miami (FL),UCLA,Nebraska,Utah,Western Kentucky,Utah St.,Ohio St.,Notre Dame,Wisconsin,Kansas St.,Penn St.,Alabama,Louisiana Tech,Arkansas,Oklahoma,Baylor,Syracuse,UCLA,Notre Dame,Michigan,Louisville,Florida Atlantic,Wisconsin,Minnesota,Cincinnati,Tennessee,Washington
Unknown,Unknown,Santa Clara,TCU,Arkansas,Duke,Arizona,UCLA,Illinois,Northwestern,Mississippi St.,Illinois,USC,St. Thomas,Oklahoma St.,St. Ambrose,South Carolina,Baylor,Florida A&M,Miami (FL),Colorado St.,Oklahoma,Hillsdale,Chattanooga,Idaho,Northwestern,Purdue,Texas,North Carolina,Virginia Tech,Iowa,Colorado,Mississippi,San Diego St.,Texas Tech,North Texas,Grambling St.,Texas A&M-Kingsville,Colgate,Houston,Boise St.,Michigan,San Diego St.,Colorado,Nebraska,Oklahoma St.,Wabash,South Carolina,Oregon,Alabama,Kansas,Tennessee St.,Syracuse,Michigan St.,North Carolina St.,Auburn,Texas,Texas A&M,Oregon,Wisconsin,Kentucky,LSU,La-Monroe,West Virginia,Louisville,Syracuse,Ohio St.,Northwest Missouri St.,Florida,Virginia Tech,Louisville,Illinois St.,Oklahoma,Ball St.,Florida,Wisconsin,Wisconsin,Ark-Pine Bluff,Auburn,Colorado St.,Michigan St.,LSU,Florida St.,Texas A&M,Rutgers,UCLA,Alabama,Ohio St.,Yale
Stanford,Auburn,Indiana,North Carolina,Missouri,USC,Duke,Texas Tech,USC,Tulsa,Texas A&M,Michigan,Southern Miss,TCU,Texas-El Paso,Virginia,Iowa,Southern Miss,Washington St.,Richmond,George Washington,Iowa,Pittsburg St.,Notre Dame,Purdue,Washington,Mississippi,Tulsa,Richmond,Notre Dame,Brown,Northwestern,Notre Dame,Clark (GA),MD-Eastern Shore,Alcorn St.,Tennessee,Kansas,UCLA,Maryland,Hawaii,North Carolina,Tennessee,Santa Clara,Florida,Texas A&M,Notre Dame,Baylor,New Mexico St.,Florida,Delaware St.,Indiana,Washington,Syracuse,BYU,USC,North Carolina,Georgia,West Virginia,Ohio St.,Georgia Tech,Michigan,Nebraska,California,Arizona St.,Texas A&M,Maryland,UCLA,Oklahoma,Washington St.,Ohio St.,Washington St.,Tennessee,Wisconsin,LSU,Lehigh,Miami (OH),California,Arkansas,Georgia,Auburn,Florida,Oklahoma St.,Ohio St.,Illinois,Stanford,Connecticut,Sacramento St.,Utah
Stanford,Illinois,Nebraska,Nebraska,Stanford,Gonzaga,Denver,Holy Cross,Unknown,Bucknell,Colorado,Denver,Florida,Sul Ross St.,Oklahoma City,St. Vincent,Oregon St.,Army/Beloit,Georgia Tech,Georgia,Wisconsin,Houston,Texas Tech,Vanderbilt,South Carolina,VMI,Tulane,Western Michigan,Michigan St.,San Diego St.,Idaho,LSU,North Carolina A&T,Illinois St.,North Park,Wisconsin,Dayton,California,Missouri,LSU,Texas,Colorado St.,Grambling St.,Grambling St.,Tennessee,Arkansas Tech,North Carolina St.,Arizona St.,Miami (FL),Clemson,South Carolina,Arizona St.,Indiana,Miami (FL),Arkansas St.,Jackson St.,Vanderbilt,North Carolina St.,Wisconsin,Ohio St.,Rutgers,Stanford,Ala-Birmingham,Washington,Pittsburgh,Florida St.,Oklahoma,Georgia,Clemson,Louisiana Tech,Stanford,Minnesota,Auburn,Alabama,USC,USC,Arkansas St.,Tennessee,Wisconsin,Miami (FL),West Virginia,Texas A&M,Ohio St.,Michigan,Iowa,Tennessee,Central Michigan,Tennessee,Maryland
Colgate,Northwestern,Villanova,Minnesota,USC,Boston College,Millikin,USC,Alabama,Kentucky,West Texas A&M,North Carolina St.,Arizona St.,North Carolina,Purdue,Colorado,Georgia,Maryland,Villanova,Oregon,Hardin-Simmons,Mississippi,Boston College,San Jose St.,BYU,Kansas St.,West Virginia,Ohio,Syracuse,Elon,Auburn,Michigan,Northern Arizona,Illinois,Alcorn St.,Texas A&M-Kingsville,Utah,Jackson St.,Florida,Maryland,Mississippi,Penn St.,UCLA,North Texas,Colorado,Maryland,Penn St.,UCLA,Florida,TCU,Arizona St.,Benedictine,Temple,LSU,Oregon,Clemson,South Carolina,Virginia,Florida A&M,Miami (FL),Florida,Boston College,Iowa,La-Monroe,Florida St.,Wesern Illinois,Pennsylvania,Memphis,Fresno St.,San Diego St.,Oklahoma,San Jose St.,Michigan,Texas Tech,LSU,Boise St.,Missouri,Texas,Nebraska,Florida St.,North Carolina St.,Alabama,Texas,Wisconsin,Temple,North Carolina,Ala-Birmingham,South Dakota St.,USC
