1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stanford,Pennsylvania,Arkansas,Drake,North Carolina,Richmond,Texas,Wisconsin,Illinois,Texas Tech,Illinois,Wisconsin,Oklahoma St.,Texas,Minnesota,Texas,USC,Tennessee,Maryland,Marquette,Vanderbilt,Baylor,Louisville,Illinois,Notre Dame,UCLA,Western Illinois,Michigan St.,Ohio St.,Indiana,Mississippi,Northwestern,Massachusetts,Georgia,Colorado,Missouri,Nebraska,USC,Penn St.,Miami (FL),Oklahoma,Missouri,Notre Dame,Texas,USC,USC,Tennessee,Pittsburgh,Florida,Wisconsin,Washington,BYU,Miami (FL),Clemson,Arizona,USC,Miami (FL),Toledo,Alcorn St.,Florida St.,Oregon,Nebraska,Florida St.,Central Florida,Wisconsin,Miami (FL),Syracuse,Washington St.,Miami (OH),Troy,Vanderbilt,Mississippi,Troy,Penn St.,Rutgers,Wisconsin,Memphis,Alabama,Michigan,Michigan St.,Florida,Ohio St.,Alabama,Alabama,Louisville,Ohio St.,Ohio St.,Northwestern,Penn St.
West Virginia Wesleyan,LSU,Albright,Pittsburgh,Tulane,Boston College,Oklahoma,Georgia,Minnesota,Ohio St.,St. Joseph's (IN),Ohio St.,San Francisco,Notre Dame,Oklahoma,Virginia,Boston Univ.,Washington St.,Illinois,Auburn,Maryland,Baylor,Vanderbilt,Auburn,Clemson,Michigan St.,Kentucky,Ohio St.,Oklahoma,Alabama,LSU,Notre Dame,Oregon,Villanova,The Citadel,USC,Iowa,Miami (FL),Richmond,Ohio St.,Colorado,Oklahoma St.,USC,LSU,Colorado,Pittsburgh,Baylor,Notre Dame,Florida St.,Ohio St.,Iowa,Nebraska,California,Florida,Baylor,Tennessee,Georgia Tech,Texas A&M,Texas A&M,Miami (FL),California,Florida St.,Georgia Tech,UCLA,Tennessee,Miami (FL),Wisconsin,Penn St.,Miami (FL),Maryland,Oregon,California,Boise St.,Georgia,Fresno St.,Florida St.,Mississippi St.,Houston,LSU,Washington,Louisville,Clemson,Washington,Michigan,Alabama,Penn St.,Alabama,Alabama,Oregon
Minnesota,Duke,Alabama,Rhodes,Santa Clara,Missouri,Stanford,Mississippi St.,Texas,Minnesota,Duke,Texas,Stanford,Purdue,Oregon St.,Oklahoma St.,Michigan St.,Texas,Rice,Oklahoma,Arkansas,LSU,TCU,South Carolina,Clemson,TCU,Colorado,Purdue,Nebraska,Illinois,Minnesota,Idaho,Utah St.,San Diego St.,Oklahoma,Long Beach St.,Penn St.,Miami (FL),Ohio St.,South Dakota St.,Colorado,LSU,Michigan,Missouri,Rice,Oklahoma,Georgia,Florida,Washington St.,Miami (FL),USC,Oregon,Oklahoma,Texas,Michigan St.,Colorado,Virginia Tech,Illinois,Louisville,Washington St.,Mississippi St.,California,Auburn,Louisiana Tech,South Carolina,Georgia,Tennessee,Texas A&M,Wisconsin,Oklahoma,Florida St.,Nebraska,Oregon,Texas,Michigan,Auburn,Notre Dame,Missouri,Pittsburgh,Stanford,Mississippi,Temple,Alabama,Clemson,Iowa,Northwestern,Georgia,Iowa,Georgia
Villanova,Alabama,Indiana,Washington,Iowa,Tennessee,Auburn,Holy Cross,Tennessee,Missouri,Illinois,Missouri,Penn St.,Duke,Minnesota,LSU,San Francisco,Purdue,Colorado,USC,USC,Texas A&M,Pittsburgh,Auburn,Duke,Syracuse,LSU,Penn St.,Tennessee,Duke,Massachusetts,Wyoming,USC,Ohio St.,North Carolina Central,Kansas St.,Florida,Iowa St.,Ohio St.,Florida,Iowa,Tulsa,Arizona St.,Alabama,Tennessee,South Carolina,Richmond,Miami (FL),Oklahoma,Memphis,Auburn,Penn St.,UCLA,Virginia,West Virginia,Arizona St.,Notre Dame,Michigan,Georgia,Pittsburgh,Ohio St.,Florida St.,Nebraska,BYU,Miami (FL),Florida,Miami (FL),Penn St.,Oklahoma,Georgia,Florida St.,Pittsburgh,Vanderbilt,Ohio St.,Texas,North Carolina,LSU,Utah,Virginia Tech,Louisville,West Virginia,Tennessee,Texas-San Antonio,Boston College,South Carolina,USC,Notre Dame,Georgia,Oregon St.
Ohio St.,SMU,Montana,Indiana,Carnegie Mellon,Boston College,Northwestern,Iowa,Pennsylvania,SMU,Wake Forest,Oklahoma,Illinois,Michigan,Arkansas,Alabama,Rice,USC,Syracuse,Maryland,West Virginia,Illinois,LSU,Rice,LSU,North Carolina,Arizona,Miami (OH),Miami (FL),Illinois,Kentucky,Notre Dame,Auburn,Arizona St.,Richmond,Tennessee St.,Notre Dame,San Diego St.,Kansas,Texas A&M-Kingsville,Virginia,California,Arkansas,Georgia Tech,BYU,USC,Nebraska,Illinois,Arkansas,North Carolina,Florida,Missouri,Tennessee,Notre Dame,Houston,Florida,Nebraska,Clemson,Auburn,Florida,Kutztown (PA),Miami (FL),Clemson,LSU,California,Clemson,Tennessee,Miami (FL),LSU,Texas,Clemson,Florida St.,Virginia,USC,South Florida,Florida,West Virginia,Texas,Ohio St.,Wisconsin,Baylor,Ohio St.,UCLA,Ohio St.,Alabama,Alabama,Texas A&M,Iowa St.,UCLA
Oklahoma,Santa Clara,Texas A&M,Santa Clara,Colorado Mines,Texas A&M,Santa Clara,Oregon,Mississippi St.,Michigan,Notre Dame,Notre Dame,William & Mary,Mississippi St.,North Carolina,LSU,Illinois,Maryland,Oklahoma,Notre Dame,Auburn,Ohio St.,George Washington,Baylor,Missouri,Texas Tech,Notre Dame,Minnesota,Boston College,Northwestern,Texas A&M-Kingsville,Washington,USC,Stanford,Elon,Houston,Colorado,Arizona St.,Arizona St.,Oregon,Wyoming,Texas,Washington,North Carolina St.,North Carolina St.,San Jose St.,UCLA,Alabama,Maryland,Miss. Valley St.,Iowa,Boston College,Ohio St.,Oklahoma St.,Fresno St.,San Diego St.,Clemson,California,Notre Dame,Central State (OH),California,Florida,Utah,Florida,Michigan St.,Miami (FL),Boston College,USC,Arkansas,Florida St.,Tennessee,Tennessee,Tennessee St.,Northern Illinois,Georgia Tech,Purdue,North Carolina,Florida St.,Notre Dame,Wake Forest,Ohio St.,Alabama,Virginia Tech,Florida St.,Clemson,Tulsa,Penn St.,Mississippi St.,Texas
UCLA,Ohio St.,Washington (MO),Baylor,Oklahoma,Tennessee,Oklahoma,Auburn,Tulsa,Oregon,Nevada,LSU,West Virginia,Baylor,Rice,California,Oklahoma,Georgia,Pacific,Wisconsin,Purdue,Penn St.,California,Oklahoma,Iowa,New Mexico St.,North Carolina Central,Bowling Green,Oregon,Purdue,Notre Dame,Texas A&M-Kingsville,Weber St.,Xavier (OH),Boston Univ.,Utah,Texas A&M-Kingsville,Texas A&M-Kingsville,UCLA,San Jose St.,Arizona St.,Texas A&M,Grambling St.,Miami (FL),Texas,Oklahoma,Penn St.,McNeese St.,Tennessee,Michigan,Syracuse,BYU,Northwestern St. (LA),Boston College,Florida,Michigan St.,Texas A&M,Notre Dame,Colorado,Michigan,Texas A&M,Miami (FL),North Carolina,Boston College,Florida St.,Michigan,Miami (FL),Penn St.,Miami (FL),Georgia,Iowa,Florida,Boston College,Kansas St.,Idaho,Colorado,Alabama,Georgia,Alabama,Oregon,Florida,Alabama,Florida St.,Clemson,Oklahoma,Alabama,Boston College,Oregon,Alabama
George Washington,LSU,Mississippi,Texas Tech,Bucknell,Creighton,Boston College,Boston College,Texas,Miami (FL),San Francisco,Kentucky,Texas-El Paso,Washington St.,Villanova,Tulane,LSU,Arizona St.,Florida,UCLA,Michigan St.,Clemson,SMU,Baylor,Texas,Northwestern,TCU,Washington,Iowa,Utah,USC,Duke,Texas A&M-Kingsville,Miami (OH),TCU,West Texas A&M,Michigan,Texas Southern,Oklahoma St.,Langston,Oregon,Boston College,Alabama,UCLA,Syracuse,North Carolina,Michigan,Tennessee,UCLA,Mississippi,UCLA,Pittsburgh,Eastern Kentucky,Minnesota,Mississippi,Colorado,Washington,South Carolina,North Carolina St.,Washington,LSU,Miami (FL),Georgia,Georgia,Marshall,Michigan,Michigan St.,Wake Forest,Ohio St.,Wisconsin,Ohio St.,Michigan,Delaware,Tennessee,Florida,Illinois,South Carolina,LSU,Louisville,Washington,Alabama,USC,Louisville,North Carolina St.,USC,Miami (FL),Arkansas,Iowa,Georgia
Stanford,Pittsburgh,Texas,Purdue,Furman,Washington,Washington (MO),Michigan,USC,Missouri,Georgia Tech,Nevada,New Mexico St.,Rutgers,Santa Clara,San Francisco,George Washington,Army/Kansas,Syracuse,Kansas St.,Arkansas,Wake Forest,Oklahoma,Indiana,Oklahoma,Notre Dame,New Mexico St.,Syracuse,USC,Rice,Florida,Arkansas,Texas A&M,Missouri,Oklahoma,Ohio St.,Auburn,Purdue,Florida A&M,Nebraska,San Jose St.,Missouri,Washington St.,Nebraska,Louisville,Stanford,Clemson,USC,Maryland,Kentucky,Notre Dame,Temple,Arizona St.,Arkansas,Minnesota,Ohio St.,Southern Miss,Jackson St.,California,Tennessee,Syracuse,California,North Carolina,Notre Dame,Alabama,Texas,Hawaii,California,Miami (FL),Florida St.,Florida St.,Texas,Pittsburgh,Missouri,Missouri,Nebraska,Boise St.,Syracuse,Tennessee,Florida St.,Clemson,Alabama,Boise St.,Mississippi St.,Ohio St.,Kentucky,Northern Iowa,Pittsburgh,Florida St.
NYU,Minnesota,Pittsburgh,Oklahoma,Northwestern,Nebraska,Oregon St.,Boston College,Stanford,Texas A&M,North Carolina,UCLA,Mississippi St.,Oklahoma St.,Tulane,Michigan,Pacific,Army/William Jewell,Notre Dame,LSU,SMU,UCLA,West Virginia,Houston,Georgia Tech,Illinois,Utah St.,Oregon,Michigan St.,Georgia,Stanford,Michigan,Alabama,Michigan,Florida,Florida,Michigan,Michigan St.,Michigan,Ohio St.,Purdue,San Jose St.,Oklahoma,Houston,Clemson,Pittsburgh,North Carolina St.,Arkansas,California,Wisconsin,Vanderbilt,North Carolina St.,Arizona St.,Arkansas,Washington St.,Mississippi,Tennessee,Notre Dame,Mississippi,Utah,Baylor,Alabama,Tennessee,North Carolina,Oklahoma,Arizona St.,Florida St.,Georgia,USC,LSU,Penn St.,Texas,Kansas,Oklahoma St.,Alabama,Iowa,Baylor,Oregon,Oregon St.,USC,Ohio St.,Utah,Arkansas,Iowa,LSU,Florida,Pittsburgh,Ohio St.,Washington
