"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Stanford","SMU","Case Western Reserve","Idaho","Georgia","Oregon St.","Texas","Unknown","Texas","California","Washington","Detroit Mercy","Wesleyan","California","Vanderbilt","Colorado St.","Maryland","Clemson","Southern Miss","Alabama","Texas Tech","California","Wiley","West Virginia","Georgia Tech","Mississippi","Oregon St.","Clemson","Wichita St.","Oklahoma","Auburn","Oklahoma St.","Texas-El Paso","Oregon St."
"Rice","Rice","Nebraska","Auburn","Missouri","Georgetown (DC)","Miami (FL)","Tulane","Washington St.","Marquette","Northwestern","UCLA","Cincinnati","Missouri","Oklahoma St.","Mississippi","San Francisco","Wisconsin","Washington & Lee","Wisconsin","Oklahoma","Missouri","Syracuse","Maryland","Cincinnati","Miami (FL)","USC","Toledo","West Chester","San Jose St.","California","Nebraska","USC","Michigan"
"Oregon","TCU","Georgia","Notre Dame","Nebraska","Texas","Michigan","Santa Clara","Holy Cross","Tulsa","USC","Wesleyan","Northwestern","Kentucky","William & Mary","Colorado St.","Denver","Mississippi","TCU","Alabama","Florida","Kentucky","Vanderbilt","Tulane","Mississippi","Tennessee","Alabama","Pittsburgh","Alabama","Mississippi","North Carolina A&T","North Texas","Oregon St.","Texas"
"Northwestern","Baldwin-Wallace","Georgia Tech","Stanford","Minnesota","Iowa St.","Boston Col.","Alabama","Colorado St.","Alabama","Ohio St.","Illinois","Nevada","Alabama","Minnesota","Loyola Marymount","Tulsa","USC","Purdue","Texas","Wisconsin","Pacific","Mississippi","Idaho","Pacific","Los Angeles St.","Michigan","Colorado","Miami (FL)","Syracuse","Vanderbilt","Notre Dame","Tulane","Norfolk St."
"Minnesota","Carnegie Mellon","Ohio St.","Notre Dame","Utah","Texas A&M-Commerce","Missouri","Arizona","Illinois","Tulane","Oklahoma St.","Wake Forest","British Columbia","Clemson","Missouri","Unknown","Kentucky","North Carolina","Arkansas","Morris Brown","Md-Eastern Shore","Bowling Green","USC","Pacific","USC","Georgia Tech","Santa Ana JC","Michigan St.","Arizona St.","Florida A&M","Michigan","Oklahoma St.","Louisville","Vanderbilt"
"Ohio St.","Baylor","Oregon St.","Pittsburgh","Washington","Penn St.","Kansas","Boston Col.","Murray St.","Detroit Mercy","Cornell","Miami (FL)","VMI","Rice","Northwestern","Baldwin-Wallace","John Carroll","Washington St.","Toledo","Prairie View A&M","Iowa","Southern Miss","Michigan St.","Michigan St.","Mississippi","Illinois","Miami (OH)","Pittsburgh","Florida A&M","Michigan","Kentucky","Iowa St.","Texas A&M-Commerce","Florida St."
"Princeton","Northwestern","BYU","Alabama","Washington & Lee","Mississippi St.","Tennessee","Duke","Stanford","Purdue","Pennsylvania","Tennessee","Wake Forest","North Carolina","Puget Sound","Alabama","Texas Tech","Tulsa","Tulsa","Michigan St.","Stanford","Minnesota","Wisconsin","Alabama","New Mexico","Miami (FL)","Purdue","Florida A&M","Georgia Tech","Notre Dame","Michigan","Oregon St.","Colorado","Oklahoma St."
"Loyola Marymount","Kentucky","Utah","Texas A&M","Manhattan","Arkansas","Illinois Wesleyan","SMU","UCLA","Washington","Connecticut","Oklahoma City","William & Mary","UNLV","Unknown","Tulane","Notre Dame","Kansas","Oregon St.","Ohio St.","Pacific","Michigan St.","Minnesota","South Carolina","Utah","Allegheny","Southern","Purdue","Florida","Oregon St.","Northern Iowa","Utah St.","Minnesota","Weber St."
"Unknown","Unknown","Santa Clara","TCU","Arkansas","Duke","Arizona","UCLA","Illinois","Northwestern","Mississippi St.","Illinois","USC","St. Thomas","Oklahoma St.","St. Ambrose","South Carolina","Baylor","Florida A&M","Miami (FL)","Colorado St.","Oklahoma","Hillsdale","Chattanooga","Idaho","Northwestern","Purdue","Texas","North Carolina","Virginia Tech","Iowa","Colorado","Mississippi","San Diego St."
"Stanford","Auburn","Indiana","North Carolina","Missouri","USC","Duke","Texas Tech","USC","Tulsa","Texas A&M","Michigan","Southern Miss","TCU","Texas-El Paso","Virginia","Iowa","Southern Miss","Washington St.","Richmond","George Washington","Iowa","Pittsburg St.","Notre Dame","Purdue","Washington","Mississippi","Tulsa","Richmond","Notre Dame","Brown","Northwestern","Notre Dame","Clark (GA)"
"Stanford","Illinois","Nebraska","Nebraska","Stanford","Gonzaga","Denver","Holy Cross","Unknown","Bucknell","Colorado","Denver","Florida","Sul Ross St.","Oklahoma City","St. Vincent","Oregon St.","Army/Beloit","Georgia Tech","Georgia","Wisconsin","Houston","Texas Tech","Vanderbilt","South Carolina","VMI","Tulane","Western Michigan","Michigan St.","San Diego St.","Idaho","LSU","North Carolina A&T","Illinois St."
"Colgate","Northwestern","Villanova","Minnesota","USC","Boston Col.","Millikin","USC","Alabama","Kentucky","West Texas A&M","North Carolina St.","Arizona St.","North Carolina","Purdue","Colorado","Georgia","Maryland","Villanova","Oregon","Hardin-Simmons","Mississippi","Boston Col.","San Jose St.","BYU","Kansas St.","West Virginia","Ohio","Syracuse","Elon","Auburn","Michigan","Northern Arizona","Illinois"
"SMU","Tulsa","Oklahoma","TCU","Oklahoma","Oklahoma","Alabama","California","Notre Dame","Arkansas","Notre Dame","North Carolina","Rice","Notre Dame","Kentucky","Baylor","Ohio St.","Sul Ross St.","Florida","USC","Austin","Baylor","Md-Eastern Shore","Iowa","Morris Brown","Oklahoma St.","San Jose St.","Penn St.","South Carolina","Oklahoma","Oklahoma St.","Florida St.","Houston","North Carolina"
"Yale","Catholic","San Francisco","Nebraska","Fordham","Tulsa","Purdue","Northwestern","Ohio St.","Manhattan","Arkansas","Wake Forest","Indiana","Georgia Tech","Dayton","Ohio St.","Mississippi St.","Syracuse","Indiana","Kansas St.","Baylor","Dayton","Ohio St.","Arkansas Tech","Georgia Tech","Oklahoma","USC","Indiana","Syracuse","Colorado","North Texas","Oklahoma","Md-Eastern Shore","Notre Dame"
"Holy Cross","Kansas St.","Duquesne","Carnegie Mellon","Santa Clara","Texas","Washington","Michigan St.","San Francisco","Tennessee","Chattanooga","Navy","Ohio St.","Cornell","TCU","Clemson","California","Colorado","SMU","Brandeis","Kansas St.","Colorado","Md-Eastern Shore","Boston Univ.","USC","Minnesota","Ohio St.","Washington St.","Wichita St.","Emory & Henry","Florida","Tennessee","Ohio St.","Prairie View A&M"
NA,"Washington","Baylor","Oklahoma","VMI","Michigan","USC","Texas","Alabama/Navy","Illinois","Wisconsin","Bradley","Alabama","Penn St.","Oklahoma","North Carolina","Utah","Army/Mississippi","USC","Virginia Tech","Illinois","Michigan","Virginia","Rice","Purdue","Washington","Marquette","West Texas A&M","Cincinnati","Arkansas","Willamette","Alabama","Arizona","Penn St."
NA,"Unknown","Auburn","Indiana","Toledo","SMU","Washington","Nebraska","Willamette","Oregon","Central College (IA)","Nebraska","St. Louis","Minnesota","St. Edward's","Colgate","SMU","Houston","Alabama","William & Mary","Houston","Colorado","Kansas St.","Willamette","Presbyterian","Northwestern","Auburn","Syracuse","Texas-El Paso","Unknown","Texas St.","Michigan","Western Michigan","Cincinnati"
NA,"Washington St.","Notre Dame","Cornell","Holy Cross","Wake Forest","Minnesota","Florida","Purdue","Auburn","Auburn","Chattanooga","Youngstown St.","Denver","Washington St.","Tulane","Mississippi St.","Villanova","SMU","Michigan St.","Oregon","Middle Tenn. St.","Illinois","Houston","Syracuse","Yale","San Jose St.","Fresno St.","Wisconsin","Villanova","Memphis","Yale","Michigan St.","Colorado"
NA,"Michigan","Arkansas","Mississippi","Unknown","Detroit Mercy","Iowa","Oklahoma","St. Francis (PA)","San Francisco","Colorado","Army","LSU","Boston Col.","Notre Dame","Texas","Pacific","Nebraska","Utah","Auburn","USC","TCU","Virginia","South Carolina","California","Wagner","Kansas","Michigan St.","Florida","Baldwin Wallace","BYU","Houston","Tulsa","Minnesota"
NA,"Temple","Ohio St.","Tennessee","Purdue","Purdue","Marquette","Canisius","Stanford","Marquette","Holy Cross","Detroit Mercy","Pennsylvania","Michigan","Mississippi St.","Washington & Lee","Baylor","Pittsburgh","California","Maryland","Texas A&M","Duke","Syracuse","Northwestern","Virginia Tech","Oregon St.","Colorado","South Carolina","West Virginia","Wisconsin","West Virginia","Nebraska","Georgia","Indiana"
NA,"Yale","Northern Colorado","USC","Utah","Cornell","Muhlenberg","Rice","Auburn","Arkansas","Ohio St.","Mississippi St.","Case Western Reserve","Arizona","Michigan St.","Duke","Indiana","Tulsa","Texas Tech","Purdue","Wichita St.","USC","Arizona St.","Michigan","Penn St.","Penn St.","Iowa","Iowa St.","Maryland","Washington","Western Illinois","Tennessee St.","Kent St.","Texas Tech"
NA,"Marquette","Washington St.","Washington","Oklahoma","North Carolina","Unknown","Baylor","Indiana","Notre Dame","William & Mary","Central Washington","Colorado","Michigan","Kansas St.","Boston Col.","Michigan St.","Alabama","Detroit Mercy","Oklahoma St.","Abilene Christian","Duke","Pacific","Oregon","Clemson","UCLA","Wisconsin","Texas A&M","Florida A&M","Michigan St.","Iowa St.","Weber St.","South Carolina St.","Morgan St."
NA,"Michigan St.","Elon","Wisconsin","Purdue","Ohio St.","Minnesota","Oklahoma","Penn St.","Tennessee","Oregon","Wesleyan","Bradley","Pennsylvania","TCU","Nebraska-Omaha","Minnesota","Maryland","West Virginia","TCU","McMurry","Rice","George Washington","Villanova","Oklahoma St.","Yale","Texas","Jackson St.","Wichita St.","Cincinnati","San Jose St.","USC","Fresno St.","Utah"
NA,"Denver","Butler","DePaul","TCU","Alabama","Kentucky","Tulane","Minnesota","Tennessee","Notre Dame","Oklahoma","William & Mary","Auburn","Southern Miss","Louisiana Tech","North Texas","William & Mary","Arkansas","South Carolina","Baylor","East. Oregon","North Carolina","Vanderbilt","Wisconsin","Penn St.","Maryland","Kansas","Arkansas","Auburn","Southern","Northwestern St. (LA)","TCU","Purdue"
NA,"Minnesota","Washington St.","Tennessee","Texas Tech","Oregon","Columbia","Washington St.","Villanova","Dartmouth","Wisconsin","Northwestern","SMU","Dartmouth","Missouri","Illinois","Iowa","Michigan","UCLA","Georgia Tech","North Carolina","Yale","Texas A&M","Purdue","Ohio St.","Michigan St.","Illinois","Ohio St.","West Texas A&M","Dayton","Louisville","Alabama","UT Martin","Pacific"
NA,"Georgia Tech","Vanderbilt","Bucknell","Kansas St.","UCLA","Sam Houston St.","Minnesota","Duke","Alma","Colorado","Oklahoma St.","Colgate","Duke","Miami (OH)","Michigan St.","Arkansas","Georgia","West Virginia","Mississippi","Maryland","Denver","Bowling Green","Baylor","Texas","Southern Miss","Rice","Moorhead State (MN)","Whitworth","Utah","Tennessee St.","Grambling St.","Boston Col.","Texas A&M-Commerce"
NA,"USC","Fordham","Cornell","Alabama","Indiana","Texas","Dubuque","Oregon","Clemson","William & Mary","Illinois","West Virginia","Wesleyan","Texas","Arkansas","Utah","Alabama","Florida","Oklahoma St.","Army","Yale","San Francisco St.","Jackson St.","Wake Forest","Northwestern","LSU","Wisconsin","Arkansas","Lamar","Pittsburgh","Arizona St.","Texas Tech","Grambling St."
NA,"Mississippi St.","Baldwin-Wallace","Purdue","Northwestern","Cornell","St. Thomas","Fordham","Weber St.","Michigan St.","Pennsylvania","Navy","Scranton","San Francisco","TCU","Alabama","Wisconsin","Oregon St.","Washington","Vanderbilt","Oregon","Baylor","Ohio St.","Michigan","LSU","Syracuse","Minnesota","Missouri","North Texas","Washington","Duke","Houston","USC","Occidental"
NA,"Kentucky","Indiana","Augustana (IL)","Tennessee","Notre Dame","Wake Forest","Oregon","Wake Forest","Yale","Ohio St.","Washington","Michigan","Columbia","Purdue","Oklahoma","Alabama","Army/Notre Dame","Tennessee","North Texas","South Dakota St.","George Washington","West Texas A&M","Texas-El Paso","Houston","Arkansas","Ohio St.","Furman","Northwestern St. (LA)","Virginia","Princeton","Washington","Fresno St.","California"
NA,"North Carolina St.","Kansas","San Francisco","Iowa","USC","Duquesne","William & Mary","Notre Dame","Fordham","Holy Cross","Iowa St.","Louisiana","Alabama","Minnesota","Boston Univ.","SMU","Texas","Georgia","Maryland","Florida St.","Texas Tech","Duke","West Texas A&M","Kansas","Florida A&M","Villanova","Pacific","Virginia Union","Utah","Univ. of the South","Oklahoma","New Mexico St.","New Mexico St."
NA,"Washington St.","Georgia","Stanford","California","Northwestern","Manhattan","Duquesne","Ohio St.","UCLA","Franklin & Marshall","Holy Cross","LSU","Bowling Green","Pacific","SMU","Pacific","Maryland","UCLA","Rice","Marshall","Miami (FL)","North Carolina","Bridgeport","UCLA","Grambling St.","Cincinnati","Northwestern","Drake","Western Kentucky","Los Angeles St.","Texas-Arlington","Missouri","Florida St."
NA,"Utah St.","UC Santa Barbara","Centre","USC","Kansas St.","St. Francis (NY)","Arkansas","Boston Col.","LSU","Oregon St.","North Carolina","Stanford","Texas","LSU","Houston","Texas","Arkansas","Washington","North Texas","Iowa","Unknown","Kansas St.","SMU","Northwestern","Northwestern","Oklahoma St.","Virginia","Northwestern","Corpus Christi","Md-Eastern Shore","UT Martin","Lamar","Wake Forest"
NA,"Holy Cross","Washington","SMU","Northwestern","Kentucky","Wisconsin","Stanford","Holy Cross","Holy Cross","Illinois","Richmond","Wisconsin","Vanderbilt","Santa Clara","Michigan","Georgia","TCU","Georgia Tech","Texas Tech","Cal Poly-San Luis Obispo","TCU","St. Norbert","Cincinnati","Cincinnati","New Hampshire","Michigan St.","Florida","Tulsa","Grambling St.","North Dakota","Texas-El Paso","Clemson","Kansas"
NA,"TCU","Case Western Reserve","Washington","Tulsa","St. Mary's (CA)","Colgate","Georgetown (DC)","Minnesota","Kansas St.","Ohio St.","Georgia Tech","Rice","Baldwin-Wallace","Penn St.","Stanford","Wisconsin","Nebraska","UCLA","Boston Col.","Notre Dame","TCU","USC","Pittsburgh","Duke","Texas","North Texas","Miami (FL)","Pittsburgh","Minnesota","Florida A&M","Md-Eastern Shore","Arizona St.","New Mexico St."
NA,NA,"Minnesota","St. Louis","Stanford","Penn St.","TCU","Michigan","Michigan","LSU","Columbia","Oklahoma","Purdue","West Virginia","Santa Clara","Maryland","Loyola Marymount","Syracuse","Shippensburg","Alabama","Tampa","Otterbein","Los Angeles St.","Tennessee","Minnesota","La-Monroe","Florida","Oklahoma","UCLA","Kansas","Georgia","Miami (OH)","USC","Northwestern"
NA,NA,"Pittsburgh","Oklahoma","Catholic","North Carolina","Lafayette","Pennsylvania","Bradley","Arkansas","Nevada","Tulsa","Missouri","Miami (FL)","Oregon","Purdue","Tennessee","Temple","Minnesota","Louisville","Boston Univ.","Miami (FL)","Notre Dame","Florida","TCU","Idaho","Michigan","West Virginia","Clemson","Pittsburgh","Georgia","Syracuse","Michigan St.","Southern Illinois"
NA,NA,"North Carolina St.","Ohio","TCU","Mississippi Col.","Stanford","Tulane","Georgia","UCLA","Catawba","Ohio St.","Wisconsin","Arkansas St.","Oregon","Pennsylvania","Northwestern","Texas A&M-Commerce","Pittsburgh","Oregon St.","Michigan St.","Alabama","Alabama","Houston","Army","Tennessee St.","Auburn","Penn St.","North Texas","Rice","Tennessee St.","Northern Michigan","Mississippi","Kentucky"
NA,NA,"Notre Dame","North Carolina","Howard","Colorado","Marquette","Wisconsin","Arkansas","Northwestern","Illinois","Tulsa","Boston Univ.","Detroit Mercy","Tulsa","Tulane","S.F. Austin","Tulsa","Nebraska","Miami (OH)","USC","Pittsburgh","Purdue","Michigan St.","Mississippi","Michigan St.","Michigan St.","Florida St.","Notre Dame","Wisconsin","Texas","Texas A&M-Commerce","Nebraska","Minnesota"
NA,NA,"Holy Cross","Michigan","Mississippi St.","Mississippi St.","Southern Miss","Ohio St.","Minnesota","Utah St.","Duke","Ohio St.","Illinois","Southern Miss","Ohio St.","San Francisco","Idaho","Chattanooga","Texas","Abilene Christian","Texas A&M-Commerce","Pacific","Pittsburgh","Syracuse","Stanford","Bucknell","Tulane","Arizona St.","Catawba","Indiana","North Carolina St.","Virginia Tech","Purdue","Drake"
NA,NA,"Yale","Idaho","Carnegie Mellon","Iowa","Duquesne","Norwich","Ohio St.","Minnesota","Mississippi St.","Michigan St.","Rice","Kentucky","Arkansas","Brown","Ohio St.","Panola JC","Cal Poly-San Luis Obispo","Purdue","Ohio St.","Washington","Lenoir-Rhyne","UCLA","New Mexico","Illinois","Miami (FL)","LSU","Louisiana Tech","California","Massachusetts","Florida","Mississippi","Arkansas"
NA,NA,"St. Mary's (CA)","Santa Clara","Kentucky","St. Mary's (CA)","Tulane","Boston Col.","Tulsa","Hardin-Simmons","Texas Tech","Iowa","Iowa St.","Iowa","Georgia","Oklahoma","Boston Univ.","Minnesota","Tulsa","Scranton","Miami (FL)","TCU","Capital","Illinois","Auburn","Benedictine","Syracuse","Syracuse","North Carolina Central","Tulsa","South Dakota St.","Dayton","Md-Eastern Shore","Missouri"
NA,NA,"Duke","Duke","Duke","Illinois Wesleyan","Penn St.","Georgia","Fordham","Arkansas","Georgia Tech","William & Mary","Purdue","Georgia","South Carolina","Wake Forest","Unknown","Minnesota","Miami (OH)","Wayne State (MI)","Louisville","Syracuse","Florida","Minnesota","Army","Oregon","Houston","Stanford","Wisconsin","Kansas","Idaho","USC","Tennessee St.","San Jose St."
NA,NA,"North Carolina","Ohio St.","USC","Mississippi St.","Marquette","Nebraska","Kansas","Pittsburgh","Texas A&M","Miami (OH)","Illinois","Mississippi","Detroit Mercy","Princeton","Texas","Bucknell","Cal Poly-San Luis Obispo","Pittsburgh","Bowling Green","Texas-El Paso","Wayne State (MI)","Southern Miss","New Mexico St.","Mississippi","Southern Illinois","Southern Illinois","Cornell","Appalachian St.","Grambling St.","Stanford","Houston","Florida"
NA,NA,"Denver","Texas A&M","Temple","USC","Ohio St.","Mississippi","Texas A&M","East Tennessee St.","Holy Cross","SMU","Princeton","Redlands","Iowa","John Carroll","Wisconsin","TCU","Alabama","Marquette","South Carolina","Drake","Illinois","Villanova","Kansas","Pittsburgh","Northwestern","Michigan St.","Morgan St.","Notre Dame","Alabama","Hofstra","Utah","Alabama A&M"
NA,NA,NA,"The Citadel","Oklahoma","Colgate","Tulsa","Portland","Oklahoma","Indiana","Washington","Notre Dame","Navy","Mississippi","Northern Arizona","Purdue","Tulane","Arkansas","Michigan","San Jose St.","Michigan","Gustavus Adolphus","Brown","North Carolina","Detroit Mercy","Baylor","Mississippi","LSU","Wisconsin","Grambling St.","Tulane","Tulane","Houston","Syracuse"
NA,NA,NA,"Pittsburgh","Purdue","Arizona St.","Santa Clara","Unknown","UCLA","Duquesne","Virginia","Tulsa","West Virginia","New Mexico","Tulane","Georgia","Holy Cross","Wisconsin","Missouri","Penn St.","Colorado St.","Hillsdale","Georgia","Purdue","North Carolina Central","Florida","Florida A&M","Villanova","Georgia","Tennessee St.","Wisconsin–Whitewater","American Int.","Washington St.","Utah St."
NA,NA,NA,"Mississippi Col.","Miami (FL)","Texas-El Paso","Missouri","Minnesota","Tulsa","Notre Dame","New Mexico","UCLA","Appalachian St.","Unknown","William & Mary","Iowa St.","Pennsylvania","Texas A&M","Stanford","Auburn","Houston","Pittsburgh","Notre Dame","Notre Dame","UCLA","Chattanooga","Boston Univ.","UCLA","Hillsdale","Ohio","Oklahoma St.","Maine","Virginia Tech","Virginia"
NA,NA,NA,"TCU","West Virginia","Murray St.","Wake Forest","Pennsylvania","Maryland","Purdue","Utah","Stanford","Guilford","Alabama","Missouri","Unknown","Unknown","Florida A&M","Hardin-Simmons","Cincinnati","Wichita St.","San Jose St.","Auburn","Notre Dame","BYU","SMU","UCLA","Kansas St.","Mississippi","Georgia","Stanford","Indiana","Nebraska","Colorado St."
NA,NA,NA,"Unknown","Chattanooga","Arkansas","Michigan St.","Holy Cross","Unknown","Purdue","Oregon St.","Maryland","Unknown","Northwestern","West Virginia","Vanderbilt","Notre Dame","Tennessee","Tennessee","Texas Tech","Centre","Austin Peay St.","Penn St.","Georgia","TCU","Duke","St. Augustine's","Florida","Georgia","Mississippi St.","Tennessee","Minnesota","Arkansas","North Carolina A&T"
NA,NA,NA,"Iowa St.","Oklahoma","Detroit Mercy","Notre Dame","Ohio St.","Stanford","UCLA","Iowa","Washington","Indiana","Tulsa","McMurry","Arkansas","Washington St.","Holy Cross","Oklahoma","Mississippi","Maryland","Middle Tenn. St.","Marquette","Pacific","Purdue","Mount San Antonio JC","Purdue","Oklahoma","Washington","Maryland","Penn St.","Baylor","Notre Dame","USC"
NA,NA,NA,"Oregon St.","West Virginia","Unknown","Niagara","North Carolina St.","Vanderbilt","Syracuse","Washington","Duke","Missouri","Santa Clara","Wake Forest","LSU","Baylor","Holy Cross","Tulsa","Oregon St.","UCLA","Iowa","South Dakota","North Carolina","Boston Col.","Mississippi St.","Notre Dame","Baylor","South Dakota St.","Texas Tech","Virginia","Grambling St.","Richmond","Kansas"
NA,NA,NA,"Washington","Tennessee","Mississippi","Duke","Notre Dame","USC","St. Vincent","Marquette","Penn St.","LSU","Arizona","Mississippi","USC","Mississippi","Colorado","Notre Dame","Washington St.","Miami (FL)","Bradley","Central State (OH)","North Carolina St.","LSU","San Jose St.","Iowa","Fresno St.","McNeese St.","Arizona St.","Kansas St.","Ark-Pine Bluff","Wyoming","Houston"
NA,NA,NA,"Minnesota","USC","Santa Clara","Minnesota","Kentucky","Notre Dame","Tennessee","Georgia","TCU","Washington","Kentucky","Texas","Michigan St.","SMU","Georgia Tech","SMU","Arizona St.","Boston Col.","American Int.","Florida","Wisconsin","Oklahoma","Baylor","Wiley","Villanova","Unknown","Arizona","UCLA","TCU","Penn St.","Notre Dame"
NA,NA,NA,"Centenary","Clemson","Arizona","Marshall","Notre Dame","Brown","Lafayette","Notre Dame","Rice","Ohio St.","Bradley","LSU","Tennessee","Pacific","Unknown","Miami (OH)","Boston Univ.","Unknown","Fresno St.","North Carolina","SMU","Rutgers","Georgia Tech","Mississippi","Pittsburgh","Missouri","Alabama","Nebraska-Omaha","Texas A&M","BYU","Wichita St."
NA,NA,NA,"South Carolina","Davis & Elkins","Mississippi","Louisville","St. Louis","Tulsa","Duke","Miami (OH)","Hardin-Simmons","Michigan","Dartmouth","Minnesota","Washington","Baylor","Vanderbilt","Holy Cross","Pittsburgh","Rice","Holy Cross","William & Mary","St. Ambrose","Valparaiso","Texas A&M-Commerce","Duke","Michigan","Nebraska","Arkansas","California","Abilene Christian","San Diego St.","Kansas St."
NA,NA,NA,"San Francisco","Santa Clara","LSU","Georgia","Alabama","SMU","Dartmouth","Penn St.","Oklahoma","New Hampshire","Tennessee","Gustavus Adolphus","Purdue","USC","Clemson","Princeton","Miami (FL)","Richmond","Wabash","Fresno St.","Georgia Tech","Georgia","Ohio","Michigan","Georgia Tech","Stanford","TCU","Georgia","USC","Wyoming","Pittsburgh"
NA,NA,NA,"UCLA","Kansas","Northwestern","Alabama","Ohio","Dickinson","South Carolina","Mississippi","Boston Col.","Loras","Illinois","Pacific","Maryland","Purdue","Cincinnati","North Texas","Nebraska-Omaha","North Carolina","Miami (OH)","Wichita St.","San Jose St.","Indiana","Indiana","Illinois","Boston Col.","Arizona","Hillsdale","Notre Dame","Bowling Green","Michigan","Wyoming"
NA,NA,NA,"Ohio St.","Tennessee","California","Oklahoma St.","William & Mary","Wisconsin","Villanova","BYU","Army","Oregon","Holy Cross","UCLA","Holy Cross","Rice","North Carolina St.","Villanova","North Carolina","Maryland","Ohio St.","Purdue","Michigan","Colorado St.","Humboldt St.","Kentucky","Mississippi","Dayton","Mississippi","Texas A&M","Mississippi","Pacific","Arizona St."
NA,NA,NA,"Carnegie Mellon","Utah","Franklin & Marshall","UC Santa Barbara","Alabama","Mississippi","Alabama","Denver","California","Michigan","North Texas","Notre Dame","Morgan St.","Youngstown St.","Yale","Syracuse","Nebraska","Auburn","Ohio St.","Wisconsin","Bradley","Howard Payne","Mississippi","Lehigh","Md-Eastern Shore","Saint John's (MN)","Missouri","Penn St.","Maryland","Michigan St.","Purdue"
NA,NA,NA,"Luther","Marshall","UCLA","Northwestern","Washington St.","Alabama","Texas","Georgia Tech","Texas A&M-Commerce","Missouri","Oregon St.","Southeastern Louisiana","USC","Alcorn St.","Kentucky","Minnesota","Missouri","North Carolina","Memphis","North Carolina St.","Unknown","South Carolina","Michigan St.","Washington St.","Southern Miss","Duke","Georgia Tech","North Texas","Idaho","Toledo","Minnesota"
NA,NA,NA,"Washington","Case Western Reserve","Mississippi St.","Pittsburgh","Pennsylvania","Kentucky","Mississippi","Auburn","Holy Cross","New Hampshire","Tulsa","California","Drake","Michigan St.","Unknown","Pittsburgh","UCLA","North Texas","Tulsa","Idaho","Utah St.","Mississippi","Utah St.","Arkansas","Montana St.","Texas A&M-Commerce","Jackson St.","Unknown","Lincoln (MO)","Cal Poly-San Luis Obispo","Illinois"
NA,NA,NA,"USC","Rice","Oklahoma","Texas","Oklahoma St.","Unknown","Nebraska","Oklahoma","Arkansas","Southern Miss","USC","Michigan","Oklahoma","Wake Forest","Boston Col.","South Carolina","West Virginia","Miami (FL)","LSU","Pacific","New Mexico St.","Idaho","Minnesota","Houston","Hofstra","Purdue","Northeastern","Pittsburgh","Texas-Arlington","Nebraska-Kearney","Tennessee"
NA,NA,NA,"Georgia","Notre Dame","Auburn","South Carolina","Oklahoma St.","William & Mary","UCLA","Illinois","Geneva","Illinois","Indiana","Utah St.","Washington & Lee","Houston","Penn St.","Dartmouth","Kentucky","Kentucky","Idaho","Wisconsin","North Texas","Kentucky","Wake Forest","Northern Michigan","Northwestern St. (LA)","Navy","Florida","Ball St.","Chattanooga","Kent St.","Tennessee St."
NA,NA,NA,"North Carolina","Oregon","San Jose St.","Vanderbilt","Mississippi","Washington","Arkansas","Notre Dame","Tennessee","Michigan","Louisville","William & Mary","Kentucky","TCU","Washington St.","Washington","Nebraska-Omaha","Arizona St.","Kansas","VMI","Kent St.","Florida","American Int.","Southern Illinois","Penn St.","Pittsburgh","Oregon","West Virginia Tech","Utah","Stanford","Texas"
NA,NA,NA,"Santa Clara","Benedictine","Boston Col.","Sam Houston St.","Colorado","Kansas St.","Ohio St.","Notre Dame","Duke","Canisius","Illinois","UCLA","Clemson","California","Ohio St.","USC","Delaware","Colgate","Missouri","Houston","Wyoming","Northern Arizona","Notre Dame","Syracuse","Missouri","Richmond","Alabama","Florida St.","Stanford","Missouri","Hofstra"
NA,NA,NA,"Niagara","Kansas St.","Ohio St.","Tennessee","Alabama","TCU","Duquesne","Boston Col.","Hardin-Simmons","Texas A&M","Utah St.","St. Bonaventure","Tampa","Ohio St.","Ohio St.","Rice","Iowa St.","UCLA","McNeese St.","Ohio St.","Syracuse","Purdue","Michigan St.","Pittsburgh","Washington","Appalachian St.","Washington","Nebraska","Cincinnati","Arizona St.","Unknown"
NA,NA,NA,"LSU","Santa Clara","Kentucky","Baylor","Indiana","Illinois","Alabama","Oklahoma","Wisconsin","Texas","Dayton","TCU","Unknown","Oregon St.","Miami (OH)","Washington St.","SMU","West Virginia","Michigan St.","Dayton","Missouri Valley","Detroit Mercy","Pittsburgh","Adams St.","Huron","Concordia-Moorhead (MN)","Central Oklahoma","Minnesota","Texas Southern","Pittsburgh","West Texas A&M"
NA,NA,NA,"West Texas A&M","NYU","Toledo","Pacific Lutheran","Oregon","Michigan","Baylor","Temple","Notre Dame","Montana St.","Texas Tech","Georgia","Pennsylvania","Notre Dame","Washington St.","Duke","Unknown","LSU","TCU","Baylor","Oklahoma St.","Fresno St.","Clemson","Pittsburgh","Ohio St.","West Virginia","Western Kentucky","North Dakota","Kansas","Clemson","Texas-El Paso"
