"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Oklahoma","Santa Clara","Texas A&M","Santa Clara","Colorado Mines","Texas A&M","Santa Clara","Oregon","Mississippi St.","Michigan","Notre Dame","Notre Dame","William & Mary","Mississippi St.","North Carolina","LSU","Illinois","Maryland","Oklahoma","Notre Dame","Auburn","Ohio St.","George Washington","Baylor","Missouri","Texas Tech","Notre Dame","Minnesota","Boston Col.","Northwestern","Texas A&M-Kingsville","Washington","USC","Stanford"
"UCLA","Ohio St.","Washington (MO)","Baylor","Oklahoma","Tennessee","Oklahoma","Auburn","Tulsa","Oregon","Nevada","LSU","West Virginia","Baylor","Rice","California","Oklahoma","Georgia","Pacific","Wisconsin","Purdue","Penn St.","California","Oklahoma","Iowa","New Mexico St.","North Carolina Central","Bowling Green","Oregon","Purdue","Notre Dame","Texas A&M-Kingsville","Weber St.","Xavier (OH)"
"George Washington","LSU","Mississippi","Texas Tech","Bucknell","Creighton","Boston Col.","Boston Col.","Texas","Miami (FL)","San Francisco","Kentucky","Texas-El Paso","Washington St.","Villanova","Tulane","LSU","Arizona St.","Florida","UCLA","Michigan St.","Clemson","SMU","Baylor","Texas","Northwestern","TCU","Washington","Iowa","Utah","USC","Duke","Texas A&M-Kingsville","Miami (OH)"
"Stanford","Pittsburgh","Texas","Purdue","Furman","Washington","Washington (MO)","Michigan","USC","Missouri","Georgia Tech","Nevada","New Mexico St.","Rutgers","Santa Clara","San Francisco","George Washington","Army/Kansas","Syracuse","Kansas St.","Arkansas","Wake Forest","Oklahoma","Indiana","Oklahoma","Notre Dame","New Mexico St.","Syracuse","USC","Rice","Florida","Arkansas","Texas A&M","Missouri"
"NYU","Minnesota","Pittsburgh","Oklahoma","Northwestern","Nebraska","Oregon St.","Boston Col.","Stanford","Texas A&M","North Carolina","UCLA","Mississippi St.","Oklahoma St.","Tulane","Michigan","Pacific","Army/William Jewell","Notre Dame","LSU","SMU","UCLA","West Virginia","Houston","Georgia Tech","Illinois","Utah St.","Oregon","Michigan St.","Georgia","Stanford","Michigan","Alabama","Michigan"
"Stanford","TCU","Oklahoma","Villanova","USC","Minnesota","Auburn","Furman","TCU","Oklahoma","Michigan","UCLA","Texas","SMU","Ohio St.","Wake Forest","Purdue","Georgia Tech","Illinois","Boston Col.","Hamline","Pittsburgh","Baylor","Tulane","VMI","Syracuse","Michigan","Maryland","Georgia Tech","Tulsa","Nebraska","Purdue","Trinity (TX)","USC"
"St. Mary's (CA)","Washington","Purdue","Wisconsin","LSU","Pennsylvania","Oregon","Baylor","Michigan","SMU","Ohio St.","Indiana","North Carolina","Columbia","Boston Col.","Texas","Notre Dame","Oklahoma","Houston","Texas","Auburn","Michigan","Washington St.","Rice","Pacific","Michigan St.","Utah","Michigan St.","Arizona St.","Georgia Tech","Tulsa","Arizona St.","Texas-El Paso","Syracuse"
"Unknown","Marquette","Northwestern","Alabama","Tulane","Stanford","Minnesota","Benedictine","USC","Notre Dame","USC","San Jose St.","Columbia","St. Bonaventure","Pacific","Wake Forest","Georgia Tech","Pittsburgh","Rice","Ohio St.","TCU","South Carolina","Minnesota","Ohio St.","TCU","Missouri","Penn St.","Michigan St.","Clemson","Oklahoma","Michigan St.","Notre Dame","Minnesota","Tennessee St."
"Minnesota","St. Mary's (CA)","California","Nebraska","Purdue","Colorado","Washington","Notre Dame","Michigan","Iowa","Holy Cross","Vanderbilt","Arkansas","Columbia","Mississippi","Vanderbilt","Michigan St.","USC","Maryland","UCLA","Pittsburgh","Tennessee","Colorado","SMU","Mississippi","Wichita St.","Arizona","Alabama","Kentucky","Grambling St.","Notre Dame","Miami (FL)","USC","Yale"
"Nebraska","Oklahoma","Boston Univ.","Pittsburgh","Brown","Alabama","Holy Cross","Pittsburgh","Duke","LSU","Oregon St.","Arkansas","Penn St.","Villanova","Missouri","Maryland","Arkansas","Indiana","Michigan St.","North Texas","Mississippi","TCU","Florida","Colorado","Georgia","Syracuse","Minnesota","Miami (OH)","Stanford","Michigan St.","Los Angeles St.","San Diego St.","Tennessee St.","Oklahoma"
